NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD5	na	33	0.38935592770576477	0.008258395	No	
row_1	MSH2	na	246	0.284699946641922	0.0037377456	No	
row_2	EXO1	na	257	0.2825232148170471	0.010513975	No	
row_3	ZP3	na	574	0.22929197549819946	-0.0012911691	No	
row_4	ALOX15	na	784	0.20871028304100037	-0.007616965	No	
row_5	TFRC	na	1005	0.189537912607193	-0.015059001	No	
row_6	NSD2	na	1026	0.1882222443819046	-0.011294202	No	
row_7	C5	na	1054	0.18622812628746033	-0.007974635	No	
row_8	MSH6	na	1089	0.18334126472473145	-0.005123486	No	
row_9	MICB	na	1256	0.17348799109458923	-0.009947332	No	
row_10	FZD5	na	1285	0.17215006053447723	-0.0070496337	No	
row_11	MAD2L2	na	1288	0.17180168628692627	-0.0026996536	No	
row_12	XCL1	na	1377	0.16710948944091797	-0.0033051819	No	
row_13	ADAM17	na	1671	0.15439626574516296	-0.015762957	No	
row_14	THOC1	na	1727	0.15188971161842346	-0.014909039	No	
row_15	LOXL3	na	1762	0.15040934085845947	-0.012913266	No	
row_16	PVR	na	2012	0.13905532658100128	-0.023296487	No	
row_17	PAXIP1	na	2017	0.1389337182044983	-0.019912632	No	
row_18	VTCN1	na	2030	0.13838577270507812	-0.016992649	No	
row_19	LIME1	na	2207	0.13078084588050842	-0.023487825	No	
row_20	RIPK2	na	2210	0.13071183860301971	-0.020205114	No	
row_21	DLG1	na	2446	0.12216860800981522	-0.030240081	No	
row_22	EXOSC3	na	2647	0.11519749462604523	-0.03848894	No	
row_23	LILRA6	na	2796	0.1109992042183876	-0.043924183	No	
row_24	SOCS5	na	2877	0.10879654437303543	-0.045594696	No	
row_25	IL1B	na	2927	0.10759991407394409	-0.045553934	No	
row_26	RIF1	na	3001	0.10596765577793121	-0.04690449	No	
row_27	OTUD7B	na	3018	0.10536058992147446	-0.045067128	No	
row_28	CTSL	na	3059	0.10407610982656479	-0.044612046	No	
