NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTN	na	382	0.2574796974658966	-0.009084699	No	
row_1	HMGB2	na	1000	0.19008585810661316	-0.03440188	No	
row_2	C5	na	1054	0.18622812628746033	-0.028567582	No	
row_3	XCL1	na	1377	0.16710948944091797	-0.038578976	No	
row_4	ADAM17	na	1671	0.15439626574516296	-0.047578555	No	
row_5	TRPM2	na	2067	0.13634561002254486	-0.0630957	No	
row_6	CXCL5	na	2219	0.1303744912147522	-0.065338776	No	
row_7	NUP85	na	2358	0.12536634504795074	-0.067095704	No	
row_8	SEMA5A	na	2583	0.11780405789613724	-0.073986895	No	
row_9	SLC12A2	na	2736	0.11258510500192642	-0.07712411	No	
row_10	SLIT2	na	2886	0.1086350530385971	-0.08028086	No	
row_11	THBS4	na	2901	0.10827226936817169	-0.07595471	No	
row_12	IL1B	na	2927	0.10759991407394409	-0.07227137	No	
row_13	IL1A	na	2946	0.10714651644229889	-0.06822051	No	
row_14	GREM1	na	3142	0.1023901104927063	-0.07422721	No	
row_15	ADGRE2	na	3226	0.10008644312620163	-0.07412027	No	
row_16	ARRB2	na	3406	0.09492994099855423	-0.07958974	No	
row_17	PLA2G7	na	3669	0.0881347730755806	-0.089990646	No	
row_18	S100A7	na	3679	0.08795133233070374	-0.086344644	No	
row_19	PIP5K1A	na	3768	0.0860552042722702	-0.08717691	No	
row_20	P2RX4	na	3975	0.08147985488176346	-0.09478042	No	
row_21	CXCL3	na	4251	0.07512050122022629	-0.10651704	No	
row_22	AKIRIN1	na	4323	0.07368668168783188	-0.10698791	No	
row_23	TNFRSF11A	na	4339	0.0733199194073677	-0.10436496	No	
row_24	CCL11	na	4342	0.07326841354370117	-0.10102222	No	
row_25	CCL7	na	4448	0.07151610404253006	-0.1034843	No	
row_26	SFTPD	na	4451	0.07148253172636032	-0.10022575	No	
row_27	CRKL	na	4543	0.06987474113702774	-0.10198743	No	
row_28	IL6	na	4622	0.0683920830488205	-0.103096776	No	
row_29	XCL2	na	4859	0.06383689492940903	-0.11319864	No	
row_30	OXSR1	na	4952	0.06192544475197792	-0.1153906	No	
row_31	CCR8	na	4955	0.06188332661986351	-0.112584546	No	
row_32	CCL28	na	5024	0.06071041524410248	-0.113500446	No	
row_33	CXCL2	na	5079	0.05987383797764778	-0.113678016	No	
row_34	TIAM1	na	5132	0.05899278447031975	-0.113786	No	
row_35	CCR7	na	5142	0.05885351076722145	-0.11151166	No	
row_36	CCL18	na	5222	0.057469453662633896	-0.113191456	No	
row_37	ACKR2	na	5542	0.051921892911195755	-0.12846608	No	
row_38	FGF18	na	5594	0.05101321265101433	-0.12889467	No	
row_39	FPR2	na	5610	0.05081940442323685	-0.12733239	No	
row_40	LBP	na	5662	0.05002187192440033	-0.1278077	No	
row_41	LOX	na	5672	0.049834974110126495	-0.1259585	No	
row_42	MOSPD2	na	5750	0.04857756569981575	-0.12794635	No	
row_43	MPP1	na	5835	0.047200292348861694	-0.130388	No	
row_44	CXADR	na	6023	0.04437035694718361	-0.13868529	No	
row_45	ANO6	na	6109	0.04285012185573578	-0.14138757	No	
row_46	C5AR1	na	6111	0.04280567169189453	-0.13942528	No	
row_47	S100A14	na	6112	0.04280358552932739	-0.13740753	No	
row_48	CCL13	na	6275	0.040288735181093216	-0.14450833	No	
row_49	IL36RN	na	6334	0.03923484683036804	-0.14588103	No	
row_50	CCL23	na	6407	0.03795303404331207	-0.14809193	No	
row_51	HGF	na	6408	0.037907879799604416	-0.14630497	No	
row_52	CCL24	na	6621	0.03448303043842316	-0.15645722	No	
row_53	CCL2	na	6778	0.03213479369878769	-0.16360906	No	
row_54	CCL21	na	6816	0.03144221752882004	-0.16418244	No	
row_55	CCL8	na	6885	0.030419768765568733	-0.16652624	No	
row_56	PTPRO	na	6992	0.02858957275748253	-0.17106742	No	
