NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.048919383	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.09638454	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.14393066	Yes	
row_3	CENPO	na	118	0.32642969489097595	0.18140632	Yes	
row_4	MIS18A	na	163	0.3072768449783325	0.21804038	Yes	
row_5	HJURP	na	169	0.30605441331863403	0.25666067	Yes	
row_6	OIP5	na	244	0.2854926586151123	0.28887892	Yes	
row_7	CENPF	na	275	0.27914825081825256	0.32270706	Yes	
row_8	CENPE	na	344	0.2649793028831482	0.35264784	Yes	
row_9	CENPU	na	437	0.24796783924102783	0.37910888	Yes	
row_10	CENPP	na	464	0.24400019645690918	0.40868986	Yes	
row_11	H4C8	na	503	0.23812833428382874	0.4368657	Yes	
row_12	H4C4	na	504	0.23812079429626465	0.4671272	Yes	
row_13	CENPN	na	600	0.22689543664455414	0.4907455	Yes	
row_14	H4C14	na	607	0.2265474796295166	0.51920676	Yes	
row_15	CENPM	na	674	0.21888934075832367	0.54340005	Yes	
row_16	KNL1	na	739	0.21392250061035156	0.567072	Yes	
row_17	H4C12	na	830	0.20459076762199402	0.58813024	Yes	
row_18	H4C9	na	848	0.2032838612794876	0.613031	Yes	
row_19	CENPH	na	908	0.19866546988487244	0.63503855	Yes	
row_20	CENPK	na	954	0.19339574873447418	0.6571452	Yes	
row_21	H4C5	na	1130	0.1805599480867386	0.670482	Yes	
row_22	CENPQ	na	1394	0.1661854088306427	0.6771598	Yes	
row_23	ITGB3BP	na	1600	0.15696433186531067	0.6858506	Yes	
row_24	CENPX	na	1677	0.15408921241760254	0.70125973	Yes	
row_25	CENPV	na	1687	0.15377937257289886	0.72030854	Yes	
row_26	HELLS	na	1876	0.14453992247581482	0.7283539	Yes	
row_27	RUVBL1	na	2085	0.13556717336177826	0.7341607	Yes	
row_28	MIS18BP1	na	2225	0.130059152841568	0.74305654	Yes	
row_29	CENPW	na	2735	0.11264147609472275	0.7294214	No	
row_30	RBBP7	na	3193	0.10103650391101837	0.71716684	No	
row_31	NASP	na	3224	0.10016929358243942	0.7282495	No	
row_32	CENPS	na	3747	0.0865565687417984	0.71058553	No	
row_33	POLE3	na	3997	0.08106306195259094	0.70721436	No	
row_34	H4-16	na	4463	0.0712069422006607	0.6907296	No	
row_35	POGZ	na	4469	0.07113931328058243	0.6994958	No	
row_36	MIS12	na	5694	0.04961691051721573	0.6385892	No	
row_37	RBBP4	na	5989	0.04505856707692146	0.6281714	No	
row_38	RSF1	na	7432	0.022246845066547394	0.5518157	No	
row_39	H3-3B	na	8299	0.009752222336828709	0.5055014	No	
row_40	CENPT	na	8553	0.005889356601983309	0.49235713	No	
row_41	SMARCA5	na	9562	-0.007352699059993029	0.4379404	No	
row_42	H3-3A	na	9755	-0.009636753238737583	0.42862198	No	
row_43	SENP6	na	9845	-0.0109306825324893	0.42512396	No	
row_44	RNF4	na	9900	-0.011589396744966507	0.42363155	No	
row_45	TRAPPC12	na	11394	-0.030840091407299042	0.34556744	No	
row_46	NPM1	na	11465	-0.031783174723386765	0.34576276	No	
row_47	CENPC	na	13922	-0.06936390697956085	0.2197143	No	
row_48	RB1	na	16870	-0.14465592801570892	0.076272584	No	
