NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.013864204	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.026780862	Yes	
row_2	EME1	na	7	0.4423238933086395	0.038285512	Yes	
row_3	SMC1B	na	15	0.41244080662727356	0.048882805	Yes	
row_4	CCNE1	na	20	0.4082704782485962	0.059535973	Yes	
row_5	KIF18B	na	29	0.3942987620830536	0.06959432	Yes	
row_6	DSCC1	na	31	0.39006465673446655	0.079929486	Yes	
row_7	MEIOC	na	43	0.3778229057788849	0.08938197	Yes	
row_8	SPAG5	na	47	0.3746994733810425	0.09919651	Yes	
row_9	TTK	na	49	0.3734489977359772	0.109089054	Yes	
row_10	RAD18	na	50	0.3731391727924347	0.119029	Yes	
row_11	NEK2	na	57	0.37076812982559204	0.12857184	Yes	
row_12	TRIP13	na	59	0.368221640586853	0.13832514	Yes	
row_13	SKA1	na	62	0.3644125163555145	0.14792131	Yes	
row_14	ESPL1	na	74	0.3543851673603058	0.15674944	Yes	
row_15	NCAPH	na	79	0.3498130738735199	0.16584538	Yes	
row_16	ECT2	na	81	0.34872108697891235	0.1750792	Yes	
row_17	KIF4A	na	88	0.34481796622276306	0.18393077	Yes	
row_18	BUB1	na	91	0.3433838486671448	0.19296674	Yes	
row_19	HASPIN	na	101	0.33657410740852356	0.20143174	Yes	
row_20	CDC6	na	107	0.3302302956581116	0.20995036	Yes	
row_21	MAD2L1	na	109	0.32974255084991455	0.21867862	Yes	
row_22	BRIP1	na	110	0.32955360412597656	0.22745751	Yes	
row_23	RMI1	na	114	0.32679498195648193	0.23599593	Yes	
row_24	TOP2A	na	138	0.31734612584114075	0.2431695	Yes	
row_25	CDCA8	na	140	0.3166016638278961	0.2515477	Yes	
row_26	NDC80	na	147	0.3155629634857178	0.25961995	Yes	
row_27	CDCA5	na	148	0.3153299391269684	0.26801994	Yes	
row_28	SKA3	na	150	0.31444206833839417	0.2763406	Yes	
row_29	MIS18A	na	163	0.3072768449783325	0.28385818	Yes	
row_30	HJURP	na	169	0.30605441331863403	0.2917328	Yes	
row_31	BIRC5	na	170	0.3059920370578766	0.29988402	Yes	
row_32	BRCA1	na	185	0.30083805322647095	0.30711874	Yes	
row_33	KIF2C	na	189	0.2991792559623718	0.31492153	Yes	
row_34	SGO2	na	198	0.29669272899627686	0.32237977	Yes	
row_35	KIF14	na	205	0.2946458160877228	0.3298948	Yes	
row_36	AURKB	na	206	0.2945592999458313	0.3377415	Yes	
row_37	DSN1	na	208	0.2941659986972809	0.34552205	Yes	
row_38	KIF23	na	225	0.2900671660900116	0.35235855	Yes	
row_39	BUB1B	na	229	0.2895878255367279	0.3599058	Yes	
row_40	OIP5	na	244	0.2854926586151123	0.36673176	Yes	
row_41	FANCD2	na	251	0.2839699685573578	0.37396243	Yes	
row_42	CENPF	na	275	0.27914825081825256	0.38011846	Yes	
row_43	KNSTRN	na	284	0.27672651410102844	0.38704482	Yes	
row_44	SPC25	na	292	0.2758271098136902	0.3940029	Yes	
row_45	NCAPG	na	306	0.2723560929298401	0.40053457	Yes	
row_46	FAM83D	na	324	0.26864945888519287	0.40674487	Yes	
row_47	CENPE	na	344	0.2649793028831482	0.41274607	Yes	
row_48	CDC20	na	351	0.2623608410358429	0.41940108	Yes	
row_49	MCMDC2	na	355	0.26196643710136414	0.42621258	Yes	
row_50	RACGAP1	na	359	0.26126712560653687	0.43300542	Yes	
row_51	KIF18A	na	383	0.2572842836380005	0.43857902	Yes	
row_52	KIFC1	na	396	0.2545696794986725	0.44469252	Yes	
row_53	GEN1	na	428	0.24938759207725525	0.4496105	Yes	
row_54	PLK1	na	434	0.24873705208301544	0.45595825	Yes	
row_55	PRC1	na	442	0.247090145945549	0.4621508	Yes	
row_56	SMC2	na	495	0.23919431865215302	0.46562845	Yes	
row_57	CEP85	na	513	0.23696917295455933	0.47099483	Yes	
row_58	CCNE2	na	520	0.236044242978096	0.4769488	Yes	
row_59	NUSAP1	na	576	0.22878915071487427	0.4799823	Yes	
row_60	FBXO5	na	596	0.22693884372711182	0.48497015	Yes	
row_61	CENPN	na	600	0.22689543664455414	0.49084738	Yes	
row_62	ZWINT	na	610	0.22577328979969025	0.49636078	Yes	
row_63	DMC1	na	612	0.2253018170595169	0.5023069	Yes	
row_64	CDT1	na	648	0.22113098204135895	0.5062495	Yes	
row_65	FEN1	na	662	0.2203740030527115	0.5113964	Yes	
row_66	DLGAP5	na	667	0.21989935636520386	0.5170316	Yes	
row_67	SMC4	na	703	0.21663060784339905	0.52085435	Yes	
row_68	CDCA2	na	704	0.21653473377227783	0.5266226	Yes	
row_69	INCENP	na	711	0.21598438918590546	0.5320422	Yes	
row_70	RAD51C	na	731	0.2149139791727066	0.5367097	Yes	
row_71	KNL1	na	739	0.21392250061035156	0.5420187	Yes	
row_72	DDX12P	na	807	0.2068149298429489	0.543799	Yes	
row_73	PSRC1	na	863	0.20261265337467194	0.5461351	Yes	
row_74	RMI2	na	865	0.2023652046918869	0.5514702	Yes	
row_75	SYCE2	na	870	0.20215168595314026	0.55663264	Yes	
row_76	SPICE1	na	902	0.1988416463136673	0.56020415	Yes	
row_77	HFM1	na	914	0.19755251705646515	0.56485444	Yes	
row_78	ESCO2	na	919	0.19641229510307312	0.56986403	Yes	
row_79	CCNB1	na	942	0.19436752796173096	0.57381725	Yes	
row_80	CENPK	na	954	0.19339574873447418	0.5783568	Yes	
row_81	SPDL1	na	1004	0.18954671919345856	0.5806789	Yes	
row_82	MKI67	na	1078	0.18443739414215088	0.581529	Yes	
row_83	SYCP2	na	1218	0.17538927495479584	0.5784648	Yes	
row_84	PTTG1	na	1232	0.174512580037117	0.58239	Yes	
row_85	NDC1	na	1284	0.1721530556678772	0.58413744	Yes	
row_86	MAD2L2	na	1288	0.17180168628692627	0.58854705	Yes	
row_87	CENPQ	na	1394	0.1661854088306427	0.58712995	Yes	
row_88	MSTO1	na	1398	0.1656886488199234	0.5913767	Yes	
row_89	NCAPD3	na	1487	0.16171927750110626	0.5907868	Yes	
row_90	USP44	na	1512	0.16064028441905975	0.59373033	Yes	
row_91	CENPX	na	1677	0.15408921241760254	0.5887072	Yes	
row_92	SKA2	na	1683	0.1539570838212967	0.59253013	Yes	
row_93	SMC6	na	1771	0.15015771985054016	0.5916879	Yes	
row_94	NCAPD2	na	1851	0.14568667113780975	0.59117186	Yes	
row_95	STAG2	na	1894	0.14356008172035217	0.5926585	Yes	
row_96	SLF1	na	1928	0.14238396286964417	0.59461474	Yes	
row_97	SMC1A	na	2137	0.13341383635997772	0.58659196	No	
row_98	FANCM	na	2141	0.13328471779823303	0.5899755	No	
row_99	SUN1	na	2217	0.13049869239330292	0.5892775	No	
row_100	TOP3A	na	2307	0.12723657488822937	0.58771336	No	
row_101	KIF22	na	2428	0.12274482846260071	0.5843043	No	
row_102	TEX14	na	2465	0.12163172662258148	0.5855407	No	
row_103	TACC3	na	2477	0.12136396765708923	0.5881614	No	
row_104	RAD21	na	2499	0.12061972171068192	0.5902058	No	
row_105	TOP3B	na	2616	0.11628805100917816	0.58684725	No	
row_106	STAG3	na	2661	0.1147310808300972	0.5874546	No	
row_107	CENPW	na	2735	0.11264147609472275	0.5863922	No	
row_108	ANAPC1	na	2750	0.11212243139743805	0.5885998	No	
row_109	TOP2B	na	2770	0.11163752526044846	0.5905162	No	
row_110	STAG1	na	2961	0.10672158002853394	0.5827842	No	
row_111	TENT4A	na	3055	0.10419012606143951	0.58038354	No	
row_112	ANKRD31	na	3105	0.10290077328681946	0.5803974	No	
row_113	DYNC1LI1	na	3116	0.10272591561079025	0.58257735	No	
row_114	RCC1	na	3163	0.1018436998128891	0.5827301	No	
row_115	TLK2	na	3261	0.09888718277215958	0.57996553	No	
row_116	RRS1	na	3357	0.09632731229066849	0.5772441	No	
row_117	SEH1L	na	3546	0.09141630679368973	0.5692157	No	
row_118	BOD1	na	3571	0.09072675555944443	0.57029676	No	
row_119	SMC3	na	3660	0.0883086547255516	0.5677513	No	
row_120	ZW10	na	3681	0.08793710172176361	0.5689807	No	
row_121	PHF13	na	3718	0.08716493099927902	0.569299	No	
row_122	CENPS	na	3747	0.0865565687417984	0.5700463	No	
row_123	TERF1	na	3806	0.0851171687245369	0.5690856	No	
row_124	ERCC2	na	3823	0.08467444777488708	0.57045066	No	
row_125	NUP62	na	3887	0.0831650123000145	0.5691597	No	
row_126	NEK11	na	4234	0.07558969408273697	0.55191576	No	
row_127	DDX11	na	4243	0.07533019781112671	0.55347717	No	
row_128	P3H4	na	4254	0.07504624873399734	0.5549198	No	
row_129	POGZ	na	4469	0.07113931328058243	0.5449041	No	
row_130	TUBG1	na	4473	0.0710979551076889	0.5466311	No	
row_131	MRE11	na	4533	0.07001923024654388	0.5452125	No	
row_132	ERCC4	na	4657	0.06775739043951035	0.54017156	No	
row_133	ANAPC11	na	4761	0.06581953167915344	0.5361922	No	
row_134	KLHL22	na	4924	0.0624307282269001	0.52883875	No	
row_135	CSNK2A1	na	4999	0.0610046349465847	0.5263452	No	
row_136	NUP37	na	5049	0.060350123792886734	0.5252256	No	
row_137	STAG3L4	na	5173	0.058397695422172546	0.51993537	No	
row_138	CDK5RAP2	na	5284	0.05637205392122269	0.5153147	No	
row_139	CIAO1	na	5334	0.05526523292064667	0.51405966	No	
row_140	CDC27	na	5377	0.05473625287413597	0.51318014	No	
row_141	ANKRD53	na	5409	0.05427221953868866	0.51290053	No	
row_142	NAA50	na	5410	0.05425064638257027	0.51434565	No	
row_143	CHMP2B	na	5443	0.05364349111914635	0.5139936	No	
row_144	TOP1	na	5562	0.051631320267915726	0.5088014	No	
row_145	MAD1L1	na	5655	0.0501193031668663	0.505016	No	
row_146	CDC23	na	5676	0.04980688914656639	0.50522965	No	
row_147	MIS12	na	5694	0.04961691051721573	0.5056052	No	
row_148	KPNB1	na	5698	0.04956880956888199	0.5067587	No	
row_149	HDAC8	na	5705	0.04952123761177063	0.50774395	No	
row_150	SMC5	na	5748	0.048592157661914825	0.50670075	No	
row_151	USP9X	na	5872	0.046703532338142395	0.501099	No	
row_152	STAG3L1	na	5877	0.04651857540011406	0.50211555	No	
row_153	HORMAD1	na	5881	0.046463534235954285	0.5031863	No	
row_154	SIRT2	na	5932	0.04578695073723793	0.50162315	No	
row_155	CHMP4B	na	5966	0.04537889361381531	0.5009953	No	
row_156	NIPBL	na	6008	0.04474024847149849	0.49990514	No	
row_157	RECQL5	na	6067	0.043559569865465164	0.49783736	No	
row_158	BECN1	na	6170	0.04185837507247925	0.49327534	No	
row_159	PUM2	na	6179	0.04175862669944763	0.49394247	No	
row_160	ACTR2	na	6294	0.03996569663286209	0.48866215	No	
row_161	NSMCE2	na	6308	0.0396060086786747	0.48899364	No	
row_162	PDS5B	na	6324	0.03941924870014191	0.48920888	No	
row_163	UVRAG	na	6476	0.03686260059475899	0.48178655	No	
row_164	MCMBP	na	6545	0.0356610082089901	0.47895178	No	
