NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EME1	na	7	0.4423238933086395	0.020918813	Yes	
row_1	POLQ	na	10	0.4337271451950073	0.041699536	Yes	
row_2	CCNE1	na	20	0.4082704782485962	0.060867723	Yes	
row_3	GINS1	na	23	0.4012804925441742	0.080085605	Yes	
row_4	ORC6	na	30	0.3910982310771942	0.09859225	Yes	
row_5	DSCC1	na	31	0.39006465673446655	0.1173803	Yes	
row_6	ATAD5	na	33	0.38935592770576477	0.13607901	Yes	
row_7	MCM10	na	37	0.3851524293422699	0.15446487	Yes	
row_8	CDC45	na	77	0.35252320766448975	0.169292	Yes	
row_9	BLM	na	86	0.3454636335372925	0.18549019	Yes	
row_10	CDC6	na	107	0.3302302956581116	0.20029229	Yes	
row_11	BRCA2	na	113	0.3268110156059265	0.21575765	Yes	
row_12	RFC4	na	133	0.3205629587173462	0.23014931	Yes	
row_13	TICRR	na	143	0.31632715463638306	0.2448889	Yes	
row_14	DBF4B	na	152	0.31341543793678284	0.25954345	Yes	
row_15	PRIM1	na	161	0.3074474632740021	0.27391055	Yes	
row_16	GINS4	na	191	0.29905393719673157	0.28671423	Yes	
row_17	ORC1	na	220	0.29095250368118286	0.29918286	Yes	
row_18	CDC7	na	234	0.28821998834609985	0.31234786	Yes	
row_19	RAD51	na	236	0.2874767780303955	0.32613942	Yes	
row_20	MCM2	na	273	0.2796883285045624	0.33762392	Yes	
row_21	DNA2	na	313	0.27117016911506653	0.3485326	Yes	
row_22	DBF4	na	329	0.2675701975822449	0.36059254	Yes	
row_23	RECQL4	na	354	0.26203882694244385	0.37188932	Yes	
row_24	MCMDC2	na	355	0.26196643710136414	0.38450733	Yes	
row_25	RFC3	na	374	0.25815173983573914	0.39594805	Yes	
row_26	CDK2	na	386	0.25665751099586487	0.40770316	Yes	
row_27	RPA3	na	412	0.2522203028202057	0.4184718	Yes	
row_28	GEN1	na	428	0.24938759207725525	0.429656	Yes	
row_29	GINS2	na	447	0.24642877280712128	0.44053206	Yes	
row_30	POLA1	na	455	0.24470549821853638	0.45193228	Yes	
row_31	CCNE2	na	520	0.236044242978096	0.45976913	Yes	
row_32	DONSON	na	545	0.23249031603336334	0.46964264	Yes	
row_33	FBXO5	na	596	0.22693884372711182	0.47781366	Yes	
row_34	WDHD1	na	614	0.22526149451732635	0.48772535	Yes	
row_35	CHEK2	na	622	0.22433622181415558	0.49814448	Yes	
row_36	RFC5	na	626	0.22410060465335846	0.508773	Yes	
row_37	CDT1	na	648	0.22113098204135895	0.518265	Yes	
row_38	FEN1	na	662	0.2203740030527115	0.52816206	Yes	
row_39	TIMELESS	na	928	0.1959337741136551	0.5229724	Yes	
row_40	LIG3	na	1009	0.18916629254817963	0.5276681	Yes	
row_41	RTEL1	na	1180	0.17778463661670685	0.5268479	Yes	
row_42	CHTF18	na	1200	0.1763341724872589	0.5342926	Yes	
row_43	MCM4	na	1239	0.17421740293502808	0.54058653	Yes	
