NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.0185172	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.03686126	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.055539027	Yes	
row_3	NCAPH	na	79	0.3498130738735199	0.071249865	Yes	
row_4	CENPO	na	118	0.32642969489097595	0.08556396	Yes	
row_5	TOP2A	na	138	0.31734612584114075	0.10047098	Yes	
row_6	CDCA5	na	148	0.3153299391269684	0.11582909	Yes	
row_7	MIS18A	na	163	0.3072768449783325	0.13050604	Yes	
row_8	HJURP	na	169	0.30605441331863403	0.14561874	Yes	
row_9	CHAF1B	na	240	0.2864115834236145	0.1561528	Yes	
row_10	OIP5	na	244	0.2854926586151123	0.1703421	Yes	
row_11	H3C8	na	263	0.281548410654068	0.1835044	Yes	
row_12	MCM2	na	273	0.2796883285045624	0.19707039	Yes	
row_13	NCAPG	na	306	0.2723560929298401	0.20899706	Yes	
row_14	H3C10	na	333	0.26709479093551636	0.22099064	Yes	
row_15	ASF1B	na	416	0.25093522667884827	0.22907794	Yes	
row_16	CENPU	na	437	0.24796783924102783	0.24044126	Yes	
row_17	CDK1	na	448	0.2464074194431305	0.2522786	Yes	
row_18	NCAPG2	na	454	0.2452731877565384	0.2643351	Yes	
row_19	H2BC13	na	463	0.2440875619649887	0.27616626	Yes	
row_20	CENPP	na	464	0.24400019645690918	0.288435	Yes	
row_21	H2BW1	na	473	0.24298614263534546	0.30021077	Yes	
row_22	H2BC15	na	474	0.24269798398017883	0.31241405	Yes	
row_23	H2BC19P	na	479	0.2421148121356964	0.324367	Yes	
row_24	H2BC11	na	485	0.24080941081047058	0.33619907	Yes	
row_25	SMC2	na	495	0.23919431865215302	0.34772894	Yes	
row_26	H4C8	na	503	0.23812833428382874	0.35931572	Yes	
row_27	H4C4	na	504	0.23812079429626465	0.3712888	Yes	
row_28	H2BU1	na	514	0.23672239482402802	0.3826944	Yes	
row_29	H2BC7	na	533	0.23426170647144318	0.39347905	Yes	
row_30	H2BC17	na	564	0.23006151616573334	0.40338957	Yes	
row_31	NUSAP1	na	576	0.22878915071487427	0.41428575	Yes	
row_32	CENPN	na	600	0.22689543664455414	0.42442378	Yes	
row_33	H4C14	na	607	0.2265474796295166	0.43548352	Yes	
row_34	H2BC21	na	633	0.22350002825260162	0.4453403	Yes	
row_35	CENPM	na	674	0.21888934075832367	0.4541366	Yes	
row_36	SMC4	na	703	0.21663060784339905	0.4634823	Yes	
row_37	KNL1	na	739	0.21392250061035156	0.47230506	Yes	
row_38	H4C12	na	830	0.20459076762199402	0.47762012	Yes	
row_39	H4C9	na	848	0.2032838612794876	0.48690242	Yes	
row_40	CENPH	na	908	0.19866546988487244	0.49363214	Yes	
row_41	NAP1L2	na	924	0.19607999920845032	0.5026627	Yes	
row_42	CCNB1	na	942	0.19436752796173096	0.51149666	Yes	
row_43	H1-2	na	949	0.19368579983711243	0.520904	Yes	
row_44	CENPK	na	954	0.19339574873447418	0.5304073	Yes	
row_45	HMGB2	na	1000	0.19008585810661316	0.53747904	Yes	
row_46	H2BC12	na	1061	0.18572835624217987	0.54350305	Yes	
row_47	H1-3	na	1086	0.1836034208536148	0.55140907	Yes	
row_48	H4C5	na	1130	0.1805599480867386	0.5581123	Yes	
row_49	H2BC18	na	1187	0.17744296789169312	0.5639407	Yes	
row_50	H1-5	na	1368	0.16756018996238708	0.56242174	Yes	
row_51	CENPQ	na	1394	0.1661854088306427	0.5693967	Yes	
row_52	NCAPD3	na	1487	0.16171927750110626	0.5724456	Yes	
row_53	ITGB3BP	na	1600	0.15696433186531067	0.5741505	Yes	
row_54	H1-4	na	1604	0.15688727796077728	0.58187336	Yes	
row_55	CENPX	na	1677	0.15408921241760254	0.58564353	Yes	
row_56	CHAF1A	na	1684	0.15382060408592224	0.59304637	Yes	
row_57	CENPV	na	1687	0.15377937257289886	0.6006682	Yes	
row_58	H2BC4	na	1826	0.14681144058704376	0.6004262	Yes	
row_59	NCAPD2	na	1851	0.14568667113780975	0.6064257	Yes	
row_60	H3C4	na	1866	0.1450657993555069	0.6129464	Yes	
row_61	HELLS	na	1876	0.14453992247581482	0.6197169	Yes	
row_62	H2BC5	na	1885	0.1441037654876709	0.6265207	Yes	
row_63	CDKN2A	na	1914	0.14280427992343903	0.6321543	Yes	
row_64	RUVBL1	na	2085	0.13556717336177826	0.62957907	Yes	
row_65	H1-0	na	2104	0.1347070336341858	0.635358	Yes	
row_66	MIS18BP1	na	2225	0.130059152841568	0.6352681	Yes	
row_67	H1-10	na	2339	0.12617194652557373	0.6353695	Yes	
row_68	TSPYL5	na	2598	0.11696512997150421	0.6269973	No	
row_69	CENPW	na	2735	0.11264147609472275	0.6251477	No	
row_70	TENT4A	na	3055	0.10419012606143951	0.6127632	No	
row_71	H2BC6	na	3064	0.10391809791326523	0.61754644	No	
row_72	RBBP7	na	3193	0.10103650391101837	0.6155553	No	
row_73	SMARCA1	na	3222	0.10018891841173172	0.6190461	No	
row_74	NASP	na	3224	0.10016929358243942	0.6240275	No	
row_75	H2AX	na	3267	0.09879806637763977	0.62667495	No	
row_76	PHF13	na	3718	0.08716493099927902	0.60619724	No	
row_77	CENPS	na	3747	0.0865565687417984	0.60900253	No	
row_78	TSPY26P	na	3781	0.08586431294679642	0.61149687	No	
row_79	SMCHD1	na	3834	0.08435863256454468	0.61286575	No	
row_80	H2BC8	na	3851	0.08386153727769852	0.61619854	No	
row_81	CHD5	na	3867	0.08355052769184113	0.6195709	No	
row_82	POLE3	na	3997	0.08106306195259094	0.6165202	No	
row_83	H3C6	na	4264	0.07488985359668732	0.60559046	No	
row_84	H4-16	na	4463	0.0712069422006607	0.59823227	No	
row_85	HAT1	na	4474	0.0710969790816307	0.6012547	No	
row_86	AIFM1	na	4784	0.06542113423347473	0.5874733	No	
row_87	SHPRH	na	4795	0.06521172821521759	0.59019977	No	
row_88	PAF1	na	4808	0.06495783478021622	0.592803	No	
row_89	H2BC9	na	4893	0.06323793530464172	0.5913421	No	
