NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.053430863	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.105217904	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.1570488	Yes	
row_3	CENPO	na	118	0.32642969489097595	0.19824599	Yes	
row_4	MIS18A	na	163	0.3072768449783325	0.23838314	Yes	
row_5	HJURP	na	169	0.30605441331863403	0.28049245	Yes	
row_6	OIP5	na	244	0.2854926586151123	0.31596556	Yes	
row_7	ASF1B	na	416	0.25093522667884827	0.34132683	Yes	
row_8	CENPU	na	437	0.24796783924102783	0.3745684	Yes	
row_9	CENPP	na	464	0.24400019645690918	0.40693107	Yes	
row_10	H4C8	na	503	0.23812833428382874	0.43782166	Yes	
row_11	H4C4	na	504	0.23812079429626465	0.47079775	Yes	
row_12	CENPN	na	600	0.22689543664455414	0.49700296	Yes	
row_13	H4C14	na	607	0.2265474796295166	0.52804685	Yes	
row_14	CENPM	na	674	0.21888934075832367	0.5547357	Yes	
row_15	KNL1	na	739	0.21392250061035156	0.58084655	Yes	
row_16	H4C12	na	830	0.20459076762199402	0.60423744	Yes	
row_17	H4C9	na	848	0.2032838612794876	0.63145566	Yes	
row_18	CENPH	na	908	0.19866546988487244	0.65572816	Yes	
row_19	CENPK	na	954	0.19339574873447418	0.68003964	Yes	
row_20	H4C5	na	1130	0.1805599480867386	0.69543535	Yes	
row_21	CENPQ	na	1394	0.1661854088306427	0.70400846	Yes	
row_22	ITGB3BP	na	1600	0.15696433186531067	0.71448934	Yes	
row_23	CENPX	na	1677	0.15408921241760254	0.73165524	Yes	
row_24	RUVBL1	na	2085	0.13556717336177826	0.72808135	Yes	
row_25	MIS18BP1	na	2225	0.130059152841568	0.7384602	Yes	
row_26	CENPW	na	2735	0.11264147609472275	0.7261107	No	
row_27	RBBP7	na	3193	0.10103650391101837	0.7150094	No	
row_28	NASP	na	3224	0.10016929358243942	0.727234	No	
row_29	CENPS	na	3747	0.0865565687417984	0.71055835	No	
row_30	POLE3	na	3997	0.08106306195259094	0.70811206	No	
row_31	H4-16	na	4463	0.0712069422006607	0.6924405	No	
row_32	HAT1	na	4474	0.0710969790816307	0.7017373	No	
row_33	RBBP4	na	5989	0.04505856707692146	0.6248452	No	
row_34	SUPT16H	na	6766	0.032395780086517334	0.58672225	No	
row_35	ATRX	na	7412	0.0225210003554821	0.5544248	No	
row_36	RSF1	na	7432	0.022246845066547394	0.5564624	No	
row_37	H3-3B	na	8299	0.009752222336828709	0.5102619	No	
row_38	CENPT	na	8553	0.005889356601983309	0.49718553	No	
row_39	HIRA	na	8691	0.003989628050476313	0.49021554	No	
row_40	IPO4	na	8977	2.740613999776542E-4	0.47460446	No	
row_41	SMARCA5	na	9562	-0.007352699059993029	0.44355592	No	
row_42	H3-3A	na	9755	-0.009636753238737583	0.434348	No	
row_43	NPM1	na	11465	-0.031783174723386765	0.34491023	No	
row_44	CABIN1	na	11892	-0.037440575659275055	0.326704	No	
row_45	UBN1	na	12433	-0.045219022780656815	0.30331537	No	
row_46	ASF1A	na	12700	-0.04959293082356453	0.29557747	No	
row_47	CENPC	na	13922	-0.06936390697956085	0.23813961	No	
