NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.05277003	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.103924036	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.15512736	Yes	
row_3	CENPO	na	118	0.32642969489097595	0.19577928	Yes	
row_4	MIS18A	na	163	0.3072768449783325	0.23540324	Yes	
row_5	HJURP	na	169	0.30605441331863403	0.27700153	Yes	
row_6	OIP5	na	244	0.2854926586151123	0.3119977	Yes	
row_7	CENPU	na	437	0.24796783924102783	0.33538038	Yes	
row_8	CENPP	na	464	0.24400019645690918	0.36733556	Yes	
row_9	H4C8	na	503	0.23812833428382874	0.39782843	Yes	
row_10	H4C4	na	504	0.23812079429626465	0.43040693	Yes	
row_11	CENPN	na	600	0.22689543664455414	0.456233	Yes	
row_12	H4C14	na	607	0.2265474796295166	0.48689863	Yes	
row_13	CENPM	na	674	0.21888934075832367	0.5132218	Yes	
row_14	KNL1	na	739	0.21392250061035156	0.53897524	Yes	
row_15	H4C12	na	830	0.20459076762199402	0.56202424	Yes	
row_16	H4C9	na	848	0.2032838612794876	0.588903	Yes	
row_17	CENPH	na	908	0.19866546988487244	0.61284363	Yes	
row_18	CENPK	na	954	0.19339574873447418	0.63683206	Yes	
row_19	H4C5	na	1130	0.1805599480867386	0.6519258	Yes	
row_20	CENPQ	na	1394	0.1661854088306427	0.6602206	Yes	
row_21	ITGB3BP	na	1600	0.15696433186531067	0.67043877	Yes	
row_22	CENPX	na	1677	0.15408921241760254	0.6873472	Yes	
row_23	ANP32E	na	1797	0.1487359255552292	0.701162	Yes	
row_24	RUVBL1	na	2085	0.13556717336177826	0.7039499	Yes	
row_25	MIS18BP1	na	2225	0.130059152841568	0.7141112	Yes	
row_26	CENPW	na	2735	0.11264147609472275	0.7015721	Yes	
row_27	VPS72	na	3179	0.10136313736438751	0.6911141	Yes	
row_28	RBBP7	na	3193	0.10103650391101837	0.7042236	Yes	
row_29	NASP	na	3224	0.10016929358243942	0.71628094	Yes	
row_30	CENPS	na	3747	0.0865565687417984	0.69945914	No	
row_31	CHD5	na	3867	0.08355052769184113	0.7043556	No	
row_32	POLE3	na	3997	0.08106306195259094	0.70836264	No	
row_33	H4-16	na	4463	0.0712069422006607	0.6925708	No	
row_34	ACTR6	na	4908	0.06284875422716141	0.67678857	No	
row_35	RBBP4	na	5989	0.04505856707692146	0.6236484	No	
row_36	PSME4	na	7018	0.028244568035006523	0.57106334	No	
row_37	RSF1	na	7432	0.022246845066547394	0.55142844	No	
row_38	SPTY2D1	na	7984	0.014213085174560547	0.5231165	No	
row_39	CENPT	na	8553	0.005889356601983309	0.49273235	No	
row_40	PTMA	na	8559	0.0057997372932732105	0.4932513	No	
row_41	RNF8	na	8825	0.0021140503231436014	0.4789889	No	
row_42	SMARCA5	na	9562	-0.007352699059993029	0.4395797	No	
row_43	ZNHIT1	na	11106	-0.02686147764325142	0.35852575	No	
row_44	NPM1	na	11465	-0.031783174723386765	0.3432157	No	
row_45	SRCAP	na	11727	-0.03535450994968414	0.33372074	No	
row_46	DMAP1	na	11898	-0.03753772750496864	0.32952145	No	
row_47	CENPC	na	13922	-0.06936390697956085	0.22792476	No	
row_48	SYCP3	na	14185	-0.07435695827007294	0.223711	No	
