NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S1PR3	na	788	0.20856522023677826	-0.016875165	No	
row_1	FZD5	na	1285	0.17215006053447723	-0.0223116	No	
row_2	NLRP2	na	2008	0.1392509788274765	-0.044351347	No	
row_3	RIPK2	na	2210	0.13071183860301971	-0.03882137	No	
row_4	IL1B	na	2927	0.10759991407394409	-0.06454691	No	
row_5	ARRB2	na	3406	0.09492994099855423	-0.07879083	No	
row_6	NLRP12	na	3882	0.08328258246183395	-0.09434753	No	
row_7	CCR7	na	5142	0.05885351076722145	-0.15612091	No	
row_8	P2RX7	na	5248	0.057060934603214264	-0.15465584	No	
row_9	CLEC7A	na	5342	0.055175136774778366	-0.15277009	No	
row_10	LPL	na	5496	0.052628930658102036	-0.15450716	No	
row_11	TNFAIP3	na	5612	0.05080484598875046	-0.1543858	No	
row_12	NLRP7	na	5990	0.045045025646686554	-0.16940431	No	
row_13	MALT1	na	6208	0.041337959468364716	-0.17609371	No	
row_14	NLRC4	na	6551	0.03562478348612785	-0.19038256	No	
row_15	NOD1	na	6558	0.03550676628947258	-0.18620755	No	
row_16	HMGB1	na	6993	0.028577178716659546	-0.20645022	No	
row_17	CD36	na	7509	0.021157745271921158	-0.23208897	No	
row_18	ABCA1	na	8607	0.005107089411467314	-0.29177207	No	
row_19	APP	na	8750	0.003239411860704422	-0.29917055	No	
row_20	CCL3	na	9033	-2.957013202831149E-4	-0.31464204	No	
row_21	ERRFI1	na	9438	-0.005599679425358772	-0.33615014	No	
row_22	TLR8	na	9456	-0.005824952386319637	-0.33634603	No	
row_23	CPTP	na	9693	-0.008976946584880352	-0.3481862	No	
row_24	LILRA5	na	9784	-0.010002796538174152	-0.35186678	No	
row_25	F2R	na	10146	-0.014477861113846302	-0.36988357	No	
row_26	ACP5	na	10413	-0.017772046849131584	-0.38225776	No	
row_27	SIRPA	na	11076	-0.026433655992150307	-0.4153116	No	
row_28	NOD2	na	11303	-0.029755238443613052	-0.42396554	No	
row_29	CD33	na	11322	-0.02997765876352787	-0.42115203	No	
row_30	CARD8	na	11488	-0.031998638063669205	-0.42616656	No	
row_31	TREM2	na	11610	-0.03362029045820236	-0.42855552	No	
row_32	IGF1	na	12087	-0.04037529602646828	-0.44961113	No	
row_33	TYROBP	na	12515	-0.04676533862948418	-0.46716118	No	
row_34	PANX1	na	12634	-0.04845130816102028	-0.46750343	No	
row_35	SUCNR1	na	12968	-0.05360491946339607	-0.47901604	No	
row_36	MNDA	na	12994	-0.05413393676280975	-0.47352263	No	
row_37	GSDMD	na	13164	-0.05669510364532471	-0.47562376	No	
row_38	NLRP3	na	13272	-0.05830438807606697	-0.4741109	No	
row_39	CCL19	na	13473	-0.061601296067237854	-0.47729445	No	
row_40	GBP5	na	13682	-0.06526290625333786	-0.48045337	No	
row_41	IFNG	na	13689	-0.06539539992809296	-0.4724862	No	
row_42	GHRL	na	14137	-0.07333680242300034	-0.4877649	No	
row_43	ARG2	na	14308	-0.07660651206970215	-0.48739472	No	
row_44	TLR6	na	14385	-0.07786911725997925	-0.4816947	No	
row_45	INAVA	na	14874	-0.08799084275960922	-0.497369	No	
row_46	PYHIN1	na	15319	-0.09769169241189957	-0.5093926	Yes	
row_47	CMA1	na	15340	-0.0982203483581543	-0.4980307	Yes	
row_48	EGR1	na	15362	-0.09891236573457718	-0.48663598	Yes	
row_49	TRIM16	na	15384	-0.09952535480260849	-0.47516346	Yes	
row_50	FOXP1	na	15521	-0.10261417180299759	-0.46962366	Yes	
row_51	ZC3H12A	na	15539	-0.10332319140434265	-0.45744932	Yes	
row_52	MEFV	na	15649	-0.10576528310775757	-0.4500248	Yes	
row_53	HSPB1	na	15678	-0.10634252429008484	-0.43807232	Yes	
row_54	CASP8	na	16063	-0.11694259196519852	-0.4443537	Yes	
row_55	SERPINB1	na	16180	-0.12052495032548904	-0.4354415	Yes	
row_56	LILRA2	na	16378	-0.1266358643770218	-0.43020868	Yes	
row_57	HK1	na	16579	-0.13289818167686462	-0.42434633	Yes	
row_58	TMEM106A	na	16687	-0.13712112605571747	-0.4128335	Yes	
row_59	GSTP1	na	16892	-0.14599905908107758	-0.40552893	Yes	
row_60	AGER	na	16954	-0.14912644028663635	-0.38996306	Yes	
row_61	F2RL1	na	17292	-0.16496600210666656	-0.38756657	Yes	
row_62	LGALS9	na	17327	-0.16688837110996246	-0.36826223	Yes	
row_63	JAK2	na	17462	-0.17691700160503387	-0.35318515	Yes	
row_64	CX3CL1	na	17601	-0.1872791200876236	-0.33701333	Yes	
row_65	PML	na	17727	-0.19734220206737518	-0.31884983	Yes	
row_66	PYCARD	na	17793	-0.20497162640094757	-0.29641852	Yes	
row_67	AIM2	na	17869	-0.21236400306224823	-0.27359924	Yes	
row_68	WNT5A	na	17892	-0.21456342935562134	-0.24758612	Yes	
row_69	TLR4	na	17903	-0.21551397442817688	-0.22079244	Yes	
row_70	CX3CR1	na	17973	-0.2252775877714157	-0.19600476	Yes	
row_71	SMAD3	na	17984	-0.22712989151477814	-0.16773729	Yes	
row_72	IFI16	na	18089	-0.24568615853786469	-0.14228512	Yes	
row_73	MR1	na	18148	-0.2659621834754944	-0.111730576	Yes	
row_74	CASP1	na	18202	-0.2889541685581207	-0.07798391	Yes	
row_75	CARD16	na	18213	-0.2969873249530792	-0.04085317	Yes	
row_76	NLRP1	na	18244	-0.34149760007858276	8.249474E-4	Yes	
