NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.046719205	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.090245396	Yes	
row_2	EME1	na	7	0.4423238933086395	0.1296764	Yes	
row_3	CCNE1	na	20	0.4082704782485962	0.1656658	Yes	
row_4	MEIOC	na	43	0.3778229057788849	0.19837241	Yes	
row_5	TTK	na	49	0.3734489977359772	0.23162077	Yes	
row_6	TRIP13	na	59	0.368221640586853	0.26418003	Yes	
row_7	ESPL1	na	74	0.3543851673603058	0.29522243	Yes	
row_8	NCAPH	na	79	0.3498130738735199	0.32640404	Yes	
row_9	BUB1	na	91	0.3433838486671448	0.35662377	Yes	
row_10	BRIP1	na	110	0.32955360412597656	0.38521725	Yes	
row_11	RMI1	na	114	0.32679498195648193	0.41438758	Yes	
row_12	TOP2A	na	138	0.31734612584114075	0.44161043	Yes	
row_13	SGO2	na	198	0.29669272899627686	0.46500063	Yes	
row_14	BUB1B	na	229	0.2895878255367279	0.489347	Yes	
row_15	FANCD2	na	251	0.2839699685573578	0.51368374	Yes	
row_16	MCMDC2	na	355	0.26196643710136414	0.5315383	Yes	
row_17	PLK1	na	434	0.24873705208301544	0.5495794	Yes	
row_18	SMC2	na	495	0.23919431865215302	0.5677532	Yes	
row_19	CCNE2	na	520	0.236044242978096	0.58762294	Yes	
row_20	DMC1	na	612	0.2253018170595169	0.60284585	Yes	
row_21	SMC4	na	703	0.21663060784339905	0.6173453	Yes	
row_22	RAD51C	na	731	0.2149139791727066	0.63515335	Yes	
row_23	SYCE2	na	870	0.20215168595314026	0.6457148	Yes	
row_24	HFM1	na	914	0.19755251705646515	0.661085	Yes	
row_25	SYCP2	na	1218	0.17538927495479584	0.6601752	Yes	
row_26	PTTG1	na	1232	0.174512580037117	0.6751261	Yes	
row_27	NDC1	na	1284	0.1721530556678772	0.6877765	Yes	
row_28	CENPX	na	1677	0.15408921241760254	0.68006295	No	
row_29	FANCM	na	2141	0.13328471779823303	0.6665795	No	
row_30	SUN1	na	2217	0.13049869239330292	0.6741717	No	
row_31	STAG3	na	2661	0.1147310808300972	0.660122	No	
row_32	TOP2B	na	2770	0.11163752526044846	0.6642073	No	
row_33	ANKRD31	na	3105	0.10290077328681946	0.6550866	No	
row_34	CENPS	na	3747	0.0865565687417984	0.62762505	No	
row_35	TERF1	na	3806	0.0851171687245369	0.6320779	No	
row_36	P3H4	na	4254	0.07504624873399734	0.61424595	No	
row_37	MRE11	na	4533	0.07001923024654388	0.60525155	No	
row_38	ERCC4	na	4657	0.06775739043951035	0.6045734	No	
row_39	HORMAD1	na	5881	0.046463534235954285	0.54152435	No	
row_40	ACTR2	na	6294	0.03996569663286209	0.5224671	No	
row_41	SYCE1L	na	7322	0.023916345089673996	0.46816677	No	
row_42	MLH1	na	7462	0.021938327699899673	0.46249622	No	
row_43	CCNB1IP1	na	7475	0.02167721465229988	0.46378255	No	
row_44	TEX11	na	7631	0.019125808030366898	0.4569801	No	
row_45	BAG6	na	8872	0.0014902719995006919	0.38895956	No	
row_46	AGO4	na	9204	-0.0025710680056363344	0.37099755	No	
row_47	PPP2R1A	na	9545	-0.007107775658369064	0.3529481	No	
row_48	WAPL	na	10117	-0.014180919155478477	0.3228371	No	
row_49	MUS81	na	10390	-0.017467763274908066	0.30945513	No	
row_50	NCAPH2	na	10399	-0.017584243789315224	0.3105939	No	
row_51	UBE2B	na	11289	-0.029539357870817184	0.2643833	No	
row_52	ACTR3	na	12094	-0.040478017181158066	0.22382645	No	
row_53	MEI1	na	12351	-0.04411563649773598	0.21371599	No	
row_54	MLH3	na	13137	-0.0563826784491539	0.17563117	No	
row_55	M1AP	na	13725	-0.0658673569560051	0.14928046	No	
row_56	SYCE3	na	13791	-0.06691890209913254	0.15171492	No	
row_57	CENPC	na	13922	-0.06936390697956085	0.15079625	No	
row_58	SLX4	na	14642	-0.08283553272485733	0.11871358	No	
row_59	ATM	na	14727	-0.0847063884139061	0.12170046	No	
row_60	MAPK15	na	14971	-0.09024418145418167	0.1164453	No	
row_61	SHOC1	na	15291	-0.09686898440122604	0.10760763	No	
row_62	CCDC36	na	16040	-0.11630954593420029	0.076935865	No	
row_63	REC8	na	16520	-0.13094623386859894	0.062363077	No	
row_64	RNF212	na	17267	-0.1636579930782318	0.036051534	No	
row_65	EME2	na	17797	-0.2051660120487213	0.02539303	No	
