NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.025485681	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.049229547	Yes	
row_2	KIF18B	na	29	0.3942987620830536	0.06704702	Yes	
row_3	DSCC1	na	31	0.39006465673446655	0.0860926	Yes	
row_4	SPAG5	na	47	0.3746994733810425	0.10361284	Yes	
row_5	TTK	na	49	0.3734489977359772	0.121844776	Yes	
row_6	NEK2	na	57	0.37076812982559204	0.13961418	Yes	
row_7	TRIP13	na	59	0.368221640586853	0.15759014	Yes	
row_8	ESPL1	na	74	0.3543851673603058	0.17417084	Yes	
row_9	NCAPH	na	79	0.3498130738735199	0.19107974	Yes	
row_10	KIF4A	na	88	0.34481796622276306	0.2075232	Yes	
row_11	BUB1	na	91	0.3433838486671448	0.22422768	Yes	
row_12	HASPIN	na	101	0.33657410740852356	0.24021225	Yes	
row_13	CDC6	na	107	0.3302302956581116	0.256107	Yes	
row_14	MAD2L1	na	109	0.32974255084991455	0.2721987	Yes	
row_15	CDCA8	na	140	0.3166016638278961	0.28604588	Yes	
row_16	NDC80	na	147	0.3155629634857178	0.3011672	Yes	
row_17	CDCA5	na	148	0.3153299391269684	0.31660834	Yes	
row_18	KIF2C	na	189	0.2991792559623718	0.32905024	Yes	
row_19	KIF14	na	205	0.2946458160877228	0.3426504	Yes	
row_20	AURKB	na	206	0.2945592999458313	0.35707447	Yes	
row_21	DSN1	na	208	0.2941659986972809	0.37142405	Yes	
row_22	KIF23	na	225	0.2900671660900116	0.3847448	Yes	
row_23	BUB1B	na	229	0.2895878255367279	0.39875978	Yes	
row_24	CENPF	na	275	0.27914825081825256	0.40994477	Yes	
row_25	KNSTRN	na	284	0.27672651410102844	0.42305392	Yes	
row_26	NCAPG	na	306	0.2723560929298401	0.43523133	Yes	
row_27	CENPE	na	344	0.2649793028831482	0.44616416	Yes	
row_28	CDC20	na	351	0.2623608410358429	0.45868024	Yes	
row_29	RACGAP1	na	359	0.26126712560653687	0.47108757	Yes	
row_30	KIF18A	na	383	0.2572842836380005	0.48241654	Yes	
row_31	KIFC1	na	396	0.2545696794986725	0.49421987	Yes	
row_32	GEN1	na	428	0.24938759207725525	0.50472045	Yes	
row_33	PLK1	na	434	0.24873705208301544	0.5166246	Yes	
row_34	PRC1	na	442	0.247090145945549	0.5283377	Yes	
row_35	SMC2	na	495	0.23919431865215302	0.5371798	Yes	
row_36	NUSAP1	na	576	0.22878915071487427	0.5439665	Yes	
row_37	FBXO5	na	596	0.22693884372711182	0.5540303	Yes	
row_38	ZWINT	na	610	0.22577328979969025	0.5643683	Yes	
row_39	CDT1	na	648	0.22113098204135895	0.573154	Yes	
row_40	DLGAP5	na	667	0.21989935636520386	0.5829283	Yes	
row_41	SMC4	na	703	0.21663060784339905	0.591604	Yes	
row_42	INCENP	na	711	0.21598438918590546	0.60179394	Yes	
row_43	PSRC1	na	863	0.20261265337467194	0.60337895	Yes	
row_44	CCNB1	na	942	0.19436752796173096	0.6085905	Yes	
row_45	CENPK	na	954	0.19339574873447418	0.61745346	Yes	
row_46	SPDL1	na	1004	0.18954671919345856	0.62403	Yes	
row_47	PTTG1	na	1232	0.174512580037117	0.62004316	Yes	
row_48	MAD2L2	na	1288	0.17180168628692627	0.62541944	Yes	
row_49	MSTO1	na	1398	0.1656886488199234	0.6275152	Yes	
row_50	NCAPD3	na	1487	0.16171927750110626	0.6305759	Yes	
row_51	USP44	na	1512	0.16064028441905975	0.63711715	Yes	
row_52	NCAPD2	na	1851	0.14568667113780975	0.62559056	No	
row_53	SLF1	na	1928	0.14238396286964417	0.62836695	No	
row_54	SMC1A	na	2137	0.13341383635997772	0.62341654	No	
row_55	KIF22	na	2428	0.12274482846260071	0.61341655	No	
row_56	TEX14	na	2465	0.12163172662258148	0.6173851	No	
row_57	TACC3	na	2477	0.12136396765708923	0.6227208	No	
row_58	RAD21	na	2499	0.12061972171068192	0.62746793	No	
row_59	ANAPC1	na	2750	0.11212243139743805	0.6191561	No	
row_60	TENT4A	na	3055	0.10419012606143951	0.6074746	No	
row_61	DYNC1LI1	na	3116	0.10272591561079025	0.6091924	No	
row_62	RRS1	na	3357	0.09632731229066849	0.6006592	No	
row_63	SEH1L	na	3546	0.09141630679368973	0.5947564	No	
row_64	BOD1	na	3571	0.09072675555944443	0.5978741	No	
row_65	ZW10	na	3681	0.08793710172176361	0.5961625	No	
row_66	PHF13	na	3718	0.08716493099927902	0.59844327	No	
row_67	NUP62	na	3887	0.0831650123000145	0.5932406	No	
row_68	POGZ	na	4469	0.07113931328058243	0.5646478	No	
row_69	TUBG1	na	4473	0.0710979551076889	0.56796366	No	
row_70	ANAPC11	na	4761	0.06581953167915344	0.5553418	No	
row_71	KLHL22	na	4924	0.0624307282269001	0.54945505	No	
row_72	CDK5RAP2	na	5284	0.05637205392122269	0.5323955	No	
row_73	CDC27	na	5377	0.05473625287413597	0.5299966	No	
row_74	ANKRD53	na	5409	0.05427221953868866	0.53094274	No	
row_75	NAA50	na	5410	0.05425064638257027	0.53359926	No	
row_76	CHMP2B	na	5443	0.05364349111914635	0.5344594	No	
row_77	MAD1L1	na	5655	0.0501193031668663	0.52526456	No	
row_78	CDC23	na	5676	0.04980688914656639	0.52659935	No	
row_79	MIS12	na	5694	0.04961691051721573	0.5280905	No	
row_80	KPNB1	na	5698	0.04956880956888199	0.5303521	No	
row_81	SMC5	na	5748	0.048592157661914825	0.5300264	No	
row_82	CHMP4B	na	5966	0.04537889361381531	0.52026814	No	
row_83	NIPBL	na	6008	0.04474024847149849	0.5201954	No	
row_84	BECN1	na	6170	0.04185837507247925	0.5133565	No	
row_85	NSMCE2	na	6308	0.0396060086786747	0.50773233	No	
row_86	PDS5B	na	6324	0.03941924870014191	0.5088345	No	
row_87	CDC26	na	6851	0.03093867003917694	0.4813096	No	
row_88	CHMP4C	na	6956	0.029293792322278023	0.47700232	No	
row_89	CHAMP1	na	6962	0.029141860082745552	0.4781533	No	
row_90	PDS5A	na	7114	0.02681756392121315	0.47112995	No	
row_91	TPR	na	7394	0.022767409682273865	0.45684153	No	
row_92	ATRX	na	7412	0.0225210003554821	0.4570058	No	
row_93	HNRNPU	na	7599	0.019632255658507347	0.44769827	No	
row_94	CHMP1B	na	7671	0.01854298822581768	0.44468647	No	
row_95	CHMP5	na	7893	0.015383534133434296	0.4332386	No	
row_96	RAN	na	7914	0.01515051070600748	0.4328763	No	
row_97	XRCC3	na	7932	0.014807158149778843	0.4326628	No	
row_98	PCID2	na	8044	0.013192970305681229	0.42718068	No	
row_99	ANAPC5	na	8245	0.010498149320483208	0.41665295	No	
row_100	MACROH2A1	na	8361	0.008701727725565434	0.41073003	No	
row_101	LCMT1	na	8482	0.006947946269065142	0.40444517	No	
row_102	ZNF207	na	8534	0.006238270550966263	0.401935	No	
row_103	HIRA	na	8691	0.003989628050476313	0.39351776	No	
row_104	CHTF8	na	8704	0.003862402169033885	0.39304438	No	
row_105	MAP10	na	8924	9.53424081671983E-4	0.3810003	No	
row_106	VPS4B	na	9316	-0.004032483324408531	0.35961106	No	
row_107	PPP2R1A	na	9545	-0.007107775658369064	0.3473715	No	
row_108	NEK6	na	9718	-0.009258691221475601	0.33832893	No	
row_109	MAU2	na	9771	-0.0098634734749794	0.33594105	No	
row_110	PSMG2	na	9790	-0.010064747184515	0.33544016	No	
row_111	BUB3	na	10242	-0.015384404920041561	0.31129426	No	
row_112	NSL1	na	10342	-0.016815783455967903	0.306652	No	
row_113	NCAPH2	na	10399	-0.017584243789315224	0.30442137	No	
row_114	AKAP8L	na	10701	-0.0216531939804554	0.2888638	No	
row_115	NAA10	na	10705	-0.021680498495697975	0.2897598	No	
row_116	VPS4A	na	10731	-0.021957220509648323	0.28945482	No	
row_117	AKAP8	na	10982	-0.025547826662659645	0.2769036	No	
row_118	KATNB1	na	11311	-0.029855461791157722	0.26025704	No	
row_119	CHMP1A	na	11434	-0.03135380521416664	0.25505686	No	
row_120	HECW2	na	11443	-0.03147557005286217	0.2561565	No	
row_121	APC	na	11558	-0.03295266255736351	0.25147632	No	
row_122	NUMA1	na	11773	-0.035939883440732956	0.2414215	No	
row_123	RIOK2	na	11942	-0.03820722550153732	0.23401734	No	
row_124	CUL3	na	12047	-0.03970568627119064	0.23021993	No	
row_125	RAB11A	na	12311	-0.043638598173856735	0.21783687	No	
row_126	IK	na	12680	-0.04924960434436798	0.19993165	No	
row_127	DIS3L2	na	12809	-0.051004230976104736	0.19536248	No	
row_128	PIBF1	na	13548	-0.06289581954479218	0.15769817	No	
row_129	ANAPC15	na	13745	-0.06616004556417465	0.15011695	No	
row_130	CENPC	na	13922	-0.06936390697956085	0.1437968	No	
row_131	CHMP6	na	14075	-0.07239438593387604	0.13895006	No	
row_132	TTN	na	14129	-0.07316289842128754	0.13960665	No	
row_133	ANAPC4	na	14261	-0.0758129432797432	0.1360867	No	
row_134	INO80	na	14321	-0.07681635767221451	0.13659094	No	
row_135	CHMP2A	na	14533	-0.0806647390127182	0.12889186	No	
row_136	ATM	na	14727	-0.0847063884139061	0.12238445	No	
row_137	PHF23	na	14938	-0.08957666158676147	0.115176976	No	
row_138	TNKS	na	15170	-0.0943501889705658	0.10704387	No	
row_139	SLF2	na	15630	-0.10543069988489151	0.08686571	No	
row_140	AURKC	na	15707	-0.10732553154230118	0.087925375	No	
row_141	PINX1	na	16296	-0.12392900139093399	0.061531086	No	
row_142	RB1	na	16870	-0.14465592801570892	0.036979895	No	
row_143	CHMP7	na	17131	-0.15654294192790985	0.0302912	No	
row_144	CHMP4A	na	17688	-0.19423240423202515	0.009106235	No	
row_145	DUSP1	na	17746	-0.19847379624843597	0.015678238	No	
row_146	TUBG2	na	18127	-0.2570740580558777	0.0072872974	No	
