NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO1	na	0	0.5204532146453857	0.016705813	Yes	
row_1	NUF2	na	1	0.4848828911781311	0.03226987	Yes	
row_2	EME1	na	7	0.4423238933086395	0.046190448	Yes	
row_3	SMC1B	na	15	0.41244080662727356	0.059040867	Yes	
row_4	CCNE1	na	20	0.4082704782485962	0.07192386	Yes	
row_5	KIF18B	na	29	0.3942987620830536	0.08413646	Yes	
row_6	DSCC1	na	31	0.39006465673446655	0.09660151	Yes	
row_7	MEIOC	na	43	0.3778229057788849	0.10811883	Yes	
row_8	SPAG5	na	47	0.3746994733810425	0.11997972	Yes	
row_9	TTK	na	49	0.3734489977359772	0.13191143	Yes	
row_10	NEK2	na	57	0.37076812982559204	0.14342421	Yes	
row_11	TRIP13	na	59	0.368221640586853	0.15518813	Yes	
row_12	ESPL1	na	74	0.3543851673603058	0.16578668	Yes	
row_13	NCAPH	na	79	0.3498130738735199	0.17679328	Yes	
row_14	ECT2	na	81	0.34872108697891235	0.18793125	Yes	
row_15	KIF4A	na	88	0.34481796622276306	0.19866656	Yes	
row_16	BUB1	na	91	0.3433838486671448	0.20957774	Yes	
row_17	HASPIN	na	101	0.33657410740852356	0.21988198	Yes	
row_18	CDC6	na	107	0.3302302956581116	0.23020451	Yes	
row_19	MAD2L1	na	109	0.32974255084991455	0.24073331	Yes	
row_20	BRIP1	na	110	0.32955360412597656	0.2513115	Yes	
row_21	RMI1	na	114	0.32679498195648193	0.26163474	Yes	
row_22	TOP2A	na	138	0.31734612584114075	0.2705451	Yes	
row_23	CDCA8	na	140	0.3166016638278961	0.28065208	Yes	
row_24	NDC80	na	147	0.3155629634857178	0.29044834	Yes	
row_25	CDCA5	na	148	0.3153299391269684	0.30056998	Yes	
row_26	KIF2C	na	189	0.2991792559623718	0.30795407	Yes	
row_27	SGO2	na	198	0.29669272899627686	0.31703365	Yes	
row_28	KIF14	na	205	0.2946458160877228	0.3261585	Yes	
row_29	AURKB	na	206	0.2945592999458313	0.33561343	Yes	
row_30	DSN1	na	208	0.2941659986972809	0.34500027	Yes	
row_31	KIF23	na	225	0.2900671660900116	0.35342336	Yes	
row_32	BUB1B	na	229	0.2895878255367279	0.3625523	Yes	
row_33	FANCD2	na	251	0.2839699685573578	0.37050226	Yes	
row_34	CENPF	na	275	0.27914825081825256	0.37818652	Yes	
row_35	KNSTRN	na	284	0.27672651410102844	0.38662523	Yes	
row_36	NCAPG	na	306	0.2723560929298401	0.39420244	Yes	
row_37	FAM83D	na	324	0.26864945888519287	0.40188256	Yes	
row_38	CENPE	na	344	0.2649793028831482	0.40933394	Yes	
row_39	CDC20	na	351	0.2623608410358429	0.41742247	Yes	
row_40	MCMDC2	na	355	0.26196643710136414	0.4256648	Yes	
row_41	RACGAP1	na	359	0.26126712560653687	0.43388468	Yes	
row_42	KIF18A	na	383	0.2572842836380005	0.44086713	Yes	
row_43	KIFC1	na	396	0.2545696794986725	0.44837272	Yes	
row_44	GEN1	na	428	0.24938759207725525	0.45465785	Yes	
row_45	PLK1	na	434	0.24873705208301544	0.46236458	Yes	
row_46	PRC1	na	442	0.247090145945549	0.46990746	Yes	
row_47	SMC2	na	495	0.23919431865215302	0.4747004	Yes	
row_48	CCNE2	na	520	0.236044242978096	0.4809456	Yes	
row_49	NUSAP1	na	576	0.22878915071487427	0.48523808	Yes	
row_50	FBXO5	na	596	0.22693884372711182	0.4914684	Yes	
row_51	ZWINT	na	610	0.22577328979969025	0.49799418	Yes	
row_52	DMC1	na	612	0.2253018170595169	0.5051706	Yes	
row_53	CDT1	na	648	0.22113098204135895	0.51032686	Yes	
row_54	FEN1	na	662	0.2203740030527115	0.5166793	Yes	
row_55	DLGAP5	na	667	0.21989935636520386	0.5235159	Yes	
row_56	SMC4	na	703	0.21663060784339905	0.5285276	Yes	
row_57	INCENP	na	711	0.21598438918590546	0.5350721	Yes	
row_58	RAD51C	na	731	0.2149139791727066	0.54091644	Yes	
row_59	KNL1	na	739	0.21392250061035156	0.5473947	Yes	
row_60	DDX12P	na	807	0.2068149298429489	0.5503161	Yes	
row_61	PSRC1	na	863	0.20261265337467194	0.55376834	Yes	
row_62	RMI2	na	865	0.2023652046918869	0.5602085	Yes	
row_63	SYCE2	na	870	0.20215168595314026	0.5664754	Yes	
