NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL3	na	1762	0.15040934085845947	-0.0515768	No	
row_1	IL6	na	4622	0.0683920830488205	-0.18792176	No	
row_2	MTOR	na	6399	0.03802002966403961	-0.27395716	No	
row_3	IL23A	na	9615	-0.008010445162653923	-0.4479329	No	
row_4	PTPN2	na	10212	-0.01509049441665411	-0.47610623	No	
row_5	STK11	na	11315	-0.029891621321439743	-0.52760214	No	
row_6	FOXP3	na	13368	-0.05978018417954445	-0.62225616	Yes	
row_7	PTPRC	na	13692	-0.06543266773223877	-0.6203616	Yes	
row_8	STAT3	na	13748	-0.06622100621461868	-0.6035281	Yes	
row_9	TBX21	na	14138	-0.07335580140352249	-0.6028793	Yes	
row_10	IRF4	na	14225	-0.0751061663031578	-0.585083	Yes	
row_11	DOCK2	na	14330	-0.0768551155924797	-0.5677499	Yes	
row_12	BCL2	na	14999	-0.09080293029546738	-0.57717717	Yes	
row_13	FOXN1	na	15206	-0.0953013077378273	-0.55991036	Yes	
row_14	SRF	na	15386	-0.09954094141721725	-0.53989136	Yes	
row_15	STAT6	na	15461	-0.10129868239164352	-0.5135851	Yes	
row_16	ITPKB	na	15482	-0.10181558132171631	-0.4841614	Yes	
row_17	SLAMF6	na	15831	-0.11060412228107452	-0.4700975	Yes	
row_18	BCL11B	na	16173	-0.12024622410535812	-0.4527592	Yes	
row_19	LY9	na	16201	-0.12096919119358063	-0.41797796	Yes	
row_20	CYLD	na	16285	-0.12352869659662247	-0.38550162	Yes	
row_21	BATF	na	16291	-0.12371742725372314	-0.3486896	Yes	
row_22	IL12RB1	na	16506	-0.13028301298618317	-0.3213753	Yes	
row_23	THEMIS	na	16555	-0.1320144385099411	-0.28443512	Yes	
row_24	CD74	na	16621	-0.13438688218593597	-0.24771638	Yes	
row_25	SPN	na	16745	-0.13950712978839874	-0.21264468	Yes	
row_26	CD3E	na	16810	-0.1424960494041443	-0.17344023	Yes	
row_27	CD3G	na	16844	-0.14372307062149048	-0.13216728	Yes	
row_28	ZAP70	na	17236	-0.16175156831741333	-0.1051301	Yes	
row_29	SHH	na	17472	-0.17777925729751587	-0.06473009	Yes	
row_30	ZFPM1	na	17476	-0.17795926332473755	-0.0115484595	Yes	
row_31	CD3D	na	17527	-0.18163999915122986	0.040158086	Yes	
