NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNPT1	na	1300	0.17125961184501648	-0.02078588	No	
row_1	HTRA2	na	2766	0.11170673370361328	-0.06818469	No	
row_2	TRIM6	na	3190	0.10106856375932693	-0.06157501	No	
row_3	UBE2K	na	6457	0.03716769441962242	-0.2297291	No	
row_4	PLSCR1	na	6522	0.036039143800735474	-0.22261003	No	
row_5	UBE2G2	na	7659	0.01875566504895687	-0.27937964	No	
row_6	CDC34	na	8678	0.004085450433194637	-0.33400446	No	
row_7	DDX41	na	10881	-0.02413308061659336	-0.44765034	No	
row_8	STAT1	na	11647	-0.034096501767635345	-0.47954887	No	
row_9	IFNAR2	na	12261	-0.042858947068452835	-0.500527	No	
row_10	MNDA	na	12994	-0.05413393676280975	-0.5247061	No	
row_11	PYHIN1	na	15319	-0.09769169241189957	-0.6233482	Yes	
row_12	NDUFA13	na	15407	-0.09999875724315643	-0.59862685	Yes	
row_13	IFITM1	na	16101	-0.11786364018917084	-0.6018714	Yes	
row_14	IRF1	na	16619	-0.13435329496860504	-0.59060025	Yes	
row_15	BST2	na	16839	-0.14354318380355835	-0.5602756	Yes	
row_16	IKBKE	na	17028	-0.15168797969818115	-0.5258488	Yes	
row_17	CAPN2	na	17277	-0.16428813338279724	-0.49099636	Yes	
row_18	IFITM3	na	17294	-0.1650446653366089	-0.44319728	Yes	
row_19	SHFL	na	17760	-0.2004958838224411	-0.40956697	Yes	
row_20	AIM2	na	17869	-0.21236400306224823	-0.35285756	Yes	
row_21	XAF1	na	17981	-0.2268601953983307	-0.29203734	Yes	
row_22	TLR3	na	18028	-0.23523865640163422	-0.22518128	Yes	
row_23	IFI16	na	18089	-0.24568615853786469	-0.15601176	Yes	
row_24	IFITM2	na	18106	-0.25024279952049255	-0.08308526	Yes	
row_25	STING1	na	18230	-0.30997687578201294	0.0015904141	Yes	
