NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCST1	na	2826	0.1102060079574585	-0.13913862	No	
row_1	TRIM6	na	3190	0.10106856375932693	-0.14414398	No	
row_2	LSM14A	na	3192	0.10104117542505264	-0.12924032	No	
row_3	SAMHD1	na	3592	0.08993080258369446	-0.13787489	No	
row_4	IRAK1	na	4962	0.06176453083753586	-0.20403762	No	
row_5	FADD	na	5635	0.05046874284744263	-0.23353168	No	
row_6	TBK1	na	6066	0.04360479861497879	-0.25072986	No	
row_7	PTPN11	na	6147	0.04209570586681366	-0.24889848	No	
row_8	SHMT2	na	6269	0.04039265960454941	-0.24957457	No	
row_9	UBE2K	na	6457	0.03716769441962242	-0.25435865	No	
row_10	USP18	na	6920	0.029841864481568336	-0.27535465	No	
row_11	ADAR	na	7447	0.022099461406469345	-0.3010174	No	
row_12	IRF5	na	7456	0.02198985405266285	-0.29820198	No	
row_13	YTHDF3	na	7637	0.018984977155923843	-0.30529287	No	
row_14	SETD2	na	7855	0.01593291014432907	-0.31487095	No	
row_15	MAVS	na	7858	0.015900108963251114	-0.31262702	No	
row_16	IRF3	na	8116	0.012303092516958714	-0.3249428	No	
row_17	HSP90AB1	na	8227	0.010746845044195652	-0.32940271	No	
row_18	SCRIB	na	8258	0.010292494669556618	-0.32952923	No	
row_19	ABCE1	na	8543	0.006007790565490723	-0.3442622	No	
row_20	RSAD2	na	8587	0.005314656067639589	-0.34584078	No	
row_21	PTPN1	na	8710	0.0038008326664566994	-0.35198912	No	
row_22	MYD88	na	8951	6.28800829872489E-4	-0.36509806	No	
row_23	CACTIN	na	9004	1.659378358453978E-5	-0.36795607	No	
row_24	TYK2	na	9241	-0.0029447514098137617	-0.3805021	No	
row_25	METTL3	na	9625	-0.008150214329361916	-0.40036377	No	
row_26	YTHDF2	na	9744	-0.009535500779747963	-0.4054431	No	
row_27	IFI6	na	10068	-0.013565506786108017	-0.42120254	No	
row_28	PTPN2	na	10212	-0.01509049441665411	-0.42683467	No	
row_29	IFNAR1	na	10936	-0.024913975968956947	-0.46291745	No	
row_30	IRF8	na	11051	-0.02624659240245819	-0.46530274	No	
row_31	CNOT7	na	11347	-0.03041508048772812	-0.47702745	No	
row_32	CDC37	na	11588	-0.03336227685213089	-0.48529038	No	
row_33	STAT1	na	11647	-0.034096501767635345	-0.48343304	No	
row_34	MUL1	na	11853	-0.037036746740341187	-0.48922667	No	
row_35	TRIM56	na	12007	-0.039093226194381714	-0.4918554	No	
row_36	IFNAR2	na	12261	-0.042858947068452835	-0.4994275	No	
row_37	HLA-G	na	12500	-0.046357426792383194	-0.50565654	No	
row_38	STAT2	na	12731	-0.04999065026640892	-0.5109076	No	
row_39	IRF6	na	12991	-0.054107461124658585	-0.51714444	No	
row_40	MX2	na	13039	-0.05492422357201576	-0.5115986	No	
row_41	ISG15	na	13286	-0.05850355699658394	-0.5164695	No	
row_42	MX1	na	13483	-0.06176555156707764	-0.51810706	No	
row_43	PTPN6	na	13569	-0.06319355964660645	-0.5134273	No	
row_44	IP6K2	na	13735	-0.06602148711681366	-0.5127295	No	
row_45	OAS3	na	14125	-0.07309277355670929	-0.5233068	Yes	
row_46	IFIT1	na	14146	-0.07349495589733124	-0.5135264	Yes	
row_47	JAK1	na	14175	-0.07422255724668503	-0.5040783	Yes	
row_48	IRF4	na	14225	-0.0751061663031578	-0.4956546	Yes	
row_49	IFIT2	na	14470	-0.07944977283477783	-0.49731454	Yes	
row_50	ZBP1	na	14519	-0.08048583567142487	-0.4880394	Yes	
row_51	MMP12	na	14611	-0.0822754055261612	-0.48086467	Yes	
