NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL3	na	1762	0.15040934085845947	-0.063969426	No	
row_1	IL6	na	4622	0.0683920830488205	-0.20602375	No	
row_2	CCR7	na	5142	0.05885351076722145	-0.22169706	No	
row_3	GATA3	na	5158	0.05860544368624687	-0.20975642	No	
row_4	MTOR	na	6399	0.03802002966403961	-0.2695478	No	
row_5	ATG5	na	6406	0.037955693900585175	-0.26161054	No	
row_6	IL23A	na	9615	-0.008010445162653923	-0.4359748	No	
row_7	PTPN2	na	10212	-0.01509049441665411	-0.46540663	No	
row_8	RHOA	na	10746	-0.02222166210412979	-0.4898268	No	
row_9	STK11	na	11315	-0.029891621321439743	-0.5144979	No	
row_10	CARD11	na	12405	-0.04480283334851265	-0.56452256	No	
row_11	CD28	na	13019	-0.05455135554075241	-0.58629316	No	
row_12	FOXP3	na	13368	-0.05978018417954445	-0.5923773	No	
row_13	PTPRC	na	13692	-0.06543266773223877	-0.5958579	Yes	
row_14	STAT3	na	13748	-0.06622100621461868	-0.5844545	Yes	
row_15	GLI3	na	13920	-0.06932362914085388	-0.57874334	Yes	
row_16	TBX21	na	14138	-0.07335580140352249	-0.57467926	Yes	
row_17	IRF4	na	14225	-0.0751061663031578	-0.56304246	Yes	
row_18	DOCK2	na	14330	-0.0768551155924797	-0.5520129	Yes	
row_19	BCL2	na	14999	-0.09080293029546738	-0.5689074	Yes	
row_20	FOXN1	na	15206	-0.0953013077378273	-0.55945975	Yes	
row_21	SRF	na	15386	-0.09954094141721725	-0.5476065	Yes	
row_22	STAT6	na	15461	-0.10129868239164352	-0.52960634	Yes	
row_23	ITPKB	na	15482	-0.10181558132171631	-0.5085291	Yes	
row_24	SLAMF6	na	15831	-0.11060412228107452	-0.503544	Yes	
row_25	SYK	na	15895	-0.11231941729784012	-0.4825396	Yes	
row_26	BCL11B	na	16173	-0.12024622410535812	-0.47155672	Yes	
row_27	LY9	na	16201	-0.12096919119358063	-0.4466922	Yes	
row_28	CYLD	na	16285	-0.12352869659662247	-0.42434442	Yes	
row_29	BATF	na	16291	-0.12371742725372314	-0.3976736	Yes	
row_30	IL12RB1	na	16506	-0.13028301298618317	-0.38104627	Yes	
row_31	THEMIS	na	16555	-0.1320144385099411	-0.35492894	Yes	
row_32	CD1D	na	16592	-0.13370269536972046	-0.32778516	Yes	
row_33	CD74	na	16621	-0.13438688218593597	-0.30005318	Yes	
row_34	SPN	na	16745	-0.13950712978839874	-0.27642122	Yes	
row_35	CD3E	na	16810	-0.1424960494041443	-0.24889939	Yes	
row_36	CD3G	na	16844	-0.14372307062149048	-0.21940851	Yes	
row_37	IL15	na	17182	-0.15882883965969086	-0.20331626	Yes	
row_38	ZAP70	na	17236	-0.16175156831741333	-0.17099676	Yes	
row_39	SHH	na	17472	-0.17777925729751587	-0.14517769	Yes	
row_40	ZFPM1	na	17476	-0.17795926332473755	-0.106583364	Yes	
row_41	CD3D	na	17527	-0.18163999915122986	-0.06976753	Yes	
row_42	CD4	na	17820	-0.2071978896856308	-0.040670283	Yes	
row_43	JAG2	na	18214	-0.297135591506958	0.002470564	Yes	
