NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTSR1	na	857	0.18621107935905457	-0.03141377	No	
row_1	NUP155	na	1137	0.16471774876117706	-0.03377943	No	
row_2	DSC2	na	1808	0.1313607096672058	-0.059412394	No	
row_3	FMR1	na	1816	0.13098250329494476	-0.049892172	No	
row_4	KCNE2	na	2477	0.11014233529567719	-0.07659688	No	
row_5	CHRNB4	na	2677	0.10485965013504028	-0.07923781	No	
row_6	KCNE5	na	2902	0.09950398653745651	-0.083609805	No	
row_7	HCN4	na	3237	0.09203440696001053	-0.09438299	No	
row_8	KCNE3	na	4037	0.07519344240427017	-0.13110296	No	
row_9	DSP	na	4075	0.07454346865415573	-0.1274369	No	
row_10	GBA	na	4151	0.07284819334745407	-0.1259153	No	
row_11	HCN2	na	4716	0.06226164102554321	-0.15114173	No	
row_12	DLG1	na	4746	0.06185198202729225	-0.1480096	No	
row_13	CHRNA1	na	4817	0.06083688512444496	-0.14712977	No	
row_14	YWHAH	na	4876	0.05982442572712898	-0.14568962	No	
row_15	ATP2A2	na	5054	0.05693816393613815	-0.15078212	No	
row_16	CACNB3	na	5211	0.054492369294166565	-0.15494497	No	
row_17	SUMO1	na	5743	0.04587045684456825	-0.17965811	No	
row_18	SNTA1	na	5935	0.04359517619013786	-0.18650116	No	
row_19	FLNA	na	5937	0.04353882744908333	-0.18326621	No	
row_20	YWHAE	na	6163	0.04048924520611763	-0.19214801	No	
row_21	SCN8A	na	6228	0.03980940207839012	-0.19253777	No	
row_22	CAMK2D	na	6451	0.03654126822948456	-0.20155852	No	
row_23	DSG2	na	7004	0.029130825772881508	-0.22865017	No	
row_24	CLN3	na	7486	0.022311042994260788	-0.25248927	No	
row_25	CXADR	na	7612	0.020684048533439636	-0.25756028	No	
row_26	KCNN2	na	7793	0.018095843493938446	-0.2657453	No	
row_27	ATP1A1	na	8085	0.013608372770249844	-0.28015938	No	
row_28	JUP	na	8093	0.013472441583871841	-0.27951342	No	
row_29	FGF12	na	8130	0.013024603016674519	-0.28044012	No	
row_30	GJC1	na	8399	0.00982856098562479	-0.29391918	No	
row_31	PKP2	na	9151	1.7249619122594595E-4	-0.33375755	No	
row_32	KCNH2	na	9752	-0.007675768341869116	-0.36501658	No	
row_33	CACNA1H	na	10002	-0.011300352402031422	-0.37737623	No	
row_34	SLMAP	na	10304	-0.015173790976405144	-0.39220273	No	
row_35	FGF13	na	10712	-0.020898938179016113	-0.4122217	No	
row_36	P2RX1	na	10872	-0.023171300068497658	-0.41890907	No	
row_37	PTPN3	na	11003	-0.025187518447637558	-0.4239053	No	
row_38	SRI	na	11199	-0.027993809431791306	-0.43213883	No	
row_39	KCNMB3	na	11348	-0.030032504349946976	-0.43772435	No	
row_40	SCN2A	na	11555	-0.03349399194121361	-0.4461262	No	
row_41	BIN1	na	11665	-0.03516177833080292	-0.44925484	No	
row_42	GNA11	na	11758	-0.036510027945041656	-0.45137957	No	
row_43	KCNJ2	na	12068	-0.0410822257399559	-0.464674	No	
row_44	GRIK2	na	12345	-0.04558467119932175	-0.47587729	No	
row_45	KCNJ5	na	12503	-0.04820665344595909	-0.48056787	No	
row_46	GPR35	na	12520	-0.048638783395290375	-0.47774377	No	
row_47	RYR2	na	12719	-0.051712144166231155	-0.4843453	No	
row_48	SLC9A1	na	12945	-0.05533371865749359	-0.49210602	No	
row_49	SLC8A1	na	13121	-0.05838320776820183	-0.49698326	No	
row_50	SCN5A	na	13145	-0.058746907860040665	-0.49376723	No	
row_51	AKAP6	na	13239	-0.06067409738898277	-0.49412018	No	
row_52	GJA5	na	13411	-0.06369376182556152	-0.49838412	No	
row_53	NRCAM	na	13445	-0.06432831287384033	-0.49527723	No	
row_54	CNR2	na	13453	-0.06446520984172821	-0.49078032	No	
row_55	KCNB1	na	13529	-0.06588922441005707	-0.48978427	No	
row_56	KCNJ8	na	13555	-0.06630410999059677	-0.48610368	No	
row_57	DMD	na	13729	-0.06953678280115128	-0.49003246	No	
row_58	CACNA1I	na	13823	-0.07175794988870621	-0.4895484	No	
row_59	GNAQ	na	14162	-0.07918773591518402	-0.501504	No	
row_60	KCNMB4	na	14654	-0.08944030851125717	-0.5208042	Yes	
row_61	ANK3	na	14771	-0.09176164120435715	-0.5200299	Yes	
row_62	P2RX4	na	14887	-0.09466513246297836	-0.5189833	Yes	
row_63	MYH14	na	14913	-0.09515343606472015	-0.51312405	Yes	
row_64	ATP1B1	na	14965	-0.096248559653759	-0.50856173	Yes	
row_65	CLCN1	na	15007	-0.0970740020275116	-0.5034064	Yes	
row_66	KCNE1	na	15035	-0.0976124033331871	-0.49746758	Yes	
row_67	RNF207	na	15153	-0.10064417868852615	-0.49607557	Yes	
row_68	KCNQ1	na	15611	-0.11225065588951111	-0.511849	Yes	
row_69	USP53	na	15685	-0.11449062824249268	-0.50707644	Yes	
row_70	GJA1	na	15745	-0.11623556911945343	-0.50142926	Yes	
row_71	CD36	na	16041	-0.12433388084173203	-0.5076937	Yes	
row_72	TRPM4	na	16042	-0.1243654191493988	-0.49830174	Yes	
row_73	AKAP9	na	16046	-0.12452811002731323	-0.4890567	Yes	
row_74	GPR88	na	16052	-0.12466643005609512	-0.47990733	Yes	
row_75	ADRA1A	na	16099	-0.12592121958732605	-0.47283885	Yes	
row_76	RANGRF	na	16197	-0.12899811565876007	-0.46824428	Yes	
row_77	CHRNB2	na	16252	-0.13086183369159698	-0.4612272	Yes	
row_78	SCN9A	na	16392	-0.13571594655513763	-0.45835403	Yes	
row_79	KCNA1	na	16423	-0.13666731119155884	-0.449625	Yes	
row_80	ANK2	na	16679	-0.14558418095111847	-0.45216203	Yes	
row_81	GPER1	na	16716	-0.14633677899837494	-0.44302115	Yes	
row_82	CNTNAP1	na	16829	-0.15042561292648315	-0.43760437	Yes	
row_83	NEDD4L	na	16940	-0.15440908074378967	-0.43178064	Yes	
row_84	SCN11A	na	17093	-0.160659521818161	-0.42771357	Yes	
row_85	NTRK3	na	17142	-0.16270186007022858	-0.41797358	Yes	
row_86	NOS1AP	na	17209	-0.16520079970359802	-0.40900004	Yes	
row_87	KCNJ3	na	17217	-0.1654389500617981	-0.3968777	Yes	
row_88	KCNA5	na	17306	-0.1691787987947464	-0.38877115	Yes	
row_89	KCND2	na	17479	-0.17696337401866913	-0.38453415	Yes	
row_90	CNR1	na	17576	-0.182438924908638	-0.3758507	Yes	
row_91	CACNA2D1	na	17582	-0.18289096653461456	-0.3623043	Yes	
row_92	CTNNA3	na	17583	-0.18313360214233398	-0.3484742	Yes	
row_93	CACNA1C	na	17691	-0.18878056108951569	-0.33989558	Yes	
row_94	SCN1B	na	17783	-0.1941940188407898	-0.3300591	Yes	
row_95	KCNIP2	na	17808	-0.19587385654449463	-0.31654045	Yes	
row_96	FKBP1B	na	17821	-0.19648663699626923	-0.30233875	Yes	
row_97	DRD1	na	17829	-0.19674043357372284	-0.28785253	Yes	
row_98	CAV1	na	17922	-0.2021719217300415	-0.27746665	Yes	
row_99	SCN3A	na	18058	-0.21071010828018188	-0.2687177	Yes	
row_100	GPD1L	na	18119	-0.21480697393417358	-0.25567958	Yes	
row_101	CACNA1G	na	18157	-0.21769540011882782	-0.2412028	Yes	
row_102	CLDN19	na	18347	-0.2320200800895691	-0.23371007	Yes	
row_103	CACNB2	na	18535	-0.2520765960216522	-0.22459653	Yes	
row_104	TAC1	na	18560	-0.2544279992580414	-0.20665592	Yes	
row_105	SCN3B	na	18567	-0.25511234998703003	-0.18770847	Yes	
row_106	SCN4A	na	18589	-0.25812143087387085	-0.16932973	Yes	
row_107	KCND3	na	18750	-0.2818165123462677	-0.15653755	Yes	
