NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH8	na	2506	0.10931243747472763	-0.116226226	No	
row_1	IQCG	na	3159	0.09388361126184464	-0.13668403	No	
row_2	RSPH9	na	4058	0.07479428499937057	-0.17300813	No	
row_3	DNAAF5	na	4723	0.06213263049721718	-0.19884636	No	
row_4	GAS8	na	5089	0.056408222764730453	-0.20972343	No	
row_5	DNAAF2	na	5309	0.05282125994563103	-0.21341339	No	
row_6	CFAP74	na	5966	0.04322073608636856	-0.24165508	No	
row_7	ARMC2	na	6644	0.0339314341545105	-0.27239606	No	
row_8	TTC26	na	7759	0.01855422928929329	-0.3285522	No	
row_9	DNAJB13	na	7904	0.016383521258831024	-0.3337209	No	
row_10	SPAG16	na	8103	0.013323139399290085	-0.34220353	No	
row_11	CFAP73	na	8200	0.012225973419845104	-0.34545445	No	
row_12	SPAG1	na	8363	0.010285790078341961	-0.35248673	No	
row_13	TTLL1	na	9265	-0.0015294163022190332	-0.39992	No	
row_14	UBE2B	na	9924	-0.009942185133695602	-0.43324146	No	
row_15	CCDC114	na	10698	-0.020673945546150208	-0.47104225	No	
row_16	RP1L1	na	11291	-0.02922065556049347	-0.49799094	No	
row_17	BBS2	na	11831	-0.037496887147426605	-0.52089894	No	
row_18	CFAP157	na	12405	-0.046620018780231476	-0.54424196	No	
row_19	CFAP206	na	12898	-0.054708682000637054	-0.56209123	No	
row_20	CCDC151	na	13093	-0.05767307057976723	-0.5637335	No	
row_21	DRC1	na	13106	-0.05809227377176285	-0.5556856	No	
row_22	DNAI1	na	13200	-0.059927280992269516	-0.5516482	No	
row_23	HYDIN	na	13685	-0.06860829889774323	-0.56699675	No	
row_24	CCDC65	na	14003	-0.07589762657880783	-0.5724217	No	
row_25	TPGS1	na	14234	-0.0807730033993721	-0.5725158	No	
row_26	PLA2G3	na	14277	-0.08180008828639984	-0.5625113	No	
row_27	TEKT2	na	14708	-0.09057976305484772	-0.5717194	No	
row_28	DCX	na	15403	-0.10679091513156891	-0.59246975	Yes	
row_29	RSPH4A	na	15470	-0.10829448699951172	-0.5797749	Yes	
row_30	TTLL3	na	15792	-0.11759220063686371	-0.57917964	Yes	
row_31	LRRC6	na	15858	-0.11932267993688583	-0.5647836	Yes	
row_32	CC2D2A	na	16595	-0.14259468019008636	-0.5824043	Yes	
row_33	RP1	na	16612	-0.14322859048843384	-0.56184316	Yes	
row_34	DNAH1	na	16617	-0.14333775639533997	-0.5406309	Yes	
row_35	SPAG17	na	16905	-0.1532234400510788	-0.5329114	Yes	
row_36	ARMC4	na	16930	-0.1539517343044281	-0.5111707	Yes	
row_37	DNAL1	na	17114	-0.16141746938228607	-0.49672502	Yes	
row_38	CFAP44	na	17279	-0.16781412065029144	-0.48031822	Yes	
row_39	NEURL1	na	17343	-0.17071740329265594	-0.45813468	Yes	
row_40	TOGARAM1	na	17368	-0.17165906727313995	-0.43374735	Yes	
row_41	DNAAF3	na	17440	-0.1748943328857422	-0.4113627	Yes	
row_42	WDR63	na	17645	-0.18648922443389893	-0.39428058	Yes	
row_43	DNAAF1	na	17709	-0.18962611258029938	-0.3692709	Yes	
row_44	LRRC49	na	17950	-0.20358525216579437	-0.35153788	Yes	
row_45	RSPH1	na	18169	-0.21846038103103638	-0.3304178	Yes	
row_46	CCDC40	na	18172	-0.2186424434185028	-0.29784435	Yes	
row_47	CCDC39	na	18238	-0.2235366553068161	-0.26787204	Yes	
row_48	DNAH5	na	18264	-0.22526194155216217	-0.23552589	Yes	
row_49	LRGUK	na	18322	-0.2303617149591446	-0.20411028	Yes	
row_50	ZMYND10	na	18331	-0.23087753355503082	-0.17002551	Yes	
row_51	DNAAF4	na	18418	-0.23903313279151917	-0.1388479	Yes	
row_52	JHY	na	18546	-0.2534262239933014	-0.107687876	Yes	
row_53	CFAP43	na	18661	-0.26865315437316895	-0.07356429	Yes	
row_54	CFAP46	na	18799	-0.29025766253471375	-0.03742828	Yes	
row_55	DNAH7	na	18865	-0.30669111013412476	0.0049726698	Yes	
