NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM65	na	199	0.29951012134552	0.011195408	No	
row_1	NUP155	na	1137	0.16471774876117706	-0.02658487	No	
row_2	ATP2A1	na	1427	0.14939303696155548	-0.031074526	No	
row_3	DSC2	na	1808	0.1313607096672058	-0.041705746	No	
row_4	ATP1B3	na	1873	0.12896405160427094	-0.035733823	No	
row_5	RYR1	na	2151	0.11975612491369247	-0.041739628	No	
row_6	ACE2	na	2409	0.11199737340211868	-0.047247294	No	
row_7	KCNE2	na	2477	0.11014233529567719	-0.042802133	No	
row_8	KCNE5	na	2902	0.09950398653745651	-0.058083974	No	
row_9	HCN4	na	3237	0.09203440696001053	-0.06913018	No	
row_10	KCNK1	na	3820	0.07944583892822266	-0.09425798	No	
row_11	CACNB1	na	3987	0.07621750980615616	-0.09753379	No	
row_12	KCNE3	na	4037	0.07519344240427017	-0.094672166	No	
row_13	DSP	na	4075	0.07454346865415573	-0.091220655	No	
row_14	ITPR3	na	4781	0.061388324946165085	-0.124190815	No	
row_15	ATP2A2	na	5054	0.05693816393613815	-0.13449518	No	
row_16	SLC8A2	na	5207	0.054533541202545166	-0.13860315	No	
row_17	CACNB3	na	5211	0.054492369294166565	-0.1348033	No	
row_18	KCNJ14	na	5266	0.053637370467185974	-0.13377328	No	
row_19	CALM1	na	5773	0.04547075554728508	-0.15733449	No	
row_20	CALM2	na	5860	0.04443524777889252	-0.15867203	No	
row_21	FLNA	na	5937	0.04353882744908333	-0.15954377	No	
row_22	FXYD6	na	6034	0.04208327457308769	-0.16158311	No	
row_23	YWHAE	na	6163	0.04048924520611763	-0.16543724	No	
row_24	CAMK2D	na	6451	0.03654126822948456	-0.17801993	No	
row_25	DSG2	na	7004	0.029130825772881508	-0.20521057	No	
row_26	CALM3	na	7211	0.026012765243649483	-0.2142577	No	
row_27	AGT	na	7459	0.0226984191685915	-0.22572245	No	
row_28	CXADR	na	7612	0.020684048533439636	-0.23228973	No	
row_29	KCNN2	na	7793	0.018095843493938446	-0.24053165	No	
row_30	PRKACA	na	7999	0.014893854968249798	-0.25033355	No	
row_31	ATP1A1	na	8085	0.013608372770249844	-0.2538577	No	
row_32	JUP	na	8093	0.013472441583871841	-0.2532505	No	
row_33	ATP1A3	na	8258	0.011499450542032719	-0.26112223	No	
row_34	GJC1	na	8399	0.00982856098562479	-0.2678411	No	
row_35	ATP2B1	na	8650	0.006356712430715561	-0.2806524	No	
row_36	STIM1	na	9049	0.0014863681280985475	-0.3016753	No	
row_37	PKP2	na	9151	1.7249619122594595E-4	-0.3070251	No	
row_38	ZMPSTE24	na	9696	-0.007092240732163191	-0.33539224	No	
row_39	KCNH2	na	9752	-0.007675768341869116	-0.33775464	No	
row_40	KCNJ12	na	9826	-0.00849246233701706	-0.3410134	No	
row_41	MEF2A	na	9944	-0.010366272181272507	-0.34647208	No	
row_42	PDE4D	na	10077	-0.012247786857187748	-0.35259044	No	
row_43	NPPC	na	10390	-0.01647104136645794	-0.36795864	No	
row_44	FXYD7	na	11092	-0.026562020182609558	-0.40324673	No	
row_45	SRI	na	11199	-0.027993809431791306	-0.40684068	No	
row_46	FXYD2	na	11289	-0.029211899265646935	-0.40944353	No	
row_47	ASPH	na	11398	-0.03085770457983017	-0.41293558	No	
row_48	KCNIP3	na	11466	-0.03191085159778595	-0.41417432	No	
row_49	BIN1	na	11665	-0.03516177833080292	-0.422132	No	
row_50	FXYD3	na	11820	-0.037349339574575424	-0.42759463	No	
row_51	CORIN	na	11871	-0.038091856986284256	-0.4274817	No	
row_52	KCNJ2	na	12068	-0.0410822257399559	-0.43490306	No	
row_53	RYR3	na	12207	-0.043311040848493576	-0.4390831	No	
row_54	ITPR2	na	12240	-0.04390287399291992	-0.4375923	No	
row_55	ATP2B2	na	12372	-0.0460321269929409	-0.44120297	No	
row_56	KCNJ5	na	12503	-0.04820665344595909	-0.44460258	No	
row_57	ATP2B4	na	12586	-0.04961949214339256	-0.4453511	No	
row_58	KCNK6	na	12697	-0.05137145519256592	-0.4474589	No	
row_59	RYR2	na	12719	-0.051712144166231155	-0.4448167	No	
row_60	SLC9A1	na	12945	-0.05533371865749359	-0.45274228	No	
row_61	SLC8A1	na	13121	-0.05838320776820183	-0.4577917	No	
row_62	SCN5A	na	13145	-0.058746907860040665	-0.45474458	No	
row_63	KCNK3	na	13303	-0.06171293929219246	-0.45859638	No	
row_64	AHCYL1	na	13351	-0.06250284612178802	-0.4565506	No	
row_65	GJA5	na	13411	-0.06369376182556152	-0.45505542	No	
row_66	KCND1	na	13454	-0.0644814521074295	-0.45260042	No	
row_67	CACNG8	na	13917	-0.07376055419445038	-0.47177017	No	
row_68	TRDN	na	14076	-0.07744977623224258	-0.4745317	No	
row_69	CACNG4	na	14174	-0.07936415076255798	-0.47391552	No	
row_70	DMPK	na	14461	-0.08554168045520782	-0.48288497	No	
row_71	ATP1B1	na	14965	-0.096248559653759	-0.5025977	Yes	
row_72	KCNE1	na	15035	-0.0976124033331871	-0.49916905	Yes	
row_73	CACNB4	na	15095	-0.09896492958068848	-0.49511126	Yes	
row_74	NPR2	na	15150	-0.10051684081554413	-0.4906752	Yes	
row_75	RNF207	na	15153	-0.10064417868852615	-0.48346913	Yes	
row_76	TRPC1	na	15505	-0.10950951278209686	-0.49414825	Yes	
row_77	KCNQ1	na	15611	-0.11225065588951111	-0.49156743	Yes	
row_78	GJA1	na	15745	-0.11623556911945343	-0.49018368	Yes	
row_79	CACNG1	na	15746	-0.11624178290367126	-0.48173815	Yes	
row_80	CACNA2D4	na	15905	-0.12051308155059814	-0.48137096	Yes	
row_81	TRPM4	na	16042	-0.1243654191493988	-0.47955582	Yes	
row_82	AKAP9	na	16046	-0.12452811002731323	-0.4706675	Yes	
row_83	RANGRF	na	16197	-0.12899811565876007	-0.46925908	Yes	
row_84	KCNIP4	na	16230	-0.1301572322845459	-0.4615015	Yes	
row_85	EHD3	na	16247	-0.13071277737617493	-0.45285407	Yes	
row_86	ABCC9	na	16291	-0.13233058154582977	-0.4455226	Yes	
row_87	ATP2A3	na	16364	-0.13492752611637115	-0.43954214	Yes	
row_88	KCNK15	na	16428	-0.13686873018741608	-0.4329428	Yes	
row_89	KCNIP1	na	16440	-0.1373346894979477	-0.42354882	Yes	
row_90	PLN	na	16607	-0.14306628704071045	-0.42196774	Yes	
row_91	ANK2	na	16679	-0.14558418095111847	-0.41515994	Yes	
row_92	SLC8A3	na	17058	-0.15917199850082397	-0.42366433	Yes	
row_93	KCNJ3	na	17217	-0.1654389500617981	-0.42003304	Yes	
row_94	KCNA5	na	17306	-0.1691787987947464	-0.41241357	Yes	
row_95	ATP1B2	na	17369	-0.17170831561088562	-0.40322986	Yes	
row_96	KCND2	na	17479	-0.17696337401866913	-0.39615974	Yes	
row_97	CACNA2D2	na	17548	-0.1807851940393448	-0.38663512	Yes	
row_98	HRC	na	17566	-0.18179422616958618	-0.37432948	Yes	
row_99	CACNA2D1	na	17582	-0.18289096653461456	-0.36183795	Yes	
row_100	CTNNA3	na	17583	-0.18313360214233398	-0.34853244	Yes	
row_101	TNNI3K	na	17639	-0.1863294541835785	-0.3379148	Yes	
row_102	CACNA1C	na	17691	-0.18878056108951569	-0.3269067	Yes	
row_103	CASQ1	na	17724	-0.1905883103609085	-0.3147585	Yes	
row_104	SCN1B	na	17783	-0.1941940188407898	-0.30372876	Yes	
row_105	KCNIP2	na	17808	-0.19587385654449463	-0.2907718	Yes	
row_106	FKBP1B	na	17821	-0.19648663699626923	-0.27713323	Yes	
row_107	CACNA1F	na	17873	-0.1995743066072464	-0.26534092	Yes	
row_108	CAV1	na	17922	-0.2021719217300415	-0.25320062	Yes	
row_109	FXYD1	na	17991	-0.20617671310901642	-0.2418312	Yes	
row_110	ATP1A4	na	18134	-0.21616816520690918	-0.23366469	Yes	
row_111	CACNA1G	na	18157	-0.21769540011882782	-0.21901612	Yes	
row_112	NPR1	na	18234	-0.22309233248233795	-0.20684244	Yes	
row_113	CACNA2D3	na	18350	-0.23259705305099487	-0.1960488	Yes	
row_114	KCNJ11	na	18494	-0.24698323011398315	-0.18569653	Yes	
row_115	CACNB2	na	18535	-0.2520765960216522	-0.16950567	Yes	
row_116	SCN3B	na	18567	-0.25511234998703003	-0.15261641	Yes	
row_117	CASQ2	na	18631	-0.26454031467437744	-0.13674112	Yes	
row_118	ITPR1	na	18713	-0.2760484516620636	-0.12098538	Yes	
row_119	KCND3	na	18750	-0.2818165123462677	-0.1024214	Yes	
row_120	ATP1A2	na	18774	-0.28720712661743164	-0.082775556	Yes	
row_121	KCNE4	na	18807	-0.2928289771080017	-0.063199095	Yes	
row_122	SCN2B	na	18813	-0.29383572936058044	-0.042115986	Yes	
row_123	CACNA1D	na	18899	-0.315312922000885	-0.023719868	Yes	
row_124	SCN4B	na	18953	-0.36958569288253784	3.1839163E-4	Yes	
