NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP155	na	1137	0.16471774876117706	-0.038112283	No	
row_1	DSC2	na	1808	0.1313607096672058	-0.055977553	No	
row_2	KCNE2	na	2477	0.11014233529567719	-0.07657857	No	
row_3	KCNE5	na	2902	0.09950398653745651	-0.0856915	No	
row_4	HCN4	na	3237	0.09203440696001053	-0.09104185	No	
row_5	KCNE3	na	4037	0.07519344240427017	-0.123255946	No	
row_6	DSP	na	4075	0.07454346865415573	-0.11523109	No	
row_7	HCN2	na	4716	0.06226164102554321	-0.14076254	No	
row_8	DLG1	na	4746	0.06185198202729225	-0.13401397	No	
row_9	ATP2A2	na	5054	0.05693816393613815	-0.14263557	No	
row_10	SNTA1	na	5935	0.04359517619013786	-0.18336797	No	
row_11	FLNA	na	5937	0.04353882744908333	-0.17759012	No	
row_12	YWHAE	na	6163	0.04048924520611763	-0.18407504	No	
row_13	CAMK2D	na	6451	0.03654126822948456	-0.1943698	No	
row_14	DSG2	na	7004	0.029130825772881508	-0.21968108	No	
row_15	CXADR	na	7612	0.020684048533439636	-0.24903426	No	
row_16	KCNN2	na	7793	0.018095843493938446	-0.25613666	No	
row_17	ATP1A1	na	8085	0.013608372770249844	-0.2697143	No	
row_18	JUP	na	8093	0.013472441583871841	-0.2682805	No	
row_19	FGF12	na	8130	0.013024603016674519	-0.2684414	No	
row_20	GJC1	na	8399	0.00982856098562479	-0.28130805	No	
row_21	PKP2	na	9151	1.7249619122594595E-4	-0.3210288	No	
row_22	KCNH2	na	9752	-0.007675768341869116	-0.35175362	No	
row_23	SLMAP	na	10304	-0.015173790976405144	-0.37888113	No	
row_24	FGF13	na	10712	-0.020898938179016113	-0.39762127	No	
row_25	BIN1	na	11665	-0.03516177833080292	-0.4432934	No	
row_26	KCNJ2	na	12068	-0.0410822257399559	-0.45906597	No	
row_27	KCNJ5	na	12503	-0.04820665344595909	-0.4755779	No	
row_28	RYR2	na	12719	-0.051712144166231155	-0.48003063	No	
row_29	SLC8A1	na	13121	-0.05838320776820183	-0.4934333	No	
row_30	SCN5A	na	13145	-0.058746907860040665	-0.48678306	No	
row_31	GJA5	na	13411	-0.06369376182556152	-0.49227723	No	
row_32	KCNJ8	na	13555	-0.06630410999059677	-0.49096546	No	
row_33	DMD	na	13729	-0.06953678280115128	-0.4908084	No	
row_34	ANK3	na	14771	-0.09176164120435715	-0.5336106	Yes	
row_35	ATP1B1	na	14965	-0.096248559653759	-0.5309347	Yes	
row_36	KCNE1	na	15035	-0.0976124033331871	-0.5215139	Yes	
row_37	RNF207	na	15153	-0.10064417868852615	-0.51422733	Yes	
row_38	KCNQ1	na	15611	-0.11225065588951111	-0.52337956	Yes	
row_39	GJA1	na	15745	-0.11623556911945343	-0.51485175	Yes	
row_40	TRPM4	na	16042	-0.1243654191493988	-0.51386124	Yes	
row_41	AKAP9	na	16046	-0.12452811002731323	-0.4973431	Yes	
row_42	RANGRF	na	16197	-0.12899811565876007	-0.4880057	Yes	
row_43	ANK2	na	16679	-0.14558418095111847	-0.49396405	Yes	
row_44	NEDD4L	na	16940	-0.15440908074378967	-0.48704493	Yes	
row_45	NOS1AP	na	17209	-0.16520079970359802	-0.47910395	Yes	
row_46	KCNJ3	na	17217	-0.1654389500617981	-0.45731863	Yes	
row_47	KCNA5	na	17306	-0.1691787987947464	-0.4393191	Yes	
row_48	CACNA2D1	na	17582	-0.18289096653461456	-0.4293795	Yes	
row_49	CTNNA3	na	17583	-0.18313360214233398	-0.40485403	Yes	
row_50	CACNA1C	na	17691	-0.18878056108951569	-0.38523492	Yes	
row_51	SCN1B	na	17783	-0.1941940188407898	-0.36404407	Yes	
row_52	KCNIP2	na	17808	-0.19587385654449463	-0.33908254	Yes	
row_53	CAV1	na	17922	-0.2021719217300415	-0.31798756	Yes	
row_54	GPD1L	na	18119	-0.21480697393417358	-0.29959294	Yes	
row_55	CACNA1G	na	18157	-0.21769540011882782	-0.272397	Yes	
row_56	CACNB2	na	18535	-0.2520765960216522	-0.25858995	Yes	
row_57	SCN3B	na	18567	-0.25511234998703003	-0.22606559	Yes	
row_58	KCND3	na	18750	-0.2818165123462677	-0.19795609	Yes	
row_59	ATP1A2	na	18774	-0.28720712661743164	-0.16071019	Yes	
row_60	KCNE4	na	18807	-0.2928289771080017	-0.1231877	Yes	
row_61	SCN2B	na	18813	-0.29383572936058044	-0.084101506	Yes	
row_62	CACNA1D	na	18899	-0.315312922000885	-0.04637276	Yes	
row_63	SCN4B	na	18953	-0.36958569288253784	3.1773E-4	Yes	
