NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP155	na	1137	0.16471774876117706	-0.03298207	No	
row_1	DSC2	na	1808	0.1313607096672058	-0.046766646	No	
row_2	KCNE2	na	2477	0.11014233529567719	-0.06394136	No	
row_3	KCNE5	na	2902	0.09950398653745651	-0.06996696	No	
row_4	KCNE3	na	4037	0.07519344240427017	-0.117540196	No	
row_5	DSP	na	4075	0.07454346865415573	-0.10721503	No	
row_6	DLG1	na	4746	0.06185198202729225	-0.1324517	No	
row_7	SNTA1	na	5935	0.04359517619013786	-0.18808632	No	
row_8	FLNA	na	5937	0.04353882744908333	-0.18096584	No	
row_9	DSG2	na	7004	0.029130825772881508	-0.23253265	No	
row_10	KCNN2	na	7793	0.018095843493938446	-0.27121788	No	
row_11	ATP1A1	na	8085	0.013608372770249844	-0.28436285	No	
row_12	JUP	na	8093	0.013472441583871841	-0.28251332	No	
row_13	FGF12	na	8130	0.013024603016674519	-0.28227097	No	
row_14	GJC1	na	8399	0.00982856098562479	-0.29482254	No	
row_15	PKP2	na	9151	1.7249619122594595E-4	-0.33450434	No	
row_16	KCNH2	na	9752	-0.007675768341869116	-0.3649656	No	
row_17	BIN1	na	11665	-0.03516177833080292	-0.46027225	No	
row_18	KCNJ2	na	12068	-0.0410822257399559	-0.47476	No	
row_19	KCNJ5	na	12503	-0.04820665344595909	-0.48976597	No	
row_20	RYR2	na	12719	-0.051712144166231155	-0.49261445	No	
row_21	SCN5A	na	13145	-0.058746907860040665	-0.505408	No	
row_22	GJA5	na	13411	-0.06369376182556152	-0.5089262	No	
row_23	KCNJ8	na	13555	-0.06630410999059677	-0.50556344	No	
row_24	KCNE1	na	15035	-0.0976124033331871	-0.56768537	Yes	
row_25	RNF207	na	15153	-0.10064417868852615	-0.55729	Yes	
row_26	KCNQ1	na	15611	-0.11225065588951111	-0.56296045	Yes	
row_27	GJA1	na	15745	-0.11623556911945343	-0.55084234	Yes	
row_28	TRPM4	na	16042	-0.1243654191493988	-0.54600364	Yes	
row_29	ANK2	na	16679	-0.14558418095111847	-0.555647	Yes	
row_30	NEDD4L	na	16940	-0.15440908074378967	-0.5439548	Yes	
row_31	NOS1AP	na	17209	-0.16520079970359802	-0.53090763	Yes	
row_32	KCNJ3	na	17217	-0.1654389500617981	-0.50402045	Yes	
row_33	KCNA5	na	17306	-0.1691787987947464	-0.48080012	Yes	
row_34	CACNA2D1	na	17582	-0.18289096653461456	-0.4652085	Yes	
row_35	CTNNA3	na	17583	-0.18313360214233398	-0.43503585	Yes	
row_36	CACNA1C	na	17691	-0.18878056108951569	-0.4095906	Yes	
row_37	SCN1B	na	17783	-0.1941940188407898	-0.38240746	Yes	
row_38	CAV1	na	17922	-0.2021719217300415	-0.35639507	Yes	
row_39	GPD1L	na	18119	-0.21480697393417358	-0.3313678	Yes	
row_40	CACNA1G	na	18157	-0.21769540011882782	-0.29745728	Yes	
row_41	CACNB2	na	18535	-0.2520765960216522	-0.2758602	Yes	
row_42	SCN3B	na	18567	-0.25511234998703003	-0.23546767	Yes	
row_43	KCND3	na	18750	-0.2818165123462677	-0.1986598	Yes	
row_44	KCNE4	na	18807	-0.2928289771080017	-0.1533751	Yes	
row_45	SCN2B	na	18813	-0.29383572936058044	-0.10522785	Yes	
row_46	CACNA1D	na	18899	-0.315312922000885	-0.057772174	Yes	
row_47	SCN4B	na	18953	-0.36958569288253784	3.1739686E-4	Yes	
