NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP155	na	1137	0.16471774876117706	-0.018609488	No	
row_1	KCNE5	na	2902	0.09950398653745651	-0.086750105	No	
row_2	HCN4	na	3237	0.09203440696001053	-0.081232935	No	
row_3	FLNA	na	5937	0.04353882744908333	-0.2128469	No	
row_4	CXADR	na	7612	0.020684048533439636	-0.29606822	No	
row_5	KCNN2	na	7793	0.018095843493938446	-0.30102268	No	
row_6	GJC1	na	8399	0.00982856098562479	-0.33050752	No	
row_7	PKP2	na	9151	1.7249619122594595E-4	-0.37013447	No	
row_8	KCNJ5	na	12503	-0.04820665344595909	-0.5350147	No	
row_9	RYR2	na	12719	-0.051712144166231155	-0.5333585	No	
row_10	SCN5A	na	13145	-0.058746907860040665	-0.541025	No	
row_11	GJA5	na	13411	-0.06369376182556152	-0.53899485	No	
row_12	RNF207	na	15153	-0.10064417868852615	-0.60563356	Yes	
row_13	KCNQ1	na	15611	-0.11225065588951111	-0.6015263	Yes	
row_14	GJA1	na	15745	-0.11623556911945343	-0.57930154	Yes	
row_15	TRPM4	na	16042	-0.1243654191493988	-0.5636411	Yes	
row_16	RANGRF	na	16197	-0.12899811565876007	-0.53931385	Yes	
row_17	ANK2	na	16679	-0.14558418095111847	-0.52808607	Yes	
row_18	KCNJ3	na	17217	-0.1654389500617981	-0.51482004	Yes	
row_19	KCNA5	na	17306	-0.1691787987947464	-0.47689515	Yes	
row_20	CACNA2D1	na	17582	-0.18289096653461456	-0.44539765	Yes	
row_21	CACNA1C	na	17691	-0.18878056108951569	-0.4035965	Yes	
row_22	SCN1B	na	17783	-0.1941940188407898	-0.35953507	Yes	
row_23	CACNA1G	na	18157	-0.21769540011882782	-0.3244558	Yes	
row_24	CACNB2	na	18535	-0.2520765960216522	-0.2809359	Yes	
row_25	SCN3B	na	18567	-0.25511234998703003	-0.21837518	Yes	
row_26	CASQ2	na	18631	-0.26454031467437744	-0.15513226	Yes	
row_27	CACNA1D	na	18899	-0.315312922000885	-0.08988855	Yes	
row_28	SCN4B	na	18953	-0.36958569288253784	3.169501E-4	Yes	
