NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	0	0.49360087513923645	0.044572566	Yes	
row_1	CDC45	na	24	0.41447097063064575	0.08078251	Yes	
row_2	CDT1	na	31	0.4040567874908447	0.11695167	Yes	
row_3	RAD51	na	85	0.36364102363586426	0.14698407	Yes	
row_4	CHEK2	na	88	0.36087122559547424	0.1794652	Yes	
row_5	E2F8	na	107	0.34738489985466003	0.20988181	Yes	
row_6	DBF4	na	110	0.3453786373138428	0.24096395	Yes	
row_7	DONSON	na	113	0.34441831707954407	0.27195936	Yes	
row_8	RFC4	na	135	0.33022749423980713	0.3006679	Yes	
row_9	FBXO5	na	173	0.31294119358062744	0.32696876	Yes	
row_10	GMNN	na	175	0.3129018247127533	0.35517114	Yes	
row_11	ATAD5	na	190	0.3069695830345154	0.3821499	Yes	
row_12	POLE2	na	216	0.29214996099472046	0.40720832	Yes	
row_13	DNA2	na	229	0.28576207160949707	0.43237785	Yes	
row_14	PRIM2	na	260	0.2765108048915863	0.45575944	Yes	
row_15	E2F7	na	262	0.27628690004348755	0.48065546	Yes	
row_16	RFC3	na	276	0.2696613371372223	0.5043182	Yes	
row_17	BRCA2	na	297	0.26417508721351624	0.52711505	Yes	
row_18	CDC7	na	300	0.2637123167514801	0.5508226	Yes	
row_19	MCM2	na	322	0.25616711378097534	0.57284343	Yes	
row_20	FEN1	na	339	0.2536035478115082	0.59489733	Yes	
row_21	MCM4	na	422	0.2357138693332672	0.6118432	Yes	
row_22	PRIM1	na	550	0.21478046476840973	0.6245174	Yes	
row_23	POLD1	na	656	0.20195986330509186	0.6371981	Yes	
row_24	MCM6	na	811	0.1898789256811142	0.6461949	Yes	
row_25	DBF4B	na	815	0.1896371692419052	0.66316056	Yes	
row_26	PCNA	na	878	0.18430006504058838	0.676522	Yes	
row_27	MCM7	na	897	0.18294841051101685	0.6920899	Yes	
row_28	RFC2	na	901	0.18239326775074005	0.7084014	Yes	
row_29	RFC5	na	1180	0.16171003878116608	0.7082926	Yes	
row_30	MCM3	na	1439	0.14890430867671967	0.70808583	Yes	
row_31	MCM5	na	1485	0.1467767059803009	0.71895856	Yes	
row_32	POLA2	na	1751	0.13394427299499512	0.71703047	Yes	
row_33	POLA1	na	1998	0.12445288896560669	0.71525073	Yes	
row_34	LIG1	na	2147	0.11984506249427795	0.7182409	Yes	
row_35	TIPIN	na	2157	0.11945876479148865	0.72855186	Yes	
row_36	ZPR1	na	2546	0.1081775426864624	0.71778804	No	
row_37	POLD2	na	2659	0.10533887892961502	0.7213733	No	
row_38	POLE	na	2745	0.1033349260687828	0.7262065	No	
row_39	TERF2	na	3214	0.09247783571481705	0.7097915	No	
row_40	RTF2	na	3439	0.08729362487792969	0.70582044	No	
row_41	ORC3	na	3578	0.08441776037216187	0.7061407	No	
row_42	TERF1	na	3920	0.0775545984506607	0.69509876	No	
row_43	RPA3	na	4108	0.07388901710510254	0.6918752	No	
row_44	POLD3	na	4292	0.06981809437274933	0.68849576	No	
row_45	POLE4	na	4369	0.0683957040309906	0.69065017	No	
row_46	RPA1	na	4732	0.06202802434563637	0.6770949	No	
row_47	WIZ	na	5377	0.05197439715266228	0.6477087	No	
row_48	POLE3	na	6168	0.04042143374681473	0.6095532	No	
row_49	RTEL1	na	6534	0.035315822809934616	0.59342706	No	
row_50	UPF1	na	7541	0.02152041718363762	0.5421344	No	
row_51	SENP2	na	7898	0.016440721228718758	0.52478004	No	
row_52	RPA2	na	8488	0.008482115343213081	0.494377	No	
row_53	ZNF830	na	8654	0.006324038375169039	0.48621652	No	
row_54	NUGGC	na	9419	-0.0034668738953769207	0.44609988	No	
row_55	ZMPSTE24	na	9696	-0.007092240732163191	0.43213484	No	
row_56	RFC1	na	10017	-0.011501580476760864	0.41623953	No	
row_57	ATRX	na	10932	-0.024091675877571106	0.37004754	No	
row_58	INO80	na	12612	-0.049998022615909576	0.28571233	No	
row_59	BCL6	na	12789	-0.05298810079693794	0.28118354	No	
row_60	FGFR1	na	14361	-0.08359658718109131	0.2055975	No	
row_61	POLD4	na	15220	-0.1023847907781601	0.1694389	No	
row_62	DACH1	na	18895	-0.31417587399482727	0.0033868356	No	
