NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.0112495115	Yes	
row_1	CENPN	na	5	0.47142234444618225	0.022585593	Yes	
row_2	PLK1	na	6	0.46576517820358276	0.03378564	Yes	
row_3	FAM83D	na	8	0.4570704698562622	0.044723015	Yes	
row_4	NUF2	na	15	0.4270508885383606	0.054670576	Yes	
row_5	DSCC1	na	18	0.422017902135849	0.06471147	Yes	
row_6	SGO1	na	19	0.41892245411872864	0.074785106	Yes	
row_7	SKA3	na	22	0.4177491366863251	0.08472335	Yes	
row_8	TRIP13	na	26	0.40942689776420593	0.094407886	Yes	
row_9	NCAPH	na	30	0.4042030870914459	0.1039668	Yes	
row_10	CDT1	na	31	0.4040567874908447	0.11368298	Yes	
row_11	KIF4A	na	32	0.40353307127952576	0.123386554	Yes	
row_12	RMI2	na	33	0.4034792482852936	0.13308884	Yes	
row_13	TTK	na	35	0.40246087312698364	0.14271304	Yes	
row_14	CENPW	na	38	0.4018349349498749	0.1522686	Yes	
row_15	KIF18B	na	42	0.40012046694755554	0.16172935	Yes	
row_16	ESPL1	na	43	0.3992500603199005	0.17132995	Yes	
row_17	CDCA5	na	45	0.39857521653175354	0.18086071	Yes	
row_18	CDC20	na	50	0.39499714970588684	0.19014466	Yes	
row_19	DLGAP5	na	52	0.3948845863342285	0.19958669	Yes	
row_20	KIF14	na	53	0.393275648355484	0.2090436	Yes	
row_21	PTTG1	na	54	0.3925758898258209	0.2184837	Yes	
row_22	NCAPG	na	58	0.3903881013393402	0.22771043	Yes	
row_23	HASPIN	na	59	0.3899577260017395	0.23708756	Yes	
row_24	KIFC1	na	60	0.3896101713180542	0.24645634	Yes	
row_25	HJURP	na	61	0.3889535069465637	0.25580934	Yes	
row_26	BIRC5	na	65	0.38263392448425293	0.26484957	Yes	
row_27	NEK2	na	66	0.38252466917037964	0.27404797	Yes	
row_28	BUB1	na	69	0.37740185856819153	0.28301603	Yes	
row_29	KIF2C	na	71	0.37681853771209717	0.2920236	Yes	
row_30	CCNE1	na	78	0.3719814419746399	0.30064693	Yes	
row_31	CDCA8	na	79	0.36955490708351135	0.30953345	Yes	
row_32	SPAG5	na	84	0.3637068271636963	0.318065	Yes	
row_33	CENPE	na	92	0.35475078225135803	0.3262204	Yes	
row_34	KIF18A	na	103	0.34858980774879456	0.33406687	Yes	
row_35	MAD2L1	na	104	0.3482166528701782	0.34244028	Yes	
row_36	SKA1	na	112	0.3445565402507782	0.35035053	Yes	
row_37	NDC80	na	116	0.3423815071582794	0.35842285	Yes	
row_38	KIF23	na	119	0.3414556682109833	0.3665265	Yes	
row_39	EME1	na	127	0.336804062128067	0.37425035	Yes	
row_40	CDC6	na	139	0.32786282896995544	0.38154483	Yes	
row_41	CCNB1	na	148	0.3231751620769501	0.38888735	Yes	
row_42	CENPQ	na	151	0.32134947180747986	0.3965075	Yes	
row_43	BUB1B	na	155	0.3200249969959259	0.40404224	Yes	
row_44	CDCA2	na	164	0.3159778416156769	0.4112117	Yes	
row_45	RACGAP1	na	165	0.3157368302345276	0.41880408	Yes	
row_46	CCNE2	na	169	0.3152824938297272	0.42622477	Yes	
row_47	FBXO5	na	173	0.31294119358062744	0.43358913	Yes	
row_48	OIP5	na	174	0.3129194974899292	0.44111377	Yes	
row_49	SPC25	na	182	0.3099533021450043	0.44819194	Yes	
row_50	CENPF	na	194	0.3043752610683441	0.45492163	Yes	
row_51	TOP2A	na	195	0.30356091260910034	0.46222124	Yes	
row_52	MKI67	na	196	0.3028363585472107	0.4695034	Yes	
row_53	PRC1	na	204	0.2958771586418152	0.47624308	Yes	
row_54	SPDL1	na	205	0.2951756715774536	0.48334104	Yes	
row_55	SMC1B	na	210	0.29443731904029846	0.49020687	Yes	
row_56	NUSAP1	na	222	0.2889360189437866	0.4965653	Yes	
row_57	SGO2	na	227	0.28609564900398254	0.5032306	Yes	
row_58	MIS18A	na	233	0.2845369577407837	0.5098047	Yes	
row_59	DSN1	na	235	0.28363651037216187	0.51657164	Yes	
row_60	KNL1	na	252	0.27856510877609253	0.5224127	Yes	
row_61	CENPK	na	268	0.2741321325302124	0.52820075	Yes	
row_62	KNSTRN	na	269	0.2737601101398468	0.5347838	Yes	
row_63	TACC3	na	306	0.2610103487968445	0.5391309	Yes	
row_64	RRS1	na	316	0.2591188848018646	0.5448795	Yes	
row_65	INCENP	na	317	0.2579169273376465	0.55108154	Yes	
row_66	PSRC1	na	334	0.25428149104118347	0.55633867	Yes	
row_67	FEN1	na	339	0.2536035478115082	0.5622226	Yes	
row_68	BRIP1	na	344	0.25231924653053284	0.56807566	Yes	
row_69	DDX12P	na	369	0.24781356751918793	0.57274854	Yes	
row_70	FANCD2	na	378	0.24544337391853333	0.57822186	Yes	
row_71	ZWINT	na	382	0.24413107335567474	0.5839316	Yes	
row_72	ESCO2	na	427	0.2346257120370865	0.58721554	Yes	
row_73	DDX11	na	489	0.22297199070453644	0.58930826	Yes	
row_74	GEN1	na	544	0.21537582576274872	0.5915934	Yes	
row_75	ECT2	na	602	0.20769686996936798	0.5935331	Yes	
row_76	NSMCE2	na	657	0.20193956792354584	0.59549516	Yes	
row_77	CHMP4C	na	749	0.19381830096244812	0.5952791	Yes	
row_78	SRPK1	na	789	0.19099774956703186	0.5977819	Yes	
row_79	CIAO2B	na	808	0.19003969430923462	0.6013871	Yes	
row_80	RCC1	na	810	0.18994000554084778	0.6059009	Yes	
row_81	HORMAD1	na	823	0.18894685804843903	0.6098013	Yes	
row_82	NCAPD2	na	842	0.1871342658996582	0.6133366	Yes	
row_83	NAA10	na	883	0.1840660274028778	0.6156191	Yes	
row_84	SMC4	na	924	0.18047912418842316	0.61781543	Yes	
row_85	CCDC155	na	976	0.1765676885843277	0.61932814	Yes	
row_86	TENT4A	na	1224	0.15927574038505554	0.60992134	Yes	
row_87	CCNB1IP1	na	1293	0.15565650165081024	0.61002016	Yes	
row_88	RAD21	na	1315	0.15452709794044495	0.6126106	Yes	
row_89	NUP37	na	1354	0.15270783007144928	0.61424625	Yes	
row_90	BRCA1	na	1377	0.15165738761425018	0.6167141	Yes	
row_91	MCMDC2	na	1422	0.1498831808567047	0.6179603	Yes	
row_92	SYCE2	na	1450	0.1484972983598709	0.62008417	Yes	
row_93	SKA2	na	1531	0.14466817677021027	0.6192757	Yes	
row_94	TUBG1	na	1686	0.1368056982755661	0.61431247	Yes	
row_95	HIRA	na	1707	0.13595637679100037	0.61651	Yes	
row_96	CSNK2A2	na	1726	0.13503994047641754	0.61879253	Yes	
row_97	KIF22	na	1834	0.1304643452167511	0.61619556	Yes	
row_98	CENPT	na	1909	0.1274486929178238	0.6152946	Yes	
row_99	SLC25A5	na	1910	0.12737256288528442	0.6183575	Yes	
row_100	NCAPD3	na	1927	0.1265898495912552	0.6205441	Yes	
row_101	NTMT1	na	1957	0.12570713460445404	0.62201273	Yes	
row_102	CENPX	na	1963	0.12552787363529205	0.6247633	Yes	
row_103	ZW10	na	1973	0.12519751489162445	0.62729156	Yes	
row_104	MSTO1	na	1981	0.12496308237314224	0.6299214	Yes	
row_105	CHMP1A	na	2073	0.1221865639090538	0.6279828	Yes	
row_106	SEH1L	na	2089	0.12165479362010956	0.6301043	Yes	
row_107	RAD51C	na	2118	0.12072396278381348	0.63150674	Yes	
row_108	KATNB1	na	2139	0.12000713497400284	0.6333207	Yes	
row_109	XRCC3	na	2254	0.11612340807914734	0.63000375	Yes	
row_110	SYCE1L	na	2279	0.11567624658346176	0.6314992	Yes	
row_111	SMC2	na	2344	0.11405719071626663	0.6308121	Yes	
row_112	ANAPC11	na	2365	0.11332466453313828	0.63246536	Yes	
row_113	CEP85	na	2384	0.11254465579986572	0.634207	Yes	
row_114	MEIOC	na	2482	0.11010417342185974	0.63165635	Yes	
row_115	SMC6	na	2483	0.11010220646858215	0.6343039	Yes	
row_116	SMC1A	na	2507	0.10931142419576645	0.6356999	Yes	
row_117	MAPK15	na	2550	0.10805860906839371	0.63604754	Yes	
