NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCSAP	na	431	0.2336888313293457	0.00565067	No	
row_1	CFAP20	na	757	0.19315309822559357	0.0119744465	No	
row_2	DNAH11	na	1028	0.171957328915596	0.018627616	No	
row_3	DNAH3	na	1106	0.16694790124893188	0.03488503	No	
row_4	RSPH9	na	4058	0.07479428499937057	-0.11218466	No	
row_5	MKKS	na	4148	0.07295688986778259	-0.108009495	No	
row_6	TTLL6	na	4379	0.06822400540113449	-0.11187303	No	
row_7	DNAAF5	na	4723	0.06213263049721718	-0.12245885	No	
row_8	CFAP298	na	4908	0.05936581268906593	-0.124966726	No	
row_9	GAS8	na	5089	0.056408222764730453	-0.1276231	No	
row_10	DNAH17	na	5942	0.04346445947885513	-0.16742086	No	
row_11	CATSPER1	na	6333	0.0384782999753952	-0.18337497	No	
row_12	ADCY10	na	7001	0.029196908697485924	-0.21511944	No	
row_13	CFAP73	na	8200	0.012225973419845104	-0.27703345	No	
row_14	TTLL1	na	9265	-0.0015294163022190332	-0.33315837	No	
row_15	TEKT1	na	9753	-0.007684273179620504	-0.35799652	No	
row_16	OFD1	na	10113	-0.0127260722219944	-0.37544635	No	
row_17	WDR66	na	10351	-0.015900662168860435	-0.38605282	No	
row_18	CCDC114	na	10698	-0.020673945546150208	-0.40184665	No	
row_19	DPCD	na	11801	-0.037101082503795624	-0.45565042	No	
row_20	BBS2	na	11831	-0.037496887147426605	-0.45261848	No	
row_21	CFAP206	na	12898	-0.054708682000637054	-0.50237256	No	
row_22	CFAP54	na	13065	-0.05728767812252045	-0.5041809	No	
row_23	CCDC151	na	13093	-0.05767307057976723	-0.49858585	No	
row_24	DRC1	na	13106	-0.05809227377176285	-0.49214587	No	
row_25	TEKT5	na	13174	-0.059393610805273056	-0.48845825	No	
row_26	DNAI1	na	13200	-0.059927280992269516	-0.48248282	No	
row_27	KIAA0556	na	13398	-0.06352680921554565	-0.4851719	No	
row_28	HYDIN	na	13685	-0.06860829889774323	-0.49195242	No	
row_29	TEKT4	na	13811	-0.07151292264461517	-0.48985836	No	
row_30	CCDC65	na	14003	-0.07589762657880783	-0.49072328	No	
row_31	AQP4	na	14257	-0.08123913407325745	-0.49421898	No	
row_32	CABYR	na	14302	-0.08237113803625107	-0.48651567	No	
row_33	TEKT2	na	14708	-0.09057976305484772	-0.4969182	No	
row_34	RFX3	na	15329	-0.10504813492298126	-0.5169373	Yes	
row_35	CFAP221	na	15381	-0.10620564222335815	-0.50670165	Yes	
row_36	RSPH4A	na	15470	-0.10829448699951172	-0.4981698	Yes	
row_37	KIF27	na	15790	-0.11757698655128479	-0.5007329	Yes	
row_38	GAS2L2	na	15829	-0.11845747381448746	-0.4883171	Yes	
row_39	LRRC6	na	15858	-0.11932267993688583	-0.47526667	Yes	
row_40	NPHP3	na	16024	-0.12378250807523727	-0.4689237	Yes	
row_41	TEKT3	na	16210	-0.1294734627008438	-0.46294606	Yes	
row_42	STK36	na	16567	-0.14128796756267548	-0.46457958	Yes	
row_43	DNAH1	na	16617	-0.14333775639533997	-0.44971576	Yes	
row_44	SPAG17	na	16905	-0.1532234400510788	-0.4462439	Yes	
row_45	ARMC4	na	16930	-0.1539517343044281	-0.4287643	Yes	
row_46	ROPN1L	na	16964	-0.1549333930015564	-0.4116415	Yes	
row_47	SPA17	na	17031	-0.15799175202846527	-0.39589268	Yes	
row_48	WDR63	na	17645	-0.18648922443389893	-0.40562263	Yes	
row_49	CFAP53	na	17679	-0.18797454237937927	-0.3844757	Yes	
row_50	DNAAF1	na	17709	-0.18962611258029938	-0.36291596	Yes	
row_51	CELSR2	na	17717	-0.1898835152387619	-0.34016055	Yes	
row_52	CFAP61	na	17935	-0.20261342823505402	-0.32696882	Yes	
row_53	CCDC40	na	18172	-0.2186424434185028	-0.31283045	Yes	
row_54	CCDC39	na	18238	-0.2235366553068161	-0.289046	Yes	
row_55	DNAH5	na	18264	-0.22526194155216217	-0.26293448	Yes	
row_56	MAATS1	na	18276	-0.2262696623802185	-0.23595928	Yes	
row_57	DNAAF4	na	18418	-0.23903313279151917	-0.21430975	Yes	
row_58	BBS4	na	18514	-0.24929647147655487	-0.18897575	Yes	
row_59	NME5	na	18568	-0.2559167444705963	-0.16061266	Yes	
row_60	CFAP43	na	18661	-0.26865315437316895	-0.13276243	Yes	
row_61	CFAP46	na	18799	-0.29025766253471375	-0.104662575	Yes	
row_62	DNAH7	na	18865	-0.30669111013412476	-0.07075076	Yes	
row_63	DNAH9	na	18870	-0.3076726496219635	-0.033491038	Yes	
row_64	WDR78	na	18893	-0.3132304251194	0.0034929325	Yes	
