NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	0	0.49360087513923645	0.01458159	Yes	
row_1	CENPN	na	5	0.47142234444618225	0.028294003	Yes	
row_2	CENPI	na	17	0.42266368865966797	0.04019153	Yes	
row_3	DSCC1	na	18	0.422017902135849	0.052658472	Yes	
row_4	CDC45	na	24	0.41447097063064575	0.06463497	Yes	
row_5	NCAPH	na	30	0.4042030870914459	0.076308146	Yes	
row_6	CENPA	na	37	0.4020617604255676	0.08786456	Yes	
row_7	CENPW	na	38	0.4018349349498749	0.09973527	Yes	
row_8	CDCA5	na	45	0.39857521653175354	0.11118869	Yes	
row_9	ERCC6L	na	57	0.3904859125614166	0.12213565	Yes	
row_10	NCAPG	na	58	0.3903881013393402	0.1336682	Yes	
row_11	HJURP	na	61	0.3889535069465637	0.14505138	Yes	
row_12	RAD54B	na	72	0.3759171664714813	0.15562145	Yes	
row_13	POLQ	na	81	0.36787766218185425	0.16606103	Yes	
row_14	RAD51	na	85	0.36364102363586426	0.17664295	Yes	
row_15	HMGB3	na	89	0.3586169183254242	0.18707645	Yes	
row_16	CDK1	na	90	0.3577021658420563	0.19764341	Yes	
row_17	CENPL	na	129	0.3363722562789917	0.20554732	Yes	
row_18	CENPO	na	133	0.33170539140701294	0.21518582	Yes	
row_19	RFC4	na	135	0.33022749423980713	0.22488765	Yes	
row_20	GINS2	na	140	0.32693997025489807	0.23433188	Yes	
row_21	PIF1	na	145	0.3241489827632904	0.24369365	Yes	
row_22	CCNB1	na	148	0.3231751620769501	0.25313365	Yes	
row_23	CENPM	na	150	0.32161954045295715	0.2625812	Yes	
row_24	CENPQ	na	151	0.32134947180747986	0.27207428	Yes	
row_25	ASF1B	na	154	0.32026422023773193	0.28142828	Yes	
row_26	RECQL4	na	158	0.31957393884658813	0.2907084	Yes	
row_27	CHAF1B	na	160	0.3179433047771454	0.30004734	Yes	
row_28	BLM	na	162	0.31682124733924866	0.30935314	Yes	
row_29	RAD54L	na	167	0.3153427839279175	0.31845477	Yes	
row_30	OIP5	na	174	0.3129194974899292	0.32737783	Yes	
row_31	TOP2A	na	195	0.30356091260910034	0.3352754	Yes	
row_32	CENPH	na	198	0.3014785051345825	0.34407446	Yes	
row_33	NUSAP1	na	222	0.2889360189437866	0.3513795	Yes	
row_34	DNA2	na	229	0.28576207160949707	0.3595003	Yes	
row_35	MIS18A	na	233	0.2845369577407837	0.36774537	Yes	
row_36	KNL1	na	252	0.27856510877609253	0.37501156	Yes	
row_37	CHD7	na	258	0.2769782245159149	0.38292634	Yes	
row_38	CENPK	na	268	0.2741321325302124	0.39054307	Yes	
row_39	RFC3	na	276	0.2696613371372223	0.3981347	Yes	
row_40	CENPU	na	280	0.2684705853462219	0.4059052	Yes	
row_41	HELLS	na	308	0.26034465432167053	0.41215163	Yes	
row_42	MCM2	na	322	0.25616711378097534	0.41902363	Yes	
row_43	MCM8	na	326	0.25567302107810974	0.42641604	Yes	
row_44	BRIP1	na	344	0.25231924653053284	0.4329604	Yes	
row_45	CHTF18	na	354	0.25041019916534424	0.43987632	Yes	
row_46	DDX12P	na	369	0.24781356751918793	0.44644806	Yes	
row_47	H2BC13	na	374	0.2460738569498062	0.4535034	Yes	
row_48	GINS4	na	392	0.24138551950454712	0.45972475	Yes	
row_49	NCAPG2	na	421	0.23638030886650085	0.46520975	Yes	
row_50	MCM4	na	422	0.2357138693332672	0.47217304	Yes	
row_51	H2AX	na	432	0.2332710474729538	0.47858268	Yes	
row_52	DDX11	na	489	0.22297199070453644	0.48217362	Yes	
row_53	H3C12	na	546	0.21526210010051727	0.48553678	Yes	
row_54	HMGA1	na	588	0.20969606935977936	0.48953804	Yes	
row_55	GTF2H4	na	666	0.20134538412094116	0.49136662	Yes	
row_56	H1-4	na	684	0.20021818578243256	0.49637184	Yes	
row_57	CHAF1A	na	755	0.1934283822774887	0.49834102	Yes	
row_58	SRPK1	na	789	0.19099774956703186	0.5022179	Yes	
row_59	MCM6	na	811	0.1898789256811142	0.5067037	Yes	
row_60	CHD5	na	828	0.1885257214307785	0.511417	Yes	
row_61	NCAPD2	na	842	0.1871342658996582	0.51624966	Yes	
row_62	NAA10	na	883	0.1840660274028778	0.5195473	Yes	
row_63	MCM7	na	897	0.18294841051101685	0.5242563	Yes	
row_64	RFC2	na	901	0.18239326775074005	0.5294839	Yes	
row_65	SMC4	na	924	0.18047912418842316	0.53363854	Yes	
row_66	H4C9	na	942	0.1792142242193222	0.5380233	Yes	
row_67	H4C5	na	980	0.17626996338367462	0.54125106	Yes	
row_68	TOP1MT	na	998	0.17481589317321777	0.5455059	Yes	
row_69	H2BC11	na	1041	0.1710517555475235	0.548312	Yes	
row_70	RNF8	na	1050	0.17061614990234375	0.5529242	Yes	
