NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	1	0.4857295751571655	0.021958895	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.042853538	Yes	
row_2	NUF2	na	15	0.4270508885383606	0.061781056	Yes	
row_3	SGO1	na	19	0.41892245411872864	0.08060607	Yes	
row_4	TRIP13	na	26	0.40942689776420593	0.09884126	Yes	
row_5	FANCA	na	27	0.40916818380355835	0.11738375	Yes	
row_6	NCAPH	na	30	0.4042030870914459	0.13559489	Yes	
row_7	TTK	na	35	0.40246087312698364	0.15362073	Yes	
row_8	CDC25A	na	36	0.4021422266960144	0.17184484	Yes	
row_9	ESPL1	na	43	0.3992500603199005	0.18961883	Yes	
row_10	CDC20	na	50	0.39499714970588684	0.2072001	Yes	
row_11	PTTG1	na	54	0.3925758898258209	0.22483115	Yes	
row_12	BUB1	na	69	0.37740185856819153	0.24118967	Yes	
row_13	RAD54B	na	72	0.3759171664714813	0.25811896	Yes	
row_14	CCNE1	na	78	0.3719814419746399	0.2747104	Yes	
row_15	RAD51	na	85	0.36364102363586426	0.29087067	Yes	
row_16	KIF18A	na	103	0.34858980774879456	0.305764	Yes	
row_17	ASPM	na	106	0.3476022481918335	0.32141012	Yes	
row_18	CDC25C	na	117	0.3417711555957794	0.33636662	Yes	
row_19	MND1	na	122	0.33960703015327454	0.35154408	Yes	
row_20	EME1	na	127	0.336804062128067	0.36659452	Yes	
row_21	BUB1B	na	155	0.3200249969959259	0.37966165	Yes	
row_22	CKS2	na	161	0.3172530233860016	0.3937729	Yes	
row_23	RAD54L	na	167	0.3153427839279175	0.4077976	Yes	
row_24	CCNE2	na	169	0.3152824938297272	0.42203227	Yes	
row_25	FBXO5	na	173	0.31294119358062744	0.43605447	Yes	
row_26	CDC25B	na	188	0.3076668083667755	0.44925275	Yes	
row_27	TOP2A	na	195	0.30356091260910034	0.46269035	Yes	
row_28	SGO2	na	227	0.28609564900398254	0.4740072	Yes	
row_29	MASTL	na	289	0.26683154702186584	0.48285586	Yes	
row_30	BRCA2	na	297	0.26417508721351624	0.49445543	Yes	
row_31	BRIP1	na	344	0.25231924653053284	0.503444	Yes	
row_32	FANCD2	na	378	0.24544337391853333	0.51281226	Yes	
row_33	MYBL1	na	404	0.23907588422298431	0.5223173	Yes	
row_34	PSMC3IP	na	410	0.2384304702281952	0.53285646	Yes	
row_35	FIGNL1	na	517	0.21876609325408936	0.53713423	Yes	
row_36	SPIRE2	na	703	0.19831837713718414	0.53628474	Yes	
row_37	C11orf80	na	740	0.19475619494915009	0.54319644	Yes	
row_38	HORMAD1	na	823	0.18894685804843903	0.547399	Yes	
row_39	MSH5	na	835	0.1878517121076584	0.55532706	Yes	
row_40	NCAPD2	na	842	0.1871342658996582	0.5634885	Yes	
row_41	SMC4	na	924	0.18047912418842316	0.56736046	Yes	
row_42	CCDC155	na	976	0.1765676885843277	0.5726503	Yes	
row_43	TDRKH	na	1188	0.16118954122066498	0.5687358	Yes	
row_44	CCNB1IP1	na	1293	0.15565650165081024	0.5702599	Yes	
row_45	RAD21	na	1315	0.15452709794044495	0.5761461	Yes	
row_46	MCMDC2	na	1422	0.1498831808567047	0.5773022	Yes	
row_47	SYCE2	na	1450	0.1484972983598709	0.5825961	Yes	
row_48	TUBG1	na	1686	0.1368056982755661	0.5763005	Yes	
row_49	HSF1	na	1911	0.12731795012950897	0.57015973	Yes	
row_50	NCAPD3	na	1927	0.1265898495912552	0.57509893	Yes	
row_51	CENPX	na	1963	0.12552787363529205	0.5789265	Yes	
row_52	MSH6	na	2005	0.12434966117143631	0.5823817	Yes	
row_53	RAD51C	na	2118	0.12072396278381348	0.5818974	Yes	
row_54	RAD51B	na	2220	0.11752625554800034	0.58185303	Yes	
row_55	NSUN2	na	2272	0.11578062921762466	0.5843882	Yes	
row_56	SYCE1L	na	2279	0.11567624658346176	0.5893113	Yes	
row_57	NPM2	na	2314	0.1148214265704155	0.5927069	Yes	
row_58	SMC2	na	2344	0.11405719071626663	0.59633374	Yes	
row_59	KLHDC3	na	2369	0.11320990324020386	0.60018796	Yes	
row_60	FBXO43	na	2466	0.1104368194937706	0.60008824	Yes	
row_61	MEIOC	na	2482	0.11010417342185974	0.6042803	Yes	
row_62	MAPK15	na	2550	0.10805860906839371	0.6056147	Yes	
