NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HCN4	na	3237	0.09203440696001053	-0.15181154	No	
row_1	HCN2	na	4716	0.06226164102554321	-0.2169027	No	
row_2	YWHAH	na	4876	0.05982442572712898	-0.21281388	No	
row_3	SCN8A	na	6228	0.03980940207839012	-0.27588242	No	
row_4	KCNH2	na	9752	-0.007675768341869116	-0.46041614	No	
row_5	CACNA1H	na	10002	-0.011300352402031422	-0.47121277	No	
row_6	SLMAP	na	10304	-0.015173790976405144	-0.48394817	No	
row_7	PTPN3	na	11003	-0.025187518447637558	-0.5155683	No	
row_8	SCN2A	na	11555	-0.03349399194121361	-0.53768766	No	
row_9	KCNJ2	na	12068	-0.0410822257399559	-0.55616224	No	
row_10	SLC8A1	na	13121	-0.05838320776820183	-0.59955555	No	
row_11	SCN5A	na	13145	-0.058746907860040665	-0.5885062	No	
row_12	GJA5	na	13411	-0.06369376182556152	-0.58921003	No	
row_13	CACNA1I	na	13823	-0.07175794988870621	-0.59594417	No	
row_14	ANK3	na	14771	-0.09176164120435715	-0.6268215	No	
row_15	TRPM4	na	16042	-0.1243654191493988	-0.6679577	Yes	
row_16	RANGRF	na	16197	-0.12899811565876007	-0.64916337	Yes	
row_17	SCN9A	na	16392	-0.13571594655513763	-0.6310799	Yes	
row_18	ANK2	na	16679	-0.14558418095111847	-0.61579704	Yes	
row_19	SCN11A	na	17093	-0.160659521818161	-0.6040769	Yes	
row_20	CACNA2D1	na	17582	-0.18289096653461456	-0.59167814	Yes	
row_21	CACNA1C	na	17691	-0.18878056108951569	-0.55797267	Yes	
row_22	SCN1B	na	17783	-0.1941940188407898	-0.5222388	Yes	
row_23	SCN3A	na	18058	-0.21071010828018188	-0.49272564	Yes	
row_24	CACNA1G	na	18157	-0.21769540011882782	-0.45245528	Yes	
row_25	CACNB2	na	18535	-0.2520765960216522	-0.419748	Yes	
row_26	SCN3B	na	18567	-0.25511234998703003	-0.3681262	Yes	
row_27	SCN4A	na	18589	-0.25812143087387085	-0.31534785	Yes	
row_28	ATP1A2	na	18774	-0.28720712661743164	-0.26510933	Yes	
row_29	SCN2B	na	18813	-0.29383572936058044	-0.2057731	Yes	
row_30	CACNA1D	na	18899	-0.315312922000885	-0.14443631	Yes	
row_31	SCN7A	na	18934	-0.3369385600090027	-0.0758902	Yes	
row_32	SCN4B	na	18953	-0.36958569288253784	3.1699848E-4	Yes	
