NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HCN4	na	3237	0.09203440696001053	-0.14415345	No	
row_1	HCN2	na	4716	0.06226164102554321	-0.2040877	No	
row_2	SLMAP	na	10304	-0.015173790976405144	-0.4946749	No	
row_3	KCNJ2	na	12068	-0.0410822257399559	-0.57581645	No	
row_4	SLC8A1	na	13121	-0.05838320776820183	-0.6143853	No	
row_5	SCN5A	na	13145	-0.058746907860040665	-0.59851605	No	
row_6	GJA5	na	13411	-0.06369376182556152	-0.59398615	No	
row_7	ANK3	na	14771	-0.09176164120435715	-0.6390585	No	
row_8	TRPM4	na	16042	-0.1243654191493988	-0.66995025	Yes	
row_9	RANGRF	na	16197	-0.12899811565876007	-0.6405688	Yes	
row_10	ANK2	na	16679	-0.14558418095111847	-0.6236301	Yes	
row_11	CACNA2D1	na	17582	-0.18289096653461456	-0.6180718	Yes	
row_12	CACNA1C	na	17691	-0.18878056108951569	-0.5688767	Yes	
row_13	SCN1B	na	17783	-0.1941940188407898	-0.51720977	Yes	
row_14	CACNA1G	na	18157	-0.21769540011882782	-0.4735985	Yes	
row_15	CACNB2	na	18535	-0.2520765960216522	-0.42020035	Yes	
row_16	SCN3B	na	18567	-0.25511234998703003	-0.34765023	Yes	
row_17	ATP1A2	na	18774	-0.28720712661743164	-0.2750071	Yes	
row_18	SCN2B	na	18813	-0.29383572936058044	-0.1915658	Yes	
row_19	CACNA1D	na	18899	-0.315312922000885	-0.104360536	Yes	
row_20	SCN4B	na	18953	-0.36958569288253784	3.1693905E-4	Yes	
