NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1B3	na	1873	0.12896405160427094	-0.07391179	No	
row_1	KCNE2	na	2477	0.11014233529567719	-0.08435695	No	
row_2	KCNE5	na	2902	0.09950398653745651	-0.08741035	No	
row_3	KCNE3	na	4037	0.07519344240427017	-0.13272165	No	
row_4	DLG1	na	4746	0.06185198202729225	-0.1581114	No	
row_5	CACNB3	na	5211	0.054492369294166565	-0.17203583	No	
row_6	SNTA1	na	5935	0.04359517619013786	-0.20177019	No	
row_7	FLNA	na	5937	0.04353882744908333	-0.19335282	No	
row_8	YWHAE	na	6163	0.04048924520611763	-0.19736867	No	
row_9	KCNN2	na	7793	0.018095843493938446	-0.27995214	No	
row_10	ATP1A1	na	8085	0.013608372770249844	-0.29268607	No	
row_11	WDR1	na	8524	0.008040851913392544	-0.31427312	No	
row_12	ZMPSTE24	na	9696	-0.007092240732163191	-0.3747888	No	
row_13	KCNH2	na	9752	-0.007675768341869116	-0.37620267	No	
row_14	KCNJ2	na	12068	-0.0410822257399559	-0.49057412	No	
row_15	KCNJ5	na	12503	-0.04820665344595909	-0.50413567	No	
row_16	SCN5A	na	13145	-0.058746907860040665	-0.5265881	No	
row_17	AKAP6	na	13239	-0.06067409738898277	-0.5197	No	
row_18	GJA5	na	13411	-0.06369376182556152	-0.5163473	No	
row_19	KCNJ8	na	13555	-0.06630410999059677	-0.5110067	No	
row_20	ATP1B1	na	14965	-0.096248559653759	-0.5667575	Yes	
row_21	KCNE1	na	15035	-0.0976124033331871	-0.5514147	Yes	
row_22	RNF207	na	15153	-0.10064417868852615	-0.53801924	Yes	
row_23	KCNQ1	na	15611	-0.11225065588951111	-0.5403371	Yes	
row_24	AKAP9	na	16046	-0.12452811002731323	-0.53905076	Yes	
row_25	ANK2	na	16679	-0.14558418095111847	-0.5441338	Yes	
row_26	NEDD4L	na	16940	-0.15440908074378967	-0.52783716	Yes	
row_27	NOS1AP	na	17209	-0.16520079970359802	-0.509864	Yes	
row_28	KCNJ3	na	17217	-0.1654389500617981	-0.47804877	Yes	
row_29	KCNA5	na	17306	-0.1691787987947464	-0.4497874	Yes	
row_30	ATP1B2	na	17369	-0.17170831561088562	-0.41965967	Yes	
row_31	CACNA2D1	na	17582	-0.18289096653461456	-0.39528495	Yes	
row_32	SCN1B	na	17783	-0.1941940188407898	-0.368077	Yes	
row_33	KCNIP2	na	17808	-0.19587385654449463	-0.33123943	Yes	
row_34	CAV1	na	17922	-0.2021719217300415	-0.2978809	Yes	
row_35	CASQ2	na	18631	-0.26454031467437744	-0.28383878	Yes	
row_36	KCND3	na	18750	-0.2818165123462677	-0.2352501	Yes	
row_37	ATP1A2	na	18774	-0.28720712661743164	-0.1805913	Yes	
row_38	KCNE4	na	18807	-0.2928289771080017	-0.12531453	Yes	
row_39	CACNA1D	na	18899	-0.315312922000885	-0.06878219	Yes	
row_40	SCN4B	na	18953	-0.36958569288253784	3.1717593E-4	Yes	
