NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	1	0.4857295751571655	0.024818387	Yes	
row_1	MYBL2	na	2	0.48525723814964294	0.0496657	Yes	
row_2	AURKB	na	4	0.47673675417900085	0.07402361	Yes	
row_3	PLK1	na	6	0.46576517820358276	0.09781974	Yes	
row_4	NUF2	na	15	0.4270508885383606	0.11926173	Yes	
row_5	TPX2	na	21	0.41777151823043823	0.14038791	Yes	
row_6	KIF4A	na	32	0.40353307127952576	0.16051947	Yes	
row_7	TTK	na	35	0.40246087312698364	0.181021	Yes	
row_8	CENPA	na	37	0.4020617604255676	0.20155524	Yes	
row_9	ESPL1	na	43	0.3992500603199005	0.22173305	Yes	
row_10	CDC20	na	50	0.39499714970588684	0.24163997	Yes	
row_11	KIFC1	na	60	0.3896101713180542	0.2611117	Yes	
row_12	BIRC5	na	65	0.38263392448425293	0.2804918	Yes	
row_13	NEK2	na	66	0.38252466917037964	0.30007875	Yes	
row_14	CHEK2	na	88	0.36087122559547424	0.3174416	Yes	
row_15	CENPE	na	92	0.35475078225135803	0.33544707	Yes	
row_16	POC1A	na	100	0.3493872582912445	0.35296544	Yes	
row_17	MAD2L1	na	104	0.3482166528701782	0.37063634	Yes	
row_18	NDC80	na	116	0.3423815071582794	0.38758355	Yes	
row_19	KIF23	na	119	0.3414556682109833	0.40496138	Yes	
row_20	CCNB1	na	148	0.3231751620769501	0.42002222	Yes	
row_21	SAPCD2	na	153	0.32053762674331665	0.4362227	Yes	
row_22	RACGAP1	na	165	0.3157368302345276	0.4518056	Yes	
row_23	STIL	na	168	0.31532078981399536	0.46784517	Yes	
row_24	SPC25	na	182	0.3099533021450043	0.4830257	Yes	
row_25	WDR62	na	189	0.3071558177471161	0.49843475	Yes	
row_26	PRC1	na	204	0.2958771586418152	0.5128414	Yes	
row_27	SPDL1	na	205	0.2951756715774536	0.5279557	Yes	
row_28	NUSAP1	na	222	0.2889360189437866	0.5419007	Yes	
row_29	KIF11	na	237	0.2829981744289398	0.5556479	Yes	
row_30	GPSM2	na	295	0.26458391547203064	0.56616837	Yes	
row_31	TACC3	na	306	0.2610103487968445	0.5790021	Yes	
