NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.019852275	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.03940225	Yes	
row_2	NUF2	na	15	0.4270508885383606	0.056950714	Yes	
row_3	DSCC1	na	18	0.422017902135849	0.0746063	Yes	
row_4	SGO1	na	19	0.41892245411872864	0.09223791	Yes	
row_5	TRIP13	na	26	0.40942689776420593	0.10915094	Yes	
row_6	NCAPH	na	30	0.4042030870914459	0.12600356	Yes	
row_7	CDT1	na	31	0.4040567874908447	0.14300951	Yes	
row_8	KIF4A	na	32	0.40353307127952576	0.15999343	Yes	
row_9	TTK	na	35	0.40246087312698364	0.1768259	Yes	
row_10	KIF18B	na	42	0.40012046694755554	0.19334723	Yes	
row_11	ESPL1	na	43	0.3992500603199005	0.21015087	Yes	
row_12	CDCA5	na	45	0.39857521653175354	0.22687295	Yes	
row_13	CDC20	na	50	0.39499714970588684	0.24328497	Yes	
row_14	DLGAP5	na	52	0.3948845863342285	0.25985172	Yes	
row_15	KIF14	na	53	0.393275648355484	0.2764039	Yes	
row_16	PTTG1	na	54	0.3925758898258209	0.29292667	Yes	
row_17	NCAPG	na	58	0.3903881013393402	0.30919784	Yes	
row_18	HASPIN	na	59	0.3899577260017395	0.3256104	Yes	
row_19	KIFC1	na	60	0.3896101713180542	0.34200832	Yes	
row_20	NEK2	na	66	0.38252466917037964	0.35784224	Yes	
row_21	BUB1	na	69	0.37740185856819153	0.37362	Yes	
row_22	KIF2C	na	71	0.37681853771209717	0.3894264	Yes	
row_23	CDCA8	na	79	0.36955490708351135	0.40460813	Yes	
row_24	SPAG5	na	84	0.3637068271636963	0.4197032	Yes	
row_25	CENPE	na	92	0.35475078225135803	0.43426186	Yes	
row_26	KIF18A	na	103	0.34858980774879456	0.44840172	Yes	
row_27	MAD2L1	na	104	0.3482166528701782	0.4630575	Yes	
row_28	NDC80	na	116	0.3423815071582794	0.4768829	Yes	
row_29	KIF23	na	119	0.3414556682109833	0.4911478	Yes	
row_30	CDC6	na	139	0.32786282896995544	0.5039369	Yes	
row_31	CCNB1	na	148	0.3231751620769501	0.51711345	Yes	
row_32	BUB1B	na	155	0.3200249969959259	0.5302637	Yes	
row_33	RACGAP1	na	165	0.3157368302345276	0.543074	Yes	
row_34	FBXO5	na	173	0.31294119358062744	0.555873	Yes	
row_35	CENPF	na	194	0.3043752610683441	0.5676204	Yes	
row_36	PRC1	na	204	0.2958771586418152	0.57959485	Yes	
row_37	SPDL1	na	205	0.2951756715774536	0.5920182	Yes	
row_38	NUSAP1	na	222	0.2889360189437866	0.60332847	Yes	
row_39	DSN1	na	235	0.28363651037216187	0.61462826	Yes	
row_40	CENPK	na	268	0.2741321325302124	0.62446487	Yes	
row_41	KNSTRN	na	269	0.2737601101398468	0.6359869	Yes	
row_42	TACC3	na	306	0.2610103487968445	0.64505863	Yes	
row_43	RRS1	na	316	0.2591188848018646	0.65548605	Yes	
row_44	INCENP	na	317	0.2579169273376465	0.66634125	Yes	
row_45	PSRC1	na	334	0.25428149104118347	0.67619294	Yes	
row_46	ZWINT	na	382	0.24413107335567474	0.6839695	Yes	
row_47	GEN1	na	544	0.21537582576274872	0.6844759	Yes	
row_48	NSMCE2	na	657	0.20193956792354584	0.6870215	Yes	
row_49	CHMP4C	na	749	0.19381830096244812	0.69034153	Yes	
row_50	NCAPD2	na	842	0.1871342658996582	0.6933272	Yes	
row_51	NAA10	na	883	0.1840660274028778	0.69894785	Yes	
row_52	SMC4	na	924	0.18047912418842316	0.7044175	Yes	
row_53	TENT4A	na	1224	0.15927574038505554	0.695227	No	
row_54	RAD21	na	1315	0.15452709794044495	0.6969466	No	
row_55	TUBG1	na	1686	0.1368056982755661	0.6830362	No	
row_56	HIRA	na	1707	0.13595637679100037	0.68769515	No	
row_57	KIF22	na	1834	0.1304643452167511	0.6864883	No	
row_58	NCAPD3	na	1927	0.1265898495912552	0.6869257	No	
row_59	ZW10	na	1973	0.12519751489162445	0.68980294	No	
row_60	MSTO1	na	1981	0.12496308237314224	0.6946903	No	
row_61	CHMP1A	na	2073	0.1221865639090538	0.6949955	No	
row_62	SEH1L	na	2089	0.12165479362010956	0.6993184	No	
row_63	KATNB1	na	2139	0.12000713497400284	0.7017645	No	
row_64	XRCC3	na	2254	0.11612340807914734	0.700592	No	
row_65	SMC2	na	2344	0.11405719071626663	0.70066136	No	
row_66	ANAPC11	na	2365	0.11332466453313828	0.7043679	No	
row_67	SMC1A	na	2507	0.10931142419576645	0.70147336	No	
row_68	RAN	na	2820	0.10171123594045639	0.689169	No	
row_69	NCAPH2	na	2875	0.10009990632534027	0.6905115	No	
row_70	NAA50	na	2962	0.09791922569274902	0.69006115	No	
row_71	MAD2L2	na	3040	0.09630917012691498	0.6900215	No	
row_72	VPS4A	na	3390	0.08850042521953583	0.6751943	No	
row_73	PINX1	na	3563	0.08469856530427933	0.66961604	No	
row_74	NUP62	na	3924	0.0774502381682396	0.65373904	No	
row_75	ANAPC1	na	4460	0.0665997639298439	0.6281028	No	
row_76	ANAPC15	na	4786	0.061307068914175034	0.61340684	No	
row_77	KPNB1	na	5060	0.05690181627869606	0.60128975	No	
row_78	KIF25	na	5079	0.05669811740517616	0.6027192	No	
row_79	MIS12	na	5393	0.051691100001335144	0.5882565	No	
row_80	CDC23	na	5459	0.0504339374601841	0.5869239	No	
row_81	LCMT1	na	6018	0.042354535311460495	0.5590446	No	
row_82	PCID2	na	6022	0.04228401184082031	0.5606648	No	
row_83	PSMG2	na	6368	0.03791026026010513	0.543921	No	
row_84	MAD1L1	na	6661	0.0337476022541523	0.52981937	No	
row_85	MACROH2A1	na	6663	0.0337163545191288	0.53118527	No	
row_86	CHMP2B	na	6702	0.03316435217857361	0.5305611	No	
row_87	HNRNPU	na	6806	0.03192027285695076	0.5264293	No	
row_88	CHTF8	na	6909	0.03048260137438774	0.52229017	No	
row_89	ZNF207	na	6912	0.03045271709561348	0.5234656	No	
row_90	CDC27	na	7076	0.027892107143998146	0.5159748	No	
row_91	PPP2R1A	na	7178	0.026412388309836388	0.51171756	No	
row_92	BUB3	na	7202	0.026155143976211548	0.5115957	No	
row_93	CHMP4B	na	7247	0.025481287389993668	0.51032925	No	
row_94	TPR	na	7380	0.023671697825193405	0.50430876	No	
row_95	ANAPC5	na	7453	0.02278818190097809	0.5014405	No	
row_96	PDS5A	na	7845	0.017364950850605965	0.48138678	No	
row_97	DYNC1LI1	na	8035	0.014410007745027542	0.47194648	No	
row_98	SLF1	na	8067	0.013860230334103107	0.47088194	No	
row_99	CHMP1B	na	8068	0.013856065459549427	0.4714651	No	
row_100	AKAP8L	na	8311	0.01098242960870266	0.45906323	No	
row_101	NSL1	na	8338	0.01065836288034916	0.4581297	No	
row_102	AKAP8	na	8364	0.010284852236509323	0.45723364	No	
row_103	CDC26	na	8544	0.007817300036549568	0.44804746	No	
row_104	SMC5	na	8754	0.005056109745055437	0.43715033	No	
row_105	NIPBL	na	9131	4.003846552222967E-4	0.41717994	No	
row_106	RIOK2	na	9266	-0.001537669450044632	0.41012153	No	
row_107	TEX14	na	9267	-0.0015708303544670343	0.41018766	No	
row_108	POGZ	na	9749	-0.00763880368322134	0.38494036	No	
row_109	CHMP6	na	9820	-0.00838151853531599	0.3815721	No	
row_110	PHF23	na	9988	-0.011034459806978703	0.3731592	No	
row_111	PHF13	na	10016	-0.011479409411549568	0.3722071	No	
row_112	CHAMP1	na	10340	-0.015755603089928627	0.3557003	No	
row_113	IK	na	10400	-0.01658513955771923	0.35326207	No	
row_114	MAP10	na	10786	-0.021905632689595222	0.33371836	No	
row_115	BOD1	na	10877	-0.02331002615392208	0.32991526	No	
row_116	NEK6	na	10884	-0.023419544100761414	0.330582	No	
row_117	CHMP5	na	10907	-0.02370852418243885	0.3304104	No	
row_118	ATRX	na	10932	-0.024091675877571106	0.33014858	No	
row_119	CHMP2A	na	11049	-0.02594577521085739	0.3250743	No	
row_120	CUL3	na	11083	-0.026440436020493507	0.3244329	No	
row_121	AURKC	na	11235	-0.02844269759953022	0.31760323	No	
row_122	MAU2	na	11442	-0.03150046616792679	0.30797857	No	
row_123	KLHL22	na	11588	-0.03389803320169449	0.3016974	No	
row_124	DIS3L2	na	11589	-0.033906757831573486	0.3031245	No	
row_125	PDS5B	na	11839	-0.037557847797870636	0.29146898	No	
row_126	CDK5RAP2	na	11916	-0.0387222021818161	0.28905874	No	
row_127	INO80	na	12612	-0.049998022615909576	0.25421858	No	
row_128	ANAPC4	na	12639	-0.05057898536324501	0.25496525	No	
row_129	VPS4B	na	12654	-0.050815943628549576	0.2563598	No	
row_130	SLF2	na	12741	-0.05222257599234581	0.25398618	No	
row_131	RAB11A	na	13137	-0.058658525347709656	0.23545775	No	
row_132	APC	na	13301	-0.06163918972015381	0.22938734	No	
row_133	ANKRD53	na	13443	-0.06430767476558685	0.2245987	No	
row_134	BECN1	na	13526	-0.06583616882562637	0.2230107	No	
row_135	HECW2	na	13966	-0.07494024187326431	0.20282862	No	
row_136	ATM	na	14471	-0.08575502783060074	0.17964646	No	
row_137	CHMP7	na	14481	-0.08614742010831833	0.18279383	No	
row_138	PIBF1	na	14850	-0.09368628263473511	0.16717492	No	
row_139	RB1	na	15019	-0.09731176495552063	0.1623401	No	
row_140	CENPC	na	15060	-0.09814305603504181	0.16434444	No	
row_141	CHMP4A	na	15108	-0.09925153851509094	0.16602334	No	
row_142	TNKS	na	15708	-0.11518363654613495	0.13902982	No	
row_143	NUMA1	na	15728	-0.11580237001180649	0.14289372	No	
row_144	TUBG2	na	16485	-0.13862915337085724	0.10854122	No	
row_145	USP44	na	16582	-0.14195136725902557	0.10941255	No	
row_146	TTN	na	17372	-0.17175684869289398	0.07470014	No	
row_147	DUSP1	na	18294	-0.2282787561416626	0.035349827	No	
