NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM65	na	199	0.29951012134552	0.0049746325	No	
row_1	NUP155	na	1137	0.16471774876117706	-0.036336716	No	
row_2	ATP2A1	na	1427	0.14939303696155548	-0.043954443	No	
row_3	DSC2	na	1808	0.1313607096672058	-0.057352882	No	
row_4	FMR1	na	1816	0.13098250329494476	-0.05091788	No	
row_5	ATP1B3	na	1873	0.12896405160427094	-0.04719583	No	
row_6	RYR1	na	2151	0.11975612491369247	-0.055715173	No	
row_7	ACE2	na	2409	0.11199737340211868	-0.063573256	No	
row_8	KCNE2	na	2477	0.11014233529567719	-0.061414912	No	
row_9	CHRNB4	na	2677	0.10485965013504028	-0.066556886	No	
row_10	KCNE5	na	2902	0.09950398653745651	-0.07330785	No	
row_11	HCN4	na	3237	0.09203440696001053	-0.08630183	No	
row_12	SOD1	na	3568	0.08462854474782944	-0.09946782	No	
row_13	KCNK1	na	3820	0.07944583892822266	-0.10869835	No	
row_14	CACNB1	na	3987	0.07621750980615616	-0.113572516	No	
row_15	KCNE3	na	4037	0.07519344240427017	-0.112272516	No	
row_16	DSP	na	4075	0.07454346865415573	-0.110367596	No	
row_17	GBA	na	4151	0.07284819334745407	-0.11057335	No	
row_18	DMRT3	na	4505	0.06594830006361008	-0.12593439	No	
row_19	ITPR3	na	4781	0.061388324946165085	-0.13738085	No	
row_20	CHRNA1	na	4817	0.06083688512444496	-0.13608186	No	
row_21	TYMP	na	4858	0.06006031110882759	-0.13508935	No	
row_22	ATP2A2	na	5054	0.05693816393613815	-0.14250906	No	
row_23	SLC8A2	na	5207	0.054533541202545166	-0.14776504	No	
row_24	CACNB3	na	5211	0.054492369294166565	-0.14509258	No	
row_25	KCNJ14	na	5266	0.053637370467185974	-0.14517905	No	
row_26	CALM1	na	5773	0.04547075554728508	-0.16974787	No	
row_27	CALM2	na	5860	0.04443524777889252	-0.17201582	No	
row_28	FLNA	na	5937	0.04353882744908333	-0.1737981	No	
row_29	FXYD6	na	6034	0.04208327457308769	-0.17672054	No	
row_30	YWHAE	na	6163	0.04048924520611763	-0.18142904	No	
row_31	SCN8A	na	6228	0.03980940207839012	-0.18276645	No	
row_32	CAMK2D	na	6451	0.03654126822948456	-0.19268334	No	
row_33	DSG2	na	7004	0.029130825772881508	-0.22054978	No	
row_34	CALM3	na	7211	0.026012765243649483	-0.23016225	No	
row_35	AGT	na	7459	0.0226984191685915	-0.24212924	No	
row_36	CXADR	na	7612	0.020684048533439636	-0.24914448	No	
row_37	KCNN2	na	7793	0.018095843493938446	-0.25778458	No	
row_38	PRKACA	na	7999	0.014893854968249798	-0.26792172	No	
row_39	ATP1A1	na	8085	0.013608372770249844	-0.2717386	No	
row_40	JUP	na	8093	0.013472441583871841	-0.27141097	No	
row_41	FGF12	na	8130	0.013024603016674519	-0.27265015	No	
row_42	ATP1A3	na	8258	0.011499450542032719	-0.27881214	No	
row_43	GJC1	na	8399	0.00982856098562479	-0.28575286	No	
row_44	ATP2B1	na	8650	0.006356712430715561	-0.29872885	No	
row_45	PAFAH1B1	na	8736	0.005270527675747871	-0.3029791	No	
row_46	STIM1	na	9049	0.0014863681280985475	-0.3195082	No	
row_47	PKP2	na	9151	1.7249619122594595E-4	-0.324875	No	
row_48	ZMPSTE24	na	9696	-0.007092240732163191	-0.35346106	No	
row_49	KCNH2	na	9752	-0.007675768341869116	-0.35598952	No	
row_50	KCNJ12	na	9826	-0.00849246233701706	-0.3594336	No	
row_51	MEF2A	na	9944	-0.010366272181272507	-0.3651222	No	
row_52	CACNA1H	na	10002	-0.011300352402031422	-0.36756873	No	
row_53	PDE4D	na	10077	-0.012247786857187748	-0.37087086	No	
row_54	NPPC	na	10390	-0.01647104136645794	-0.38662115	No	
row_55	P2RX1	na	10872	-0.023171300068497658	-0.4110183	No	
row_56	FXYD7	na	11092	-0.026562020182609558	-0.42129418	No	
row_57	SRI	na	11199	-0.027993809431791306	-0.42548114	No	
row_58	FXYD2	na	11289	-0.029211899265646935	-0.42869997	No	
row_59	KCNMB3	na	11348	-0.030032504349946976	-0.43022618	No	
row_60	ASPH	na	11398	-0.03085770457983017	-0.43123046	No	
row_61	KCNIP3	na	11466	-0.03191085159778595	-0.43313804	No	
row_62	SCN2A	na	11555	-0.03349399194121361	-0.43608108	No	
row_63	BIN1	na	11665	-0.03516177833080292	-0.4400552	No	
row_64	FXYD3	na	11820	-0.037349339574575424	-0.44631076	No	
row_65	CORIN	na	11871	-0.038091856986284256	-0.44699228	No	
row_66	NFASC	na	11908	-0.03859980031847954	-0.44690225	No	
row_67	KCNJ2	na	12068	-0.0410822257399559	-0.4532299	No	
row_68	RYR3	na	12207	-0.043311040848493576	-0.45832402	No	
row_69	ITPR2	na	12240	-0.04390287399291992	-0.45774546	No	
row_70	GRIK2	na	12345	-0.04558467119932175	-0.46091172	No	
row_71	ATP2B2	na	12372	-0.0460321269929409	-0.45990315	No	
row_72	CNTNAP2	na	12407	-0.04663872718811035	-0.45928884	No	
row_73	KCNJ5	na	12503	-0.04820665344595909	-0.4618398	No	
row_74	GPR35	na	12520	-0.048638783395290375	-0.4601635	No	
row_75	ATP2B4	na	12586	-0.04961949214339256	-0.46104428	No	
row_76	KCNK6	na	12697	-0.05137145519256592	-0.46422914	No	
row_77	RYR2	na	12719	-0.051712144166231155	-0.46265924	No	
row_78	SLC9A1	na	12945	-0.05533371865749359	-0.47175908	No	
row_79	SLC8A1	na	13121	-0.05838320776820183	-0.47803918	No	
row_80	SCN5A	na	13145	-0.058746907860040665	-0.4762101	No	
row_81	KCNK3	na	13303	-0.06171293929219246	-0.48135906	No	
row_82	AHCYL1	na	13351	-0.06250284612178802	-0.4806122	No	
row_83	GJA5	na	13411	-0.06369376182556152	-0.48044214	No	
row_84	NRCAM	na	13445	-0.06432831287384033	-0.47885522	No	
row_85	KCND1	na	13454	-0.0644814521074295	-0.47592974	No	
row_86	CACNA1I	na	13823	-0.07175794988870621	-0.4917872	No	
row_87	CACNG8	na	13917	-0.07376055419445038	-0.4929036	No	
row_88	TRDN	na	14076	-0.07744977623224258	-0.4972879	No	
row_89	CACNG4	na	14174	-0.07936415076255798	-0.49832597	No	
row_90	DMPK	na	14461	-0.08554168045520782	-0.5091026	No	
row_91	KCNMB4	na	14654	-0.08944030851125717	-0.51467335	No	
row_92	ANK3	na	14771	-0.09176164120435715	-0.51607835	Yes	
row_93	GHRL	na	14778	-0.09192859381437302	-0.5116199	Yes	
row_94	P2RX4	na	14887	-0.09466513246297836	-0.5124482	Yes	
row_95	MYH14	na	14913	-0.09515343606472015	-0.5088334	Yes	
row_96	ATP1B1	na	14965	-0.096248559653759	-0.50654554	Yes	
row_97	CLCN1	na	15007	-0.0970740020275116	-0.50368255	Yes	
row_98	KCNE1	na	15035	-0.0976124033331871	-0.50004643	Yes	
row_99	CACNB4	na	15095	-0.09896492958068848	-0.4980432	Yes	
row_100	NPR2	na	15150	-0.10051684081554413	-0.49569318	Yes	
row_101	RNF207	na	15153	-0.10064417868852615	-0.49056885	Yes	
row_102	AVPR1A	na	15231	-0.1026172786951065	-0.48933384	Yes	
row_103	TRPC1	na	15505	-0.10950951278209686	-0.49817285	Yes	
row_104	KCNQ1	na	15611	-0.11225065588951111	-0.4979275	Yes	
row_105	GJA1	na	15745	-0.11623556911945343	-0.49896535	Yes	
