NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.030887682	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.06121868	Yes	
row_2	TRIP13	na	26	0.40942689776420593	0.08692022	Yes	
row_3	CDT1	na	31	0.4040567874908447	0.11306665	Yes	
row_4	RMI2	na	33	0.4034792482852936	0.13933446	Yes	
row_5	TTK	na	35	0.40246087312698364	0.16553581	Yes	
row_6	ESPL1	na	43	0.3992500603199005	0.19120964	Yes	
row_7	CDCA5	na	45	0.39857521653175354	0.21715753	Yes	
row_8	CDC20	na	50	0.39499714970588684	0.24271296	Yes	
row_9	DLGAP5	na	52	0.3948845863342285	0.26842007	Yes	
row_10	PTTG1	na	54	0.3925758898258209	0.2939766	Yes	
row_11	NEK2	na	66	0.38252466917037964	0.3183473	Yes	
row_12	BUB1	na	69	0.37740185856819153	0.34286094	Yes	
row_13	KIF2C	na	71	0.37681853771209717	0.36738953	Yes	
row_14	SPAG5	na	84	0.3637068271636963	0.39047965	Yes	
row_15	CENPE	na	92	0.35475078225135803	0.41325057	Yes	
row_16	MAD2L1	na	104	0.3482166528701782	0.4353832	Yes	
row_17	NDC80	na	116	0.3423815071582794	0.45713517	Yes	
row_18	CDC6	na	139	0.32786282896995544	0.47735688	Yes	
row_19	CCNB1	na	148	0.3231751620769501	0.49801496	Yes	
row_20	BUB1B	na	155	0.3200249969959259	0.5185736	Yes	
row_21	RACGAP1	na	165	0.3157368302345276	0.5386934	Yes	
row_22	FBXO5	na	173	0.31294119358062744	0.5587369	Yes	
row_23	CENPF	na	194	0.3043752610683441	0.5775325	Yes	
row_24	MKI67	na	196	0.3028363585472107	0.59723485	Yes	
row_25	SPDL1	na	205	0.2951756715774536	0.6160664	Yes	
row_26	KNSTRN	na	269	0.2737601101398468	0.6305852	Yes	
row_27	TACC3	na	306	0.2610103487968445	0.6457036	Yes	
row_28	FEN1	na	339	0.2536035478115082	0.6605509	Yes	
row_29	DDX11	na	489	0.22297199070453644	0.6671973	Yes	
row_30	GEN1	na	544	0.21537582576274872	0.67838454	Yes	
row_31	ECT2	na	602	0.20769686996936798	0.68891174	Yes	
row_32	NSMCE2	na	657	0.20193956792354584	0.69922245	Yes	
row_33	HORMAD1	na	823	0.18894685804843903	0.70280105	Yes	
row_34	NAA10	na	883	0.1840660274028778	0.7116807	Yes	
row_35	RAD21	na	1315	0.15452709794044495	0.69891226	No	
row_36	CSNK2A2	na	1726	0.13503994047641754	0.68598586	No	
row_37	ZW10	na	1973	0.12519751489162445	0.6811117	No	
row_38	XRCC3	na	2254	0.11612340807914734	0.6738431	No	
row_39	ANAPC11	na	2365	0.11332466453313828	0.67540425	No	
row_40	SMC6	na	2483	0.11010220646858215	0.6763841	No	
row_41	MAPK15	na	2550	0.10805860906839371	0.6799343	No	
row_42	MAD2L2	na	3040	0.09630917012691498	0.6602933	No	
row_43	RCC2	na	3535	0.08526890724897385	0.6396669	No	
row_44	RAD18	na	3758	0.08039622008800507	0.6331425	No	
row_45	TTL	na	3778	0.08012235909700394	0.63736194	No	
row_46	ANAPC1	na	4460	0.0665997639298439	0.6056041	No	
row_47	SIRT2	na	4783	0.06136036291718483	0.5925365	No	
row_48	ANAPC15	na	4786	0.061307068914175034	0.5964298	No	
row_49	CSNK2A1	na	5164	0.055281419306993484	0.5800499	No	
row_50	HDAC8	na	5435	0.05095183476805687	0.56905997	No	
row_51	CDC23	na	5459	0.0504339374601841	0.5711307	No	
row_52	LCMT1	na	6018	0.042354535311460495	0.54431194	No	
row_53	PCID2	na	6022	0.04228401184082031	0.5469113	No	
row_54	CTCF	na	6207	0.03999495878815651	0.5397658	No	
row_55	PSMG2	na	6368	0.03791026026010513	0.5337566	No	
row_56	MAD1L1	na	6661	0.0337476022541523	0.5204781	No	
row_57	MACROH2A1	na	6663	0.0337163545191288	0.52262455	No	
row_58	HNRNPU	na	6806	0.03192027285695076	0.5171789	No	
row_59	DYNC1H1	na	6893	0.030743801966309547	0.51462525	No	
row_60	ZNF207	na	6912	0.03045271709561348	0.5156576	No	
row_61	SFPQ	na	7015	0.028899943456053734	0.51213545	No	
row_62	CDC27	na	7076	0.027892107143998146	0.51077414	No	
row_63	BUB3	na	7202	0.026155143976211548	0.50585365	No	
row_64	TPR	na	7380	0.023671697825193405	0.49801442	No	
row_65	ANAPC5	na	7453	0.02278818190097809	0.495684	No	
row_66	DYNC1LI1	na	8035	0.014410007745027542	0.465823	No	
row_67	SLF1	na	8067	0.013860230334103107	0.46508375	No	
row_68	CDC26	na	8544	0.007817300036549568	0.44035912	No	
row_69	CTNNB1	na	8613	0.006796963047236204	0.43719757	No	
row_70	SMC5	na	8754	0.005056109745055437	0.43010545	No	
row_71	PUM2	na	8891	0.0035337533336132765	0.4231261	No	
row_72	NIPBL	na	9131	4.003846552222967E-4	0.4104819	No	
row_73	RIOK2	na	9266	-0.001537669450044632	0.40347835	No	
row_74	TEX14	na	9267	-0.0015708303544670343	0.40358084	No	
row_75	CDC42	na	10310	-0.015230641700327396	0.349334	No	
row_76	IK	na	10400	-0.01658513955771923	0.34569767	No	
row_77	PUM1	na	10763	-0.021655190736055374	0.32791933	No	
row_78	NEK6	na	10884	-0.023419544100761414	0.32308546	No	
row_79	ATRX	na	10932	-0.024091675877571106	0.3221654	No	
row_80	CUL3	na	11083	-0.026440436020493507	0.31593817	No	
row_81	KLHL22	na	11588	-0.03389803320169449	0.2914305	No	
row_82	WAPL	na	11620	-0.03433508798480034	0.29202694	No	
row_83	CDK5RAP2	na	11916	-0.0387222021818161	0.2789139	No	
row_84	ANAPC4	na	12639	-0.05057898536324501	0.24393739	No	
row_85	SLF2	na	12741	-0.05222257599234581	0.2419897	No	
row_86	APC	na	13301	-0.06163918972015381	0.21637598	No	
row_87	BECN1	na	13526	-0.06583616882562637	0.20879568	No	
row_88	HECW2	na	13966	-0.07494024187326431	0.1904113	No	
row_89	ATM	na	14471	-0.08575502783060074	0.16928652	No	
row_90	RB1	na	15019	-0.09731176495552063	0.14663605	No	
row_91	TNKS	na	15708	-0.11518363654613495	0.1176765	No	
row_92	NUMA1	na	15728	-0.11580237001180649	0.12422355	No	
row_93	USP44	na	16582	-0.14195136725902557	0.08826289	No	
row_94	CCDC36	na	17091	-0.16058214008808136	0.07180738	No	
row_95	AXIN2	na	17667	-0.1873929351568222	0.053548932	No	
row_96	DUSP1	na	18294	-0.2282787561416626	0.035253946	No	
