NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	4	0.47673675417900085	0.03925986	Yes	
row_1	PLK1	na	6	0.46576517820358276	0.077770196	Yes	
row_2	TRIP13	na	26	0.40942689776420593	0.11066273	Yes	
row_3	CDT1	na	31	0.4040567874908447	0.14390501	Yes	
row_4	RMI2	na	33	0.4034792482852936	0.17725836	Yes	
row_5	TTK	na	35	0.40246087312698364	0.21052738	Yes	
row_6	ESPL1	na	43	0.3992500603199005	0.2432128	Yes	
row_7	CDCA5	na	45	0.39857521653175354	0.2761601	Yes	
row_8	CDC20	na	50	0.39499714970588684	0.30865228	Yes	
row_9	DLGAP5	na	52	0.3948845863342285	0.34129402	Yes	
row_10	PTTG1	na	54	0.3925758898258209	0.3737446	Yes	
row_11	BUB1	na	69	0.37740185856819153	0.4042504	Yes	
row_12	CENPE	na	92	0.35475078225135803	0.43245712	Yes	
row_13	MAD2L1	na	104	0.3482166528701782	0.4607054	Yes	
row_14	NDC80	na	116	0.3423815071582794	0.48847052	Yes	
row_15	CDC6	na	139	0.32786282896995544	0.514451	Yes	
row_16	CCNB1	na	148	0.3231751620769501	0.54078484	Yes	
row_17	BUB1B	na	155	0.3200249969959259	0.5669638	Yes	
row_18	FBXO5	na	173	0.31294119358062744	0.5919736	Yes	
row_19	CENPF	na	194	0.3043752610683441	0.6161154	Yes	
row_20	SPDL1	na	205	0.2951756715774536	0.6400251	Yes	
row_21	TACC3	na	306	0.2610103487968445	0.65633976	Yes	
row_22	FEN1	na	339	0.2536035478115082	0.6756424	Yes	
row_23	DDX11	na	489	0.22297199070453644	0.6862128	Yes	
row_24	GEN1	na	544	0.21537582576274872	0.7011852	Yes	
row_25	NSMCE2	na	657	0.20193956792354584	0.71197367	Yes	
row_26	NAA10	na	883	0.1840660274028778	0.71529806	Yes	
row_27	RAD21	na	1315	0.15452709794044495	0.7052674	No	
row_28	ZW10	na	1973	0.12519751489162445	0.6808401	No	
row_29	XRCC3	na	2254	0.11612340807914734	0.6756264	No	
row_30	ANAPC11	na	2365	0.11332466453313828	0.67918384	No	
row_31	MAPK15	na	2550	0.10805860906839371	0.6783864	No	
row_32	MAD2L2	na	3040	0.09630917012691498	0.66046405	No	
row_33	ANAPC1	na	4460	0.0665997639298439	0.5908313	No	
row_34	ANAPC15	na	4786	0.061307068914175034	0.57869595	No	
row_35	HDAC8	na	5435	0.05095183476805687	0.548598	No	
row_36	CDC23	na	5459	0.0504339374601841	0.55155563	No	
row_37	LCMT1	na	6018	0.042354535311460495	0.52551204	No	
row_38	PCID2	na	6022	0.04228401184082031	0.5288541	No	
row_39	CTCF	na	6207	0.03999495878815651	0.5224213	No	
row_40	PSMG2	na	6368	0.03791026026010513	0.51708686	No	
row_41	MAD1L1	na	6661	0.0337476022541523	0.50441736	No	
row_42	MACROH2A1	na	6663	0.0337163545191288	0.50715595	No	
row_43	HNRNPU	na	6806	0.03192027285695076	0.50227886	No	
row_44	ZNF207	na	6912	0.03045271709561348	0.49923962	No	
row_45	SFPQ	na	7015	0.028899943456053734	0.49623072	No	
row_46	CDC27	na	7076	0.027892107143998146	0.4953626	No	
row_47	BUB3	na	7202	0.026155143976211548	0.49090844	No	
row_48	TPR	na	7380	0.023671697825193405	0.48349485	No	
row_49	ANAPC5	na	7453	0.02278818190097809	0.48156863	No	
row_50	DYNC1LI1	na	8035	0.014410007745027542	0.45199332	No	
row_51	SLF1	na	8067	0.013860230334103107	0.4514992	No	
row_52	CDC26	na	8544	0.007817300036549568	0.42693856	No	
row_53	CTNNB1	na	8613	0.006796963047236204	0.42390022	No	
row_54	SMC5	na	8754	0.005056109745055437	0.41690475	No	
row_55	NIPBL	na	9131	4.003846552222967E-4	0.39702582	No	
row_56	RIOK2	na	9266	-0.001537669450044632	0.3900568	No	
row_57	TEX14	na	9267	-0.0015708303544670343	0.39018685	No	
row_58	IK	na	10400	-0.01658513955771923	0.33161193	No	
row_59	NEK6	na	10884	-0.023419544100761414	0.3079724	No	
row_60	ATRX	na	10932	-0.024091675877571106	0.30747807	No	
row_61	CUL3	na	11083	-0.026440436020493507	0.30172357	No	
row_62	KLHL22	na	11588	-0.03389803320169449	0.2778395	No	
row_63	WAPL	na	11620	-0.03433508798480034	0.2790406	No	
row_64	CDK5RAP2	na	11916	-0.0387222021818161	0.26662412	No	
row_65	ANAPC4	na	12639	-0.05057898536324501	0.23257639	No	
row_66	SLF2	na	12741	-0.05222257599234581	0.23155145	No	
row_67	APC	na	13301	-0.06163918972015381	0.20705156	No	
row_68	BECN1	na	13526	-0.06583616882562637	0.20063998	No	
row_69	HECW2	na	13966	-0.07494024187326431	0.18359628	No	
row_70	ATM	na	14471	-0.08575502783060074	0.16400574	No	
row_71	RB1	na	15019	-0.09731176495552063	0.14309487	No	
row_72	TNKS	na	15708	-0.11518363654613495	0.11619668	No	
row_73	NUMA1	na	15728	-0.11580237001180649	0.124778405	No	
row_74	USP44	na	16582	-0.14195136725902557	0.09135844	No	
row_75	AXIN2	na	17667	-0.1873929351568222	0.049467612	No	
row_76	DUSP1	na	18294	-0.2282787561416626	0.03521657	No	
