NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSD11B2	na	1114	0.16669881343841553	-0.043511566	No	
row_1	ADM	na	1764	0.13323046267032623	-0.06548607	No	
row_2	CLDN4	na	2081	0.12187331169843674	-0.07085888	No	
row_3	XPNPEP3	na	2366	0.11328258365392685	-0.0753371	No	
row_4	ADCY7	na	2487	0.10980494320392609	-0.07144141	No	
row_5	CHRNB4	na	2677	0.10485965013504028	-0.07166772	No	
row_6	NPR3	na	2692	0.10455828160047531	-0.06263986	No	
row_7	LGMN	na	2903	0.09949886053800583	-0.064481	No	
row_8	CHRNA3	na	4042	0.0751052051782608	-0.11782454	No	
row_9	IGKV3-20	na	4420	0.0674537718296051	-0.13151814	No	
row_10	SUCNR1	na	4641	0.06363808363676071	-0.13724071	No	
row_11	CYBA	na	5307	0.05283535271883011	-0.1675764	No	
row_12	BCR	na	5418	0.05122854560613632	-0.16862397	No	
row_13	MYO1E	na	5611	0.04785386845469475	-0.17433631	No	
row_14	SNX5	na	5697	0.04659421369433403	-0.17449088	No	
row_15	PRKAR2A	na	5951	0.0433729887008667	-0.18385752	No	
row_16	EDN1	na	6227	0.03980954736471176	-0.19472405	No	
row_17	SULF1	na	6335	0.038422469049692154	-0.19680914	No	
row_18	COMT	na	6369	0.03788549080491066	-0.19501932	No	
row_19	AKR1B1	na	6886	0.030835414305329323	-0.21950756	No	
row_20	AGT	na	7459	0.0226984191685915	-0.2477265	No	
row_21	PKN1	na	7532	0.02172267436981201	-0.24951565	No	
row_22	ADORA1	na	7580	0.02102670446038246	-0.25004378	No	
row_23	PTPRO	na	7660	0.01997958868741989	-0.2523671	No	
row_24	EMP2	na	7792	0.018102062866091728	-0.25762406	No	
row_25	PRKACA	na	7999	0.014893854968249798	-0.26715893	No	
row_26	RHOA	na	8322	0.010899576358497143	-0.28321993	No	
row_27	HAS2	na	8375	0.010154809802770615	-0.2850292	No	
row_28	PRKRIP1	na	8407	0.009702131152153015	-0.28576687	No	
row_29	ADCY2	na	8475	0.008700323291122913	-0.2885077	No	
row_30	SLC9A3R1	na	8647	0.006412146147340536	-0.29697868	No	
row_31	PSAP	na	8678	0.005966596771031618	-0.2980124	No	
row_32	RRM2B	na	8934	0.0029207542538642883	-0.31126517	No	
row_33	AQP3	na	9137	3.4427648643031716E-4	-0.32194746	No	
row_34	PRKAR1B	na	9421	-0.0035150167532265186	-0.33662987	No	
row_35	PDGFB	na	9811	-0.008293094113469124	-0.35648826	No	
row_36	ADCY3	na	9897	-0.00944838672876358	-0.36011392	No	
row_37	MCAM	na	10179	-0.013616733253002167	-0.37374628	No	
row_38	TBC1D8B	na	10268	-0.014735021628439426	-0.37703708	No	
row_39	GNAI2	na	11142	-0.02728193812072277	-0.42079332	No	
row_40	PRKAR1A	na	11152	-0.02740156650543213	-0.41871017	No	
row_41	HYAL2	na	11445	-0.03152251988649368	-0.4312528	No	
row_42	CORIN	na	11871	-0.038091856986284256	-0.45023614	No	
row_43	MLLT6	na	11929	-0.03893612325191498	-0.44962114	No	
row_44	ADORA2A	na	11946	-0.03920193016529083	-0.44680658	No	
row_45	BTC	na	12043	-0.04065368324518204	-0.44809973	No	
row_46	SPX	na	12398	-0.046443354338407516	-0.4625367	No	
row_47	STC1	na	12501	-0.048178330063819885	-0.46344495	No	
row_48	TRPV1	na	12623	-0.05016632005572319	-0.4651752	No	
row_49	SGK1	na	12696	-0.05136026069521904	-0.4641949	No	
row_50	INPP5K	na	12933	-0.05518581345677376	-0.47155595	No	
row_51	MYO5B	na	12940	-0.055262718349695206	-0.46671018	No	
row_52	REN	na	13102	-0.05804455280303955	-0.46982595	No	
row_53	RAB11A	na	13137	-0.058658525347709656	-0.46614802	No	
row_54	JCHAIN	na	13186	-0.05960459262132645	-0.4631243	No	
row_55	SLC4A5	na	13191	-0.05975910276174545	-0.45775226	No	
row_56	F2RL1	na	13274	-0.06130675971508026	-0.4563729	No	
row_57	ATP6V1B1	na	13307	-0.06178854778409004	-0.4522964	No	
row_58	GJA5	na	13411	-0.06369376182556152	-0.45180786	No	
row_59	ADCY9	na	13432	-0.06411511451005936	-0.44687748	No	
row_60	MAGED2	na	13541	-0.06613680720329285	-0.44642586	No	
row_61	IGHA1	na	13672	-0.06841986626386642	-0.44692782	No	
row_62	ADCY6	na	14173	-0.07932639122009277	-0.4660361	No	
row_63	AQP4	na	14257	-0.08123913407325745	-0.4628472	No	
row_64	DRD2	na	14372	-0.08394741266965866	-0.46104953	No	
row_65	PRKAR2B	na	15054	-0.0980161726474762	-0.488012	Yes	
row_66	GSN	na	15073	-0.09852710366249084	-0.47975987	Yes	
row_67	AVPR1A	na	15231	-0.1026172786951065	-0.47849837	Yes	
row_68	OR51E2	na	15384	-0.10629384219646454	-0.47662812	Yes	
row_69	SULF2	na	15584	-0.1115879938006401	-0.47675613	Yes	
row_70	BMP4	na	15605	-0.11197194457054138	-0.46735376	Yes	
row_71	KCNQ1	na	15611	-0.11225065588951111	-0.4571297	Yes	
