NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1B3	na	1873	0.12896405160427094	-0.07382393	No	
row_1	SCNN1B	na	2001	0.12444332987070084	-0.05624224	No	
row_2	SLC12A1	na	2541	0.10835310816764832	-0.06357882	No	
row_3	SCNN1G	na	4999	0.05785810202360153	-0.1821529	No	
row_4	SNX5	na	5697	0.04659421369433403	-0.20989779	No	
row_5	EDN1	na	6227	0.03980954736471176	-0.23008725	No	
row_6	COMT	na	6369	0.03788549080491066	-0.23014386	No	
row_7	AGT	na	7459	0.0226984191685915	-0.28327373	No	
row_8	ADORA1	na	7580	0.02102670446038246	-0.2855116	No	
row_9	UPK3A	na	7874	0.01684197597205639	-0.29771072	No	
row_10	ATP1A1	na	8085	0.013608372770249844	-0.30615395	No	
row_11	ATP1A3	na	8258	0.011499450542032719	-0.31300035	No	
row_12	SLC12A3	na	9304	-0.0020315097644925117	-0.36783925	No	
row_13	GNAI2	na	11142	-0.02728193812072277	-0.45961127	No	
row_14	CORIN	na	11871	-0.038091856986284256	-0.4906546	No	
row_15	MLLT6	na	11929	-0.03893612325191498	-0.4860661	No	
row_16	ADORA2A	na	11946	-0.03920193016529083	-0.4792586	No	
row_17	SPX	na	12398	-0.046443354338407516	-0.49403015	No	
row_18	SLC9A1	na	12945	-0.05533371865749359	-0.51208746	No	
row_19	SLC8A1	na	13121	-0.05838320776820183	-0.50993955	No	
row_20	ATP6V1B1	na	13307	-0.06178854778409004	-0.5076554	No	
row_21	DRD2	na	14372	-0.08394741266965866	-0.54750645	No	
row_22	ATP1B1	na	14965	-0.096248559653759	-0.5600076	No	
row_23	AVPR1A	na	15231	-0.1026172786951065	-0.5539811	No	
row_24	SLC12A2	na	15868	-0.11952885240316391	-0.56426305	No	
row_25	TMPRSS3	na	15976	-0.12243921309709549	-0.54601544	No	
row_26	NEDD4L	na	16940	-0.15440908074378967	-0.5667721	Yes	
row_27	ATP1B2	na	17369	-0.17170831561088562	-0.555873	Yes	
row_28	CYP4A11	na	17621	-0.18539534509181976	-0.53294617	Yes	
row_29	CYP4F12	na	17901	-0.20104514062404633	-0.5084441	Yes	
row_30	SCNN1A	na	17976	-0.20504871010780334	-0.47232476	Yes	
row_31	TFAP2B	na	18061	-0.2109016627073288	-0.43559134	Yes	
row_32	ATP1A4	na	18134	-0.21616816520690918	-0.3971955	Yes	
row_33	NPR1	na	18234	-0.22309233248233795	-0.358875	Yes	
row_34	TAC1	na	18560	-0.2544279992580414	-0.32638264	Yes	
row_35	C7	na	18674	-0.2704278826713562	-0.27956104	Yes	
row_36	AVPR2	na	18729	-0.2774474322795868	-0.22825049	Yes	
row_37	EDNRB	na	18742	-0.2799888551235199	-0.1742238	Yes	
row_38	ATP1A2	na	18774	-0.28720712661743164	-0.119792186	Yes	
row_39	AGTR1	na	18922	-0.32621848583221436	-0.063875966	Yes	
row_40	SCN7A	na	18934	-0.3369385600090027	0.0013216247	Yes	
