NAME	TITLE	SCORE	
GINS1	na	0.49360088	
AURKA	na	0.48572958	
MYBL2	na	0.48525724	
MTFR2	na	0.47801444	
AURKB	na	0.47673675	
CENPN	na	0.47142234	
PLK1	na	0.46576518	
UBE2C	na	0.46569178	
FAM83D	na	0.45707047	
ORC6	na	0.45581052	
DNMT3B	na	0.45069936	
EXO1	na	0.44022146	
UBE2T	na	0.43038228	
TIMM8A	na	0.42748868	
SLC7A5	na	0.42738298	
NUF2	na	0.4270509	
TROAP	na	0.42532456	
CENPI	na	0.4226637	
DSCC1	na	0.4220179	
SGO1	na	0.41892245	
E2F1	na	0.41782203	
TPX2	na	0.41777152	
SKA3	na	0.41774914	
MCM10	na	0.41613105	
CDC45	na	0.41447097	
CDCA3	na	0.4133562	
TRIP13	na	0.4094269	
FANCA	na	0.40916818	
KIF20A	na	0.4084082	
CCNA2	na	0.4049941	
NCAPH	na	0.4042031	
CDT1	na	0.4040568	
KIF4A	na	0.40353307	
RMI2	na	0.40347925	
CDKN3	na	0.4029028	
TTK	na	0.40246087	
CDC25A	na	0.40214223	
CENPA	na	0.40206176	
CENPW	na	0.40183493	
PRR11	na	0.40149987	
CBX2	na	0.40140724	
PIMREG	na	0.40110162	
KIF18B	na	0.40012047	
ESPL1	na	0.39925006	
PKMYT1	na	0.39908025	
CDCA5	na	0.39857522	
ANLN	na	0.39854148	
SHCBP1	na	0.3976837	
GTSE1	na	0.39578843	
FAM72A	na	0.39537245	
CDC20	na	0.39499715	
FANCB	na	0.3949659	
DLGAP5	na	0.3948846	
KIF14	na	0.39327565	
PTTG1	na	0.3925759	
SUV39H2	na	0.39219913	
MELK	na	0.39148188	
ERCC6L	na	0.3904859	
NCAPG	na	0.3903881	
HASPIN	na	0.38995773	
KIFC1	na	0.38961017	
HJURP	na	0.3889535	
ECE2	na	0.38595113	
FOXM1	na	0.38490158	
PDSS1	na	0.3828486	
BIRC5	na	0.38263392	
NEK2	na	0.38252467	
PARPBP	na	0.3805017	
AUNIP	na	0.37808695	
BUB1	na	0.37740186	
KIF15	na	0.37685174	
KIF2C	na	0.37681854	
RAD54B	na	0.37591717	
RAD51AP1	na	0.37523806	
BEND3	na	0.3751187	
TICRR	na	0.37504527	
