NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNLIPRP2	na	1352	0.147712841629982	-0.035333518	No	
row_1	IL1RL2	na	2657	0.10274720937013626	-0.08010131	No	
row_2	CCR3	na	3650	0.07891229540109634	-0.1139563	No	
row_3	LBP	na	5252	0.04987194761633873	-0.18944602	No	
row_4	DCDC2	na	6674	0.02960611693561077	-0.260393	No	
row_5	CCR6	na	7472	0.019581517204642296	-0.29938433	No	
row_6	CX3CR1	na	7689	0.016702555119991302	-0.30688512	No	
row_7	VEZF1	na	8324	0.009419304318726063	-0.339559	No	
row_8	ZNF148	na	8610	0.006384977139532566	-0.353668	No	
row_9	ITGB1	na	11389	-0.022051233798265457	-0.50200754	No	
row_10	RELA	na	11641	-0.024756381288170815	-0.5092848	No	
row_11	ADORA2A	na	11891	-0.02793794870376587	-0.51559484	No	
row_12	FCMR	na	12351	-0.03359265998005867	-0.5320454	No	
row_13	BECN1	na	12365	-0.03372710943222046	-0.52369165	No	
row_14	C5AR1	na	12665	-0.037027351558208466	-0.53033257	No	
row_15	TYROBP	na	12937	-0.04030255228281021	-0.53453714	No	
row_16	RAB23	na	13543	-0.048564981669187546	-0.5550667	No	
row_17	LGALS3BP	na	13745	-0.05144035443663597	-0.5523868	No	
row_18	LY96	na	14116	-0.05698281154036522	-0.55760074	Yes	
row_19	CCR2	na	14142	-0.057317573577165604	-0.5435654	Yes	
row_20	FOSL1	na	14548	-0.06344249099493027	-0.54898477	Yes	
row_21	LILRB2	na	14745	-0.06632132828235626	-0.5420228	Yes	
row_22	PTK2B	na	15038	-0.0721534863114357	-0.5388228	Yes	
row_23	CLEC5A	na	15050	-0.07242539525032043	-0.51994455	Yes	
row_24	TCIRG1	na	15182	-0.07492236793041229	-0.5070585	Yes	
row_25	KLRG1	na	15309	-0.07754664868116379	-0.49318856	Yes	
row_26	LSP1	na	15589	-0.08385104686021805	-0.48611885	Yes	
row_27	ADORA2B	na	15628	-0.08456343412399292	-0.46547377	Yes	
row_28	NCF1	na	15653	-0.08503425866365433	-0.44392452	Yes	
row_29	NCF2	na	16099	-0.09648454934358597	-0.4426739	Yes	
row_30	CD300C	na	16254	-0.10050641000270844	-0.4241806	Yes	
row_31	MNDA	na	16336	-0.10374431312084198	-0.40076205	Yes	
row_32	HLA-G	na	16600	-0.11231487989425659	-0.3851444	Yes	
row_33	BCL10	na	16623	-0.11298763006925583	-0.35596207	Yes	
row_34	KLRC2	na	16682	-0.11507862061262131	-0.32821625	Yes	
row_35	CXCR2	na	16957	-0.12656156718730927	-0.3093758	Yes	
row_36	PRF1	na	16995	-0.12797680497169495	-0.27699298	Yes	
row_37	ITK	na	17060	-0.13129670917987823	-0.24521622	Yes	
row_38	TRAT1	na	17125	-0.1347649097442627	-0.21250619	Yes	
row_39	CCR5	na	17206	-0.13914896547794342	-0.17950499	Yes	
row_40	SPN	na	17256	-0.14262858033180237	-0.14384589	Yes	
row_41	CXCL9	na	17501	-0.1601567268371582	-0.11429923	Yes	
row_42	SH2D1A	na	17502	-0.16015827655792236	-0.07120186	Yes	
row_43	KIR2DL4	na	17514	-0.1612587571144104	-0.02841924	Yes	
row_44	GNLY	na	17900	-0.2162284404039383	0.008385604	Yes	
