NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN6	na	1132	0.15805327892303467	-0.015412506	No	
row_1	GSDME	na	4044	0.07078659534454346	-0.1558272	No	
row_2	MAPK14	na	4353	0.06470093876123428	-0.15350617	No	
row_3	FMR1	na	4810	0.0569431371986866	-0.16173391	No	
row_4	VWCE	na	5127	0.05167651176452637	-0.16376777	No	
row_5	NOP53	na	5256	0.04969525709748268	-0.15595554	No	
row_6	ZCCHC3	na	5697	0.04335835203528404	-0.16737351	No	
row_7	SEC14L1	na	7263	0.02222874015569687	-0.2476148	No	
row_8	TRIM15	na	7454	0.019889891147613525	-0.2521949	No	
row_9	TRIM6	na	7873	0.014526004903018475	-0.27104798	No	
row_10	NPLOC4	na	8258	0.010203502140939236	-0.2893106	No	
row_11	IRF3	na	8426	0.008307491429150105	-0.29609096	No	
row_12	PUM2	na	8693	0.00536147179082036	-0.30925405	No	
row_13	LSM14A	na	9044	0.0018991968827322125	-0.32812178	No	
row_14	ARF1	na	9080	0.0014669797383248806	-0.3296251	No	
row_15	GBF1	na	10899	-0.01716565154492855	-0.42543748	No	
row_16	PUM1	na	11211	-0.02028103731572628	-0.43662012	No	
row_17	CCL19	na	11286	-0.02101164311170578	-0.43442112	No	
row_18	ADAR	na	11337	-0.02151447907090187	-0.43073827	No	
row_19	CHUK	na	11587	-0.02412407100200653	-0.43732375	No	
row_20	ANKRD17	na	12095	-0.030421582981944084	-0.45634696	No	
row_21	LGALS8	na	13045	-0.041831936687231064	-0.49649158	No	
row_22	IRF7	na	13223	-0.044314734637737274	-0.49301618	No	
row_23	PENK	na	14052	-0.0559316910803318	-0.5222074	Yes	
row_24	GPATCH3	na	14098	-0.056694820523262024	-0.50768393	Yes	
row_25	C1QBP	na	14326	-0.06013230234384537	-0.5022362	Yes	
row_26	RIOK3	na	15024	-0.07193200290203094	-0.5193479	Yes	
row_27	TKFC	na	15194	-0.07514120638370514	-0.5061726	Yes	
row_28	MAPK11	na	15203	-0.07530699670314789	-0.484006	Yes	
row_29	STING1	na	15264	-0.07660890370607376	-0.46433643	Yes	
row_30	MMP12	na	15553	-0.08300844579935074	-0.45540783	Yes	
row_31	RRP1B	na	15794	-0.08859716355800629	-0.44213545	Yes	
row_32	LGALS9	na	15836	-0.08978354930877686	-0.41745502	Yes	
row_33	UFD1	na	15861	-0.09032878279685974	-0.3916667	Yes	
row_34	IKBKE	na	16005	-0.09384128451347351	-0.37143272	Yes	
row_35	BIRC2	na	16078	-0.09578921645879745	-0.34667072	Yes	
row_36	IL12A	na	16089	-0.09615811705589294	-0.31835467	Yes	
row_37	DDX58	na	16239	-0.10000325739383698	-0.29660374	Yes	
row_38	IFI6	na	16301	-0.10214042663574219	-0.2693239	Yes	
row_39	ZC3H12A	na	17299	-0.14517630636692047	-0.2811052	Yes	
row_40	DDX60	na	17308	-0.14551153779029846	-0.23785971	Yes	
row_41	RNF125	na	17462	-0.15676221251487732	-0.1992891	Yes	
row_42	NLRX1	na	17637	-0.17275185883045197	-0.15708387	Yes	
row_43	BIRC3	na	17662	-0.17455168068408966	-0.106007695	Yes	
row_44	IFIH1	na	17822	-0.20024216175079346	-0.054715466	Yes	
row_45	DHX58	na	17921	-0.22440659999847412	0.007219887	Yes	
