NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPHK2	na	6558	0.03110271506011486	-0.34460923	No	
row_1	SPHK1	na	7319	0.02163429744541645	-0.37346327	No	
row_2	PCBD2	na	7818	0.015221522189676762	-0.3917277	No	
row_3	PCBD1	na	7955	0.013737902976572514	-0.3908264	No	
row_4	DEGS2	na	8597	0.00656122574582696	-0.42234528	No	
row_5	ASAH2	na	8671	0.005714743863791227	-0.42288142	No	
row_6	SPR	na	10263	-0.010709595866501331	-0.5045404	No	
row_7	SPTLC1	na	11597	-0.024241941049695015	-0.56357193	No	
row_8	GBA	na	13698	-0.050801586359739304	-0.6488183	Yes	
row_9	PTS	na	14252	-0.05895436927676201	-0.64325196	Yes	
row_10	ACER2	na	14873	-0.06899039447307587	-0.6352328	Yes	
row_11	ACER3	na	14877	-0.06901980191469193	-0.59297484	Yes	
row_12	SPTLC2	na	15216	-0.07561206817626953	-0.5652449	Yes	
row_13	GCH1	na	15565	-0.08327920734882355	-0.5333569	Yes	
row_14	QDPR	na	15864	-0.09045062214136124	-0.49428767	Yes	
row_15	ABCA2	na	16249	-0.10040567815303802	-0.4538692	Yes	
row_16	SGPP1	na	16540	-0.11058086156845093	-0.4019828	Yes	
row_17	ASAH1	na	16823	-0.12078909575939178	-0.34337804	Yes	
row_18	DHFRP1	na	16990	-0.1277039647102356	-0.2740892	Yes	
row_19	SGPP2	na	17474	-0.15809544920921326	-0.20370142	Yes	
row_20	DHFR	na	17611	-0.1704743504524231	-0.10645903	Yes	
row_21	ASAH2B	na	17882	-0.21280910074710846	0.009373196	Yes	
