NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VAMP7	na	3469	0.08269459754228592	-0.17432748	No	
row_1	MICA	na	3925	0.0730762705206871	-0.1833339	No	
row_2	LAMP1	na	4003	0.071385957300663	-0.17171443	No	
row_3	RAET1G	na	5095	0.05199715867638588	-0.22075245	No	
row_4	PVR	na	5567	0.045120030641555786	-0.23687375	No	
row_5	STAT5B	na	7005	0.025486895814538002	-0.31104	No	
row_6	CORO1A	na	7312	0.021673640236258507	-0.32321516	No	
row_7	CEBPG	na	7487	0.019398538395762444	-0.32856283	No	
row_8	CEACAM1	na	7802	0.015383622609078884	-0.34258324	No	
row_9	ARRB2	na	8340	0.009244346991181374	-0.37036118	No	
row_10	PIK3R6	na	8523	0.007307895924896002	-0.37884593	No	
row_11	TUBB	na	9749	-0.005415432620793581	-0.44570303	No	
row_12	PTPN6	na	9762	-0.005609546322375536	-0.4451205	No	
row_13	SERPINB9	na	9831	-0.0064409957267344	-0.4474643	No	
row_14	AP1G1	na	11909	-0.028203269466757774	-0.55658513	No	
row_15	HLA-E	na	11932	-0.028404835611581802	-0.55148166	No	
row_16	UNC13D	na	12008	-0.029528876766562462	-0.5490727	No	
row_17	TUBB4B	na	12139	-0.0309334397315979	-0.5494068	No	
row_18	NECTIN2	na	12418	-0.03420272469520569	-0.557236	No	
row_19	PRDX1	na	12499	-0.03517324849963188	-0.55384785	No	
row_20	ULBP1	na	12613	-0.03648604080080986	-0.5520008	No	
row_21	LYST	na	12996	-0.04122580960392952	-0.56404436	No	
row_22	VAV1	na	13195	-0.04397507756948471	-0.5652523	No	
row_23	CRK	na	13558	-0.04877614974975586	-0.5745031	No	
row_24	LILRB1	na	13816	-0.052629709243774414	-0.57706183	No	
row_25	HLA-F	na	13845	-0.053053416311740875	-0.5668025	No	
row_26	SLAMF6	na	14729	-0.06612688302993774	-0.601137	Yes	
row_27	RAET1E	na	14919	-0.07006687670946121	-0.59603417	Yes	
row_28	SLAMF7	na	15072	-0.0728868693113327	-0.5882476	Yes	
row_29	HAVCR2	na	15105	-0.07338127493858337	-0.5736835	Yes	
row_30	NCR3	na	15350	-0.07820578664541245	-0.56982404	Yes	
row_31	CADM1	na	15808	-0.0892181247472763	-0.57534677	Yes	
row_32	LGALS9	na	15836	-0.08978354930877686	-0.55685204	Yes	
row_33	KLRD1	na	15974	-0.09302188456058502	-0.54374796	Yes	
row_34	ULBP2	na	16053	-0.09501632302999496	-0.5269216	Yes	
row_35	IL12A	na	16089	-0.09615811705589294	-0.5074517	Yes	
row_36	CLNK	na	16289	-0.10185474902391434	-0.49582532	Yes	
row_37	CD160	na	16530	-0.11030636727809906	-0.4845948	Yes	
row_38	RAB27A	na	16593	-0.11213718354701996	-0.46306658	Yes	
row_39	HLA-G	na	16600	-0.11231487989425659	-0.4383873	Yes	
row_40	CRTAM	na	16638	-0.11361171305179596	-0.41514164	Yes	
row_41	KLRC2	na	16682	-0.11507862061262131	-0.39190266	Yes	
row_42	ULBP3	na	17209	-0.13947099447250366	-0.39006782	Yes	
row_43	LAG3	na	17449	-0.15609018504619598	-0.36858562	Yes	
row_44	CD226	na	17494	-0.1599363386631012	-0.33541235	Yes	
row_45	SH2D1A	na	17502	-0.16015827655792236	-0.30013388	Yes	
row_46	KIR2DL4	na	17514	-0.1612587571144104	-0.26483256	Yes	
row_47	SH2D1B	na	17528	-0.1626850664615631	-0.22932474	Yes	
row_48	GZMB	na	17531	-0.16299505531787872	-0.1931367	Yes	
row_49	RASGRP1	na	17622	-0.17147523164749146	-0.15994956	Yes	
row_50	CD96	na	17667	-0.1753837913274765	-0.12333613	Yes	
row_51	IL18RAP	na	17712	-0.1825600117444992	-0.085124545	Yes	
row_52	KLRK1	na	17920	-0.22359894216060638	-0.04683011	Yes	
row_53	IL18	na	17963	-0.24271592497825623	0.004889375	Yes	
