NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MIR17HG	na	226	0.24065269529819489	0.013433595	Yes	
row_1	GREM2	na	252	0.23688296973705292	0.037672646	Yes	
row_2	FBN2	na	458	0.20609816908836365	0.04853855	Yes	
row_3	HSPA1A	na	529	0.19889958202838898	0.06615686	Yes	
row_4	ADAMTS12	na	570	0.1946624219417572	0.084990285	Yes	
row_5	SPRY3	na	599	0.1917364001274109	0.10417654	Yes	
row_6	SHISA2	na	614	0.19027695059776306	0.1239859	Yes	
row_7	WNT5A	na	654	0.18678990006446838	0.1420232	Yes	
row_8	PMEPA1	na	656	0.1865929514169693	0.16215914	Yes	
row_9	HTRA3	na	693	0.18383125960826874	0.18004367	Yes	
row_10	ADAMTSL2	na	724	0.18189406394958496	0.19805327	Yes	
row_11	ASPN	na	914	0.16907899081707	0.20580584	Yes	
row_12	TNMD	na	935	0.1678454726934433	0.2228531	Yes	
row_13	HTRA1	na	1019	0.1641724556684494	0.23598824	Yes	
row_14	VASN	na	1080	0.16063690185546875	0.25002393	Yes	
row_15	FSTL3	na	1122	0.15841446816921234	0.26487908	Yes	
row_16	FZD1	na	1175	0.1561097353696823	0.27887115	Yes	
row_17	APLN	na	1416	0.14459699392318726	0.28112927	Yes	
row_18	FBN1	na	1530	0.13986876606941223	0.2899608	Yes	
row_19	TGFB1I1	na	1570	0.1383495032787323	0.30275625	Yes	
row_20	EMILIN1	na	1590	0.13770383596420288	0.31659758	Yes	
row_21	GREM1	na	1617	0.13669796288013458	0.32993954	Yes	
row_22	LTBP1	na	1626	0.13647867739200592	0.34426197	Yes	
row_23	CHRDL1	na	1957	0.12407809495925903	0.33927876	Yes	
row_24	GPC1	na	2037	0.12162404507398605	0.34803277	Yes	
row_25	CASK	na	2066	0.12061415612697601	0.3595227	Yes	
row_26	FUZ	na	2141	0.11800673604011536	0.36816424	Yes	
row_27	SOSTDC1	na	2190	0.11614608764648438	0.3780549	Yes	
row_28	SLIT2	na	2279	0.11344710737466812	0.38542196	Yes	
row_29	SULF1	na	2496	0.10681746900081635	0.38493076	Yes	
row_30	SULF2	na	2498	0.106801338493824	0.39643225	Yes	
row_31	WFIKKN1	na	2514	0.10651566088199615	0.40712178	Yes	
