NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPFFR1	na	30	0.320976197719574	0.059387006	Yes	
row_1	GPR143	na	150	0.25802454352378845	0.1018545	Yes	
row_2	RXFP4	na	284	0.23298189043998718	0.13878064	Yes	
row_3	GAL	na	571	0.19460268318653107	0.15990514	Yes	
row_4	PYY	na	592	0.1926833987236023	0.19544478	Yes	
row_5	CALCA	na	737	0.180909663438797	0.22185488	Yes	
row_6	GRP	na	743	0.18050584197044373	0.25591168	Yes	
row_7	PCSK1N	na	913	0.16907906532287598	0.27868232	Yes	
row_8	ADCYAP1	na	1035	0.16288401186466217	0.30294168	Yes	
row_9	GPR1	na	1326	0.14892418682575226	0.31515524	Yes	
row_10	NPY1R	na	1455	0.14296355843544006	0.33523652	Yes	
row_11	NMU	na	1473	0.14209146797657013	0.36131963	Yes	
row_12	SORCS2	na	1666	0.13484546542167664	0.37630057	Yes	
row_13	GLRB	na	1714	0.13331936299800873	0.39904815	Yes	
row_14	ECEL1	na	1823	0.12923267483711243	0.41762894	Yes	
row_15	NMB	na	1832	0.12869060039520264	0.4416631	Yes	
row_16	CRCP	na	1859	0.1276334822177887	0.464496	Yes	
row_17	TAC1	na	1917	0.12540847063064575	0.48518315	Yes	
row_18	NMUR2	na	2023	0.12193536758422852	0.50254256	Yes	
row_19	LTB4R2	na	2255	0.1142025887966156	0.51142997	Yes	
row_20	GRPR	na	2432	0.10880433768033981	0.5223466	Yes	
row_21	LTB4R	na	2501	0.10675092041492462	0.5388736	Yes	
row_22	UCN	na	2807	0.0987827405333519	0.5407162	Yes	
row_23	NMUR1	na	2820	0.09843356162309647	0.55877274	Yes	
row_24	CARTPT	na	3904	0.07362836599349976	0.51260114	No	
row_25	TAC3	na	4053	0.07053624093532562	0.5177945	No	
row_26	POMC	na	4583	0.060507845133543015	0.49991012	No	
row_27	NPW	na	5086	0.05214685574173927	0.4819356	No	
row_28	GLRA2	na	5170	0.051003679633140564	0.4870253	No	
row_29	NXPH4	na	5244	0.04994228482246399	0.49246874	No	
row_30	SSTR1	na	5280	0.049435634166002274	0.4999273	No	
row_31	NXPH3	na	5706	0.04325008764863014	0.484539	No	
row_32	SSTR2	na	6553	0.031161295250058174	0.44345847	No	
row_33	SORCS1	na	6918	0.026378853246569633	0.4282505	No	
row_34	RAPGEF2	na	8725	0.005067594349384308	0.32886434	No	
row_35	SSTR5	na	8816	0.004276425577700138	0.32467696	No	
row_36	NTSR1	na	9131	9.370438056066632E-4	0.30740783	No	
row_37	SORT1	na	9311	-9.330973261967301E-4	0.29763922	No	
row_38	QRFP	na	10068	-0.00881807878613472	0.25730953	No	
row_39	TYRO3	na	10157	-0.00966805499047041	0.2542588	No	
row_40	CYSLTR1	na	12014	-0.02956870198249817	0.15675488	No	
row_41	PNOC	na	12598	-0.03631121292710304	0.13126747	No	
row_42	OPRD1	na	13006	-0.041331976652145386	0.11651449	No	
row_43	SCG5	na	13451	-0.047464434057474136	0.100872084	No	
row_44	NPY6R	na	13538	-0.048472099006175995	0.10531355	No	
row_45	PTGDR2	na	13597	-0.04932452738285065	0.11147297	No	
row_46	CPE	na	13672	-0.05040036886930466	0.11694799	No	
row_47	PENK	na	14052	-0.0559316910803318	0.10652789	No	
row_48	NPSR1	na	14535	-0.06329970061779022	0.09178609	No	
row_49	MCHR1	na	15018	-0.07185870409011841	0.078672335	No	
row_50	GALR2	na	15378	-0.07904903590679169	0.07376075	No	
row_51	GPR84	na	15562	-0.08317771553993225	0.07941389	No	
row_52	OPRL1	na	15584	-0.08371920138597488	0.09417154	No	
row_53	CYSLTR2	na	15986	-0.09333942085504532	0.089644454	No	
row_54	PROK2	na	17066	-0.13164839148521423	0.054731295	No	
