NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT5A	na	654	0.18678990006446838	0.005823567	No	
row_1	CARD11	na	1108	0.15916107594966888	0.01658014	No	
row_2	EREG	na	1390	0.14585785567760468	0.03389217	No	
row_3	HSPB1	na	2600	0.10414294898509979	-0.009785954	No	
row_4	AKAP12	na	4935	0.054648663848638535	-0.12715857	No	
row_5	LBP	na	5252	0.04987194761633873	-0.13346107	No	
row_6	SYK	na	5537	0.0456046462059021	-0.13894857	No	
row_7	MAPKAPK2	na	5788	0.041797786951065063	-0.14340597	No	
row_8	STAT5B	na	7005	0.025486895814538002	-0.20523022	No	
row_9	PSEN1	na	7352	0.02115737833082676	-0.21968244	No	
row_10	CEBPG	na	7487	0.019398538395762444	-0.22275002	No	
row_11	EGR1	na	7519	0.018855448812246323	-0.22021608	No	
row_12	TRAF6	na	8602	0.006509372964501381	-0.2788777	No	
row_13	CD276	na	8649	0.005965496879070997	-0.28008735	No	
row_14	TLR7	na	8685	0.00548192672431469	-0.28079486	No	
row_15	PRKCQ	na	9282	-7.482008077204227E-4	-0.31374812	No	
row_16	THBS1	na	9872	-0.006934169214218855	-0.3449158	No	
row_17	BCL3	na	10669	-0.015017146244645119	-0.38576257	No	
row_18	TNFRSF8	na	10757	-0.015877794474363327	-0.387013	No	
row_19	CD80	na	10830	-0.01653149724006653	-0.38728225	No	
row_20	IL6	na	10911	-0.017267310991883278	-0.38782996	No	
row_21	TLR4	na	10930	-0.017500661313533783	-0.3848794	No	
row_22	ZFPM1	na	11135	-0.019544754177331924	-0.39180416	No	
row_23	LTB	na	11268	-0.02080320380628109	-0.39444348	No	
row_24	RELA	na	11641	-0.024756381288170815	-0.40952814	No	
row_25	CYBB	na	12089	-0.03037862665951252	-0.42751157	No	
row_26	CD4	na	12492	-0.03502405807375908	-0.44194546	No	
row_27	TYROBP	na	12937	-0.04030255228281021	-0.4575218	No	
row_28	CCR2	na	14142	-0.057317573577165604	-0.51149315	Yes	
row_29	TBK1	na	14256	-0.05899270251393318	-0.5044551	Yes	
row_30	CLEC7A	na	14266	-0.05919967591762543	-0.49159053	Yes	
row_31	CD28	na	14414	-0.06149029731750488	-0.48587808	Yes	
row_32	EBI3	na	14518	-0.06307195872068405	-0.47736332	Yes	
row_33	IRF4	na	14520	-0.0630868598818779	-0.4631766	Yes	
row_34	AGER	na	14749	-0.06638701260089874	-0.46086022	Yes	
row_35	TLR8	na	14847	-0.0683123916387558	-0.45082894	Yes	
row_36	TICAM1	na	14878	-0.06902413070201874	-0.43691352	Yes	
row_37	APP	na	15321	-0.07765208929777145	-0.4439468	Yes	
row_38	PTAFR	na	15399	-0.07954839617013931	-0.43026745	Yes	
row_39	STAT3	na	15401	-0.07955072075128555	-0.41236395	Yes	
row_40	HMOX1	na	15694	-0.08609165251255035	-0.40915585	Yes	
row_41	TLR1	na	15698	-0.08616897463798523	-0.38986936	Yes	
row_42	TLR6	na	15801	-0.0888451337814331	-0.37548056	Yes	
row_43	CD86	na	16002	-0.09381130337715149	-0.36541688	Yes	
row_44	TIRAP	na	16410	-0.10603810846805573	-0.36409673	Yes	
row_45	PTPRC	na	16497	-0.10920240730047226	-0.34422296	Yes	
row_46	CD74	na	16568	-0.11155662685632706	-0.32292852	Yes	
row_47	BCL10	na	16623	-0.11298763006925583	-0.30042183	Yes	
row_48	IL1A	na	16715	-0.11640219390392303	-0.27920055	Yes	
row_49	IRF1	na	16882	-0.12307664006948471	-0.2606405	Yes	
row_50	CD3E	na	17124	-0.1347648650407791	-0.24360983	Yes	
row_51	TNF	na	17234	-0.14139994978904724	-0.21774545	Yes	
row_52	SPN	na	17256	-0.14262858033180237	-0.18671319	Yes	
row_53	IL1B	na	17554	-0.16419821977615356	-0.1661499	Yes	
row_54	JAK2	na	17698	-0.1797342598438263	-0.13352083	Yes	
row_55	GLMN	na	17896	-0.21566082537174225	-0.09578211	Yes	
row_56	IFNG	na	17907	-0.21810488402843475	-0.047099274	Yes	
row_57	TLR3	na	17967	-0.24383118748664856	0.004668309	Yes	
