NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT5A	na	654	0.18678990006446838	0.0030512742	No	
row_1	PYCARD	na	679	0.18484583497047424	0.040696487	No	
row_2	ZP3	na	696	0.18371786177158356	0.07854834	No	
row_3	IRF8	na	1951	0.12431289255619049	0.03508796	No	
row_4	TNFSF4	na	4903	0.055303700268268585	-0.117212735	No	
row_5	ISL1	na	5326	0.04887082055211067	-0.13035433	No	
row_6	IL23R	na	6475	0.032139964401721954	-0.18736179	No	
row_7	CEBPG	na	7487	0.019398538395762444	-0.2394441	No	
row_8	ABL1	na	7702	0.01659969426691532	-0.24783391	No	
row_9	IL1R1	na	8173	0.011356563307344913	-0.27155316	No	
row_10	FZD5	na	8188	0.011151796206831932	-0.26997942	No	
row_11	HSPD1	na	8332	0.009313873946666718	-0.2759607	No	
row_12	CD276	na	8649	0.005965496879070997	-0.2922603	No	
row_13	TLR7	na	8685	0.00548192672431469	-0.29304895	No	
row_14	RIPK2	na	9392	-0.001824301085434854	-0.33189085	No	
row_15	CD14	na	10467	-0.012797486037015915	-0.38886553	No	
row_16	BCL3	na	10669	-0.015017146244645119	-0.39686674	No	
row_17	TLR4	na	10930	-0.017500661313533783	-0.4076224	No	
row_18	ZFPM1	na	11135	-0.019544754177331924	-0.41483557	No	
row_19	HLA-DPA1	na	11741	-0.026042349636554718	-0.44295883	No	
row_20	SLC11A1	na	12814	-0.038898732513189316	-0.49431837	No	
row_21	HRAS	na	12817	-0.03893859684467316	-0.48621845	No	
row_22	PTPN22	na	13314	-0.045493144541978836	-0.5041839	No	
row_23	IL12RB2	na	13739	-0.051368873566389084	-0.51690984	No	
row_24	CCR2	na	14142	-0.057317573577165604	-0.527159	Yes	
row_25	CLEC7A	na	14266	-0.05919967591762543	-0.5215096	Yes	
row_26	EBI3	na	14518	-0.06307195872068405	-0.52215546	Yes	
row_27	FADD	na	14681	-0.06531261652708054	-0.51738393	Yes	
row_28	SLAMF6	na	14729	-0.06612688302993774	-0.50605106	Yes	
row_29	TLR8	na	14847	-0.0683123916387558	-0.49814665	Yes	
row_30	HAVCR2	na	15105	-0.07338127493858337	-0.49695203	Yes	
row_31	SASH3	na	15113	-0.07368692010641098	-0.4818025	Yes	
row_32	HLA-DPB1	na	15134	-0.07403092831373215	-0.4673027	Yes	
row_33	LTA	na	15574	-0.08340851217508316	-0.47410583	Yes	
row_34	IL27RA	na	15780	-0.08820617944002151	-0.46689585	Yes	
row_35	LGALS9	na	15836	-0.08978354930877686	-0.45101896	Yes	
row_36	IL18R1	na	15927	-0.09183978289365768	-0.43665314	Yes	
row_37	IL12A	na	16089	-0.09615811705589294	-0.42532158	Yes	
row_38	TXK	na	16424	-0.10643836855888367	-0.42143437	Yes	
row_39	IL12RB1	na	16527	-0.11019298434257507	-0.40386513	Yes	
row_40	CD160	na	16530	-0.11030636727809906	-0.3807158	Yes	
row_41	PDE4B	na	16852	-0.12215043604373932	-0.37279308	Yes	
row_42	CD3E	na	17124	-0.1347648650407791	-0.35943225	Yes	
row_43	CD244	na	17146	-0.13592219352722168	-0.33193696	Yes	
row_44	TNF	na	17234	-0.14139994978904724	-0.3069536	Yes	
row_45	PDE4D	na	17372	-0.1502760648727417	-0.28287664	Yes	
row_46	CD2	na	17387	-0.15106217563152313	-0.25179982	Yes	
row_47	CD226	na	17494	-0.1599363386631012	-0.22396336	Yes	
row_48	IL23A	na	17517	-0.16144706308841705	-0.19114116	Yes	
row_49	IL1B	na	17554	-0.16419821977615356	-0.15851668	Yes	
row_50	RASGRP1	na	17622	-0.17147523164749146	-0.1260801	Yes	
row_51	KLRK1	na	17920	-0.22359894216060638	-0.095431305	Yes	
row_52	IL18	na	17963	-0.24271592497825623	-0.04658305	Yes	
row_53	TLR3	na	17967	-0.24383118748664856	0.0046672835	Yes	
