NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARD11	na	1108	0.15916107594966888	0.010815173	No	
row_1	CD83	na	6675	0.029604986310005188	-0.28459862	No	
row_2	STAT5B	na	7005	0.025486895814538002	-0.29127768	No	
row_3	ABL1	na	7702	0.01659969426691532	-0.32235885	No	
row_4	MAP3K7	na	8124	0.01195853017270565	-0.3402883	No	
row_5	RPS3	na	8185	0.011168614029884338	-0.33854443	No	
row_6	TRAF2	na	8508	0.0074007874354720116	-0.35305065	No	
row_7	TRAF6	na	8602	0.006509372964501381	-0.3552544	No	
row_8	PRKCQ	na	9282	-7.482008077204227E-4	-0.39259282	No	
row_9	RIPK2	na	9392	-0.001824301085434854	-0.3978126	No	
row_10	SPTBN1	na	9741	-0.005345594137907028	-0.41469517	No	
row_11	PRKD2	na	10132	-0.009414201602339745	-0.43206018	No	
row_12	CD80	na	10830	-0.01653149724006653	-0.46322784	No	
row_13	RUNX1	na	10980	-0.017944056540727615	-0.46334487	No	
row_14	CD4	na	12492	-0.03502405807375908	-0.5312818	No	
row_15	CCR2	na	14142	-0.057317573577165604	-0.5967496	Yes	
row_16	CLEC7A	na	14266	-0.05919967591762543	-0.5766835	Yes	
row_17	CD28	na	14414	-0.06149029731750488	-0.55690867	Yes	
row_18	IRF4	na	14520	-0.0630868598818779	-0.53407794	Yes	
row_19	SASH3	na	15113	-0.07368692010641098	-0.5334562	Yes	
row_20	CD86	na	16002	-0.09381130337715149	-0.5401182	Yes	
row_21	MALT1	na	16176	-0.09825732558965683	-0.5050847	Yes	
row_22	ANXA1	na	16489	-0.10865478962659836	-0.47304136	Yes	
row_23	PTPRC	na	16497	-0.10920240730047226	-0.42382455	Yes	
row_24	IL1A	na	16715	-0.11640219390392303	-0.3829903	Yes	
row_25	PDE4B	na	16852	-0.12215043604373932	-0.33505017	Yes	
row_26	CD3E	na	17124	-0.1347648650407791	-0.28887117	Yes	
row_27	PDE4D	na	17372	-0.1502760648727417	-0.23431441	Yes	
row_28	IL1B	na	17554	-0.16419821977615356	-0.16977113	Yes	
row_29	GLMN	na	17896	-0.21566082537174225	-0.09072947	Yes	
row_30	VTCN1	na	17909	-0.21854698657989502	0.007879715	Yes	
