NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEL	na	407	0.2123458832502365	0.06073644	Yes	
row_1	WNT5A	na	654	0.18678990006446838	0.12037809	Yes	
row_2	CBLN1	na	690	0.18392600119113922	0.19060268	Yes	
row_3	SHANK1	na	1145	0.1572488248348236	0.22711322	Yes	
row_4	NTRK3	na	1370	0.1466650813817978	0.27223185	Yes	
row_5	LRRC4B	na	1392	0.14582841098308563	0.32828492	Yes	
row_6	LRP4	na	1440	0.14385877549648285	0.38212267	Yes	
row_7	LRFN1	na	1964	0.12376201152801514	0.4016659	Yes	
row_8	LRRTM2	na	2064	0.120697520673275	0.4435309	Yes	
row_9	PTPRS	na	2252	0.11421538144350052	0.47797012	Yes	
row_10	CDH2	na	2399	0.10971644520759583	0.5129189	Yes	
row_11	NLGN4X	na	3096	0.09145523607730865	0.5101877	Yes	
row_12	GAP43	na	3575	0.08053425699472427	0.5152665	Yes	
row_13	NRXN1	na	3742	0.07672671228647232	0.53616154	Yes	
row_14	MAGI2	na	3791	0.07583970576524734	0.56325537	Yes	
row_15	PTPRD	na	3822	0.07524872571229935	0.591116	Yes	
row_16	NTNG2	na	4010	0.07119941711425781	0.6086772	Yes	
row_17	NLGN2	na	4028	0.07093861699104309	0.635568	Yes	
row_18	LRRTM1	na	4249	0.06671173125505447	0.6495375	Yes	
row_19	NLGN4Y	na	4319	0.06538596004247665	0.67136455	Yes	
row_20	SHANK2	na	4480	0.06211110204458237	0.6868578	Yes	
row_21	SHANK3	na	4922	0.05492012947797775	0.6839393	No	
row_22	NRXN2	na	5426	0.047530367970466614	0.67468137	No	
row_23	NLGN3	na	8013	0.01313160452991724	0.5363584	No	
row_24	IL1RAP	na	9212	1.1913777598238084E-5	0.46989614	No	
row_25	LRFN4	na	10056	-0.008692956529557705	0.426536	No	
row_26	PTEN	na	10118	-0.009364841505885124	0.42682606	No	
row_27	EPHB2	na	12371	-0.033778972923755646	0.31513527	No	
