NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBLN1	na	690	0.18392600119113922	0.0755289	Yes	
row_1	SHANK1	na	1145	0.1572488248348236	0.14764018	Yes	
row_2	NTRK3	na	1370	0.1466650813817978	0.22595786	Yes	
row_3	LRRC4B	na	1392	0.14582841098308563	0.31501505	Yes	
row_4	LRFN1	na	1964	0.12376201152801514	0.35992044	Yes	
row_5	LRRTM2	na	2064	0.120697520673275	0.42910415	Yes	
row_6	PTPRS	na	2252	0.11421538144350052	0.4893975	Yes	
row_7	GAP43	na	3575	0.08053425699472427	0.46591273	Yes	
row_8	NRXN1	na	3742	0.07672671228647232	0.504177	Yes	
row_9	PTPRD	na	3822	0.07524872571229935	0.5463513	Yes	
row_10	NTNG2	na	4010	0.07119941711425781	0.5800314	Yes	
row_11	NLGN2	na	4028	0.07093861699104309	0.62297726	Yes	
row_12	LRRTM1	na	4249	0.06671173125505447	0.65205085	Yes	
row_13	SHANK2	na	4480	0.06211110204458237	0.67772365	Yes	
row_14	SHANK3	na	4922	0.05492012947797775	0.6872467	Yes	
row_15	NRXN2	na	5426	0.047530367970466614	0.6887596	Yes	
row_16	IL1RAP	na	9212	1.1913777598238084E-5	0.47887406	No	
row_17	LRFN4	na	10056	-0.008692956529557705	0.43750462	No	
row_18	PTEN	na	10118	-0.009364841505885124	0.4399158	No	
