NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEL	na	407	0.2123458832502365	0.04925482	Yes	
row_1	WNT5A	na	654	0.18678990006446838	0.09879978	Yes	
row_2	CBLN1	na	690	0.18392600119113922	0.15908821	Yes	
row_3	FZD1	na	1175	0.1561097353696823	0.18504134	Yes	
row_4	PPFIA2	na	1270	0.15123321115970612	0.23099314	Yes	
row_5	NTRK3	na	1370	0.1466650813817978	0.27512175	Yes	
row_6	LRRC4B	na	1392	0.14582841098308563	0.32329702	Yes	
row_7	LRP4	na	1440	0.14385877549648285	0.36936262	Yes	
row_8	GPC6	na	1536	0.13969700038433075	0.4113556	Yes	
row_9	PCDH17	na	2011	0.12239240854978561	0.42645562	Yes	
row_10	MDGA1	na	2472	0.10765542089939117	0.4373465	Yes	
row_11	EFNB2	na	2613	0.10382665693759918	0.46470487	Yes	
row_12	NLGN4X	na	3096	0.09145523607730865	0.4688932	Yes	
row_13	GPC4	na	3569	0.08073028177022934	0.47000787	Yes	
row_14	NRXN1	na	3742	0.07672671228647232	0.4864207	Yes	
row_15	PTPRD	na	3822	0.07524872571229935	0.5074958	Yes	
row_16	NTNG2	na	4010	0.07119941711425781	0.52120584	Yes	
row_17	NLGN2	na	4028	0.07093861699104309	0.54426426	Yes	
row_18	LRFN5	na	4243	0.06680658459663391	0.5549892	Yes	
row_19	LRRTM1	na	4249	0.06671173125505447	0.57728356	Yes	
row_20	NLGN4Y	na	4319	0.06538596004247665	0.5955767	Yes	
row_21	VPS35	na	4484	0.062013547867536545	0.60745543	Yes	
row_22	CBLN2	na	4609	0.06004176661372185	0.6208874	Yes	
row_23	NLGN3	na	8013	0.01313160452991724	0.4364323	No	
row_24	EIF4G1	na	8028	0.012980770319700241	0.4400472	No	
row_25	CLSTN3	na	8049	0.012793156318366528	0.4432656	No	
row_26	SNCA	na	8176	0.011315448209643364	0.44009998	No	
row_27	IL1RAP	na	9212	1.1913777598238084E-5	0.3826519	No	
row_28	DKK1	na	9730	-0.005285611376166344	0.35574198	No	
row_29	LRFN4	na	10056	-0.008692956529557705	0.3406427	No	
row_30	PTEN	na	10118	-0.009364841505885124	0.34042522	No	
row_31	ARF6	na	10797	-0.016253622248768806	0.30828932	No	
row_32	SNAPIN	na	12560	-0.03593345731496811	0.22264	No	
row_33	C5AR1	na	12665	-0.037027351558208466	0.22939521	No	
row_34	DVL1	na	13962	-0.05473143234848976	0.1759735	No	
row_35	LRFN3	na	15066	-0.07276318222284317	0.13936612	No	
row_36	APP	na	15321	-0.07765208929777145	0.15154031	No	
