NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROBO2	na	133	0.261965811252594	0.085909456	Yes	
row_1	WNT2B	na	428	0.20917169749736786	0.14408357	Yes	
row_2	WT1	na	483	0.2036958485841751	0.2136262	Yes	
row_3	WNT5A	na	654	0.18678990006446838	0.27071106	Yes	
row_4	MESP1	na	792	0.17711512744426727	0.3261819	Yes	
row_5	BMP7	na	800	0.1765100657939911	0.38865143	Yes	
row_6	WNT2	na	2087	0.11992628127336502	0.35999393	Yes	
row_7	AR	na	2194	0.1159912571310997	0.39541787	Yes	
row_8	SHH	na	2368	0.11066672950983047	0.42522758	Yes	
row_9	HOXC11	na	2457	0.108107790350914	0.45884302	Yes	
row_10	SULF1	na	2496	0.10681746900081635	0.49477363	Yes	
row_11	FGF1	na	2539	0.10585881769657135	0.5301409	Yes	
row_12	PIM1	na	3137	0.09033404290676117	0.5291804	Yes	
row_13	HAND2	na	3313	0.0860862135887146	0.5501256	Yes	
row_14	HOXA11	na	3316	0.08604922145605087	0.58065814	Yes	
row_15	FGFR1	na	4200	0.06767844408750534	0.55575836	Yes	
row_16	EYA1	na	4251	0.06669280678033829	0.576734	Yes	
row_17	GDNF	na	4466	0.0624656043946743	0.5871033	Yes	
row_18	FGF10	na	4855	0.05618898570537567	0.5855815	No	
row_19	ISL1	na	5326	0.04887082055211067	0.576903	No	
row_20	NOTCH1	na	5531	0.045741498470306396	0.5818715	No	
row_21	BMP4	na	5771	0.042044203728437424	0.5835811	No	
row_22	BMP2	na	6046	0.037694051861763	0.5817992	No	
row_23	CTNNB1	na	7462	0.019734680652618408	0.51030314	No	
row_24	ROBO1	na	9319	-0.0010643835412338376	0.40768552	No	
row_25	DKK1	na	9730	-0.005285611376166344	0.3868153	No	
row_26	SIX1	na	10496	-0.013130203820765018	0.34903836	No	
row_27	HES1	na	11181	-0.019921302795410156	0.31817484	No	
row_28	MKS1	na	11784	-0.026583697646856308	0.29423437	No	
row_29	CITED2	na	13091	-0.042470064014196396	0.23688361	No	
row_30	SPRY1	na	13372	-0.04644952341914177	0.23788673	No	
row_31	FRS2	na	14383	-0.060973647981882095	0.20355156	No	
