NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF18	na	134	0.2616259753704071	0.050309375	Yes	
row_1	PTHLH	na	345	0.2224901020526886	0.0877579	Yes	
row_2	ADAMTS7	na	455	0.20628099143505096	0.12723881	Yes	
row_3	ADAMTS12	na	570	0.1946624219417572	0.1638772	Yes	
row_4	NKX3-2	na	597	0.19191326200962067	0.20479707	Yes	
row_5	ANXA9	na	908	0.16936928033828735	0.22496444	Yes	
row_6	EFEMP1	na	920	0.16863392293453217	0.2615787	Yes	
row_7	LOXL2	na	1358	0.14720329642295837	0.26979825	Yes	
row_8	GDF6	na	1475	0.14205454289913177	0.29471254	Yes	
row_9	GLI3	na	1527	0.1401687115430832	0.32282126	Yes	
row_10	GREM1	na	1617	0.13669796288013458	0.34805295	Yes	
row_11	SIX2	na	1684	0.1342381238937378	0.37401927	Yes	
row_12	AXIN2	na	1850	0.1281261295080185	0.393137	Yes	
row_13	RUNX2	na	1874	0.12704940140247345	0.41990507	Yes	
row_14	GLI2	na	1941	0.1246715784072876	0.44375962	Yes	
row_15	PKDCC	na	2207	0.11560846120119095	0.45455918	Yes	
row_16	ZNF219	na	2240	0.1146225854754448	0.47808412	Yes	
row_17	POR	na	2291	0.11311503499746323	0.5002764	Yes	
row_18	RFLNA	na	2655	0.1027805358171463	0.5028004	Yes	
row_19	LTBP3	na	2742	0.10051865875720978	0.5202123	Yes	
row_20	SOX5	na	2815	0.09849770367145538	0.53795576	Yes	
row_21	ACVRL1	na	3083	0.09168095886707306	0.5433623	Yes	
row_22	RARB	na	3125	0.09068036079406738	0.56110215	Yes	
row_23	HOXA11	na	3316	0.08604922145605087	0.5695428	Yes	
row_24	SCIN	na	3458	0.08292406052350998	0.58001554	Yes	
row_25	RFLNB	na	3592	0.08027978241443634	0.59034896	Yes	
row_26	CCN4	na	3865	0.07432777434587479	0.5916471	Yes	
row_27	TRPS1	na	4449	0.06279976665973663	0.57312465	No	
row_28	MAF	na	4474	0.06221930682659149	0.58552617	No	
row_29	BMPR1B	na	4685	0.05887524038553238	0.58685726	No	
row_30	BMP4	na	5771	0.042044203728437424	0.5358673	No	
row_31	SNAI2	na	5916	0.039627641439437866	0.53661585	No	
row_32	TGFBR1	na	6548	0.03122628480195999	0.50845724	No	
row_33	CTNNB1	na	7462	0.019734680652618408	0.46209705	No	
row_34	MDK	na	8296	0.009811081923544407	0.41799018	No	
row_35	SMAD3	na	8473	0.007707227021455765	0.40991482	No	
row_36	CCN2	na	9656	-0.004544008057564497	0.34525853	No	
row_37	ANXA2	na	10075	-0.00900117214769125	0.32402587	No	
row_38	ZBTB16	na	10933	-0.017528684809803963	0.28028944	No	
row_39	BMP6	na	11050	-0.0186535082757473	0.2779634	No	
row_40	CHADL	na	11395	-0.022082321345806122	0.263729	No	
row_41	RELA	na	11641	-0.024756381288170815	0.2555843	No	
row_42	LNPK	na	11803	-0.026896141469478607	0.25257805	No	
row_43	RARG	na	12910	-0.03995116427540779	0.19995952	No	
row_44	WNT9A	na	13185	-0.04377743974328041	0.19440271	No	
row_45	GLG1	na	13412	-0.04687349498271942	0.1921957	No	
row_46	SHOX2	na	13911	-0.05412929132580757	0.17648095	No	
row_47	ANXA2P2	na	15165	-0.07463096082210541	0.123352095	No	
row_48	SOX9	na	15336	-0.07795080542564392	0.13111606	No	
row_49	SOX6	na	15805	-0.08899299800395966	0.12476383	No	
