NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROBO2	na	133	0.261965811252594	0.030994946	Yes	
row_1	AMIGO2	na	392	0.21529684960842133	0.04819177	Yes	
row_2	EPHA7	na	434	0.20852994918823242	0.076475106	Yes	
row_3	SYNDIG1	na	477	0.20477928221225739	0.10415302	Yes	
row_4	WNT5A	na	654	0.18678990006446838	0.121735595	Yes	
row_5	CBLN1	na	690	0.18392600119113922	0.14674655	Yes	
row_6	ASIC2	na	1169	0.15628674626350403	0.14304857	Yes	
row_7	FZD1	na	1175	0.1561097353696823	0.16565216	Yes	
row_8	FLRT2	na	1257	0.15179620683193207	0.18339328	Yes	
row_9	NTRK3	na	1370	0.1466650813817978	0.19865681	Yes	
row_10	LRRC4B	na	1392	0.14582841098308563	0.21886285	Yes	
row_11	GPC6	na	1536	0.13969700038433075	0.23137954	Yes	
row_12	SRPX2	na	1548	0.1392195224761963	0.25117347	Yes	
row_13	BHLHB9	na	1648	0.13540434837341309	0.26551005	Yes	
row_14	EPHB1	na	1715	0.13328121602535248	0.28137222	Yes	
row_15	LRFN1	na	1964	0.12376201152801514	0.28570887	Yes	
row_16	LRRTM2	na	2064	0.120697520673275	0.2978898	Yes	
row_17	SLIT1	na	2119	0.11867374926805496	0.3122788	Yes	
row_18	THBS2	na	2160	0.11747241020202637	0.32727098	Yes	
row_19	NTRK2	na	2189	0.11615609377622604	0.34273812	Yes	
row_20	PTPRS	na	2252	0.11421538144350052	0.35602838	Yes	
row_21	NTN1	na	2354	0.111061692237854	0.36668557	Yes	
row_22	MDGA1	na	2472	0.10765542089939117	0.37595296	Yes	
row_23	BDNF	na	2491	0.10693200677633286	0.39062467	Yes	
row_24	OXTR	na	2588	0.10456295311450958	0.40060765	Yes	
row_25	ADGRB3	na	2719	0.10101629793643951	0.4081783	Yes	
row_26	AMIGO1	na	2772	0.09968876093626022	0.4198959	Yes	
row_27	ADNP	na	3075	0.09190994501113892	0.41655812	Yes	
row_28	CLSTN2	na	3081	0.09172499924898148	0.42972445	Yes	
row_29	RAB17	na	3249	0.08727382868528366	0.43322134	Yes	
row_30	GPC4	na	3569	0.08073028177022934	0.4272987	Yes	
row_31	GAP43	na	3575	0.08053425699472427	0.43882474	Yes	
row_32	LRRN1	na	3584	0.08039407432079315	0.45016328	Yes	
row_33	NRXN1	na	3742	0.07672671228647232	0.4526708	Yes	
row_34	PTPRD	na	3822	0.07524872571229935	0.45930326	Yes	
row_35	SIX4	na	3915	0.07344713807106018	0.46494803	Yes	
row_36	ADGRL3	na	3953	0.07223299145698547	0.4734762	Yes	
row_37	NTNG2	na	4010	0.07119941711425781	0.4807953	Yes	
row_38	NLGN2	na	4028	0.07093861699104309	0.49024695	Yes	
