NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF5	na	318	0.22612307965755463	-0.0067506493	No	
row_1	APOBEC1	na	481	0.2037600427865982	-0.0058234558	No	
row_2	CCL11	na	664	0.18616260588169098	-0.006889486	No	
row_3	PYCARD	na	679	0.18484583497047424	0.0014353001	No	
row_4	IFNLR1	na	845	0.1735326051712036	7.0345023E-4	No	
row_5	IKBKG	na	969	0.16674615442752838	0.002000966	No	
row_6	HTRA1	na	1019	0.1641724556684494	0.007336626	No	
row_7	TSPAN6	na	1132	0.15805327892303467	0.008824714	No	
row_8	SPON2	na	1136	0.15781664848327637	0.016436107	No	
row_9	PQBP1	na	1630	0.13633154332637787	-0.00459092	No	
row_10	CRCP	na	1859	0.1276334822177887	-0.011131463	No	
row_11	APOB	na	1966	0.12363969534635544	-0.011002233	No	
row_12	FCN3	na	2318	0.11239490658044815	-0.025216974	No	
row_13	HSPB1	na	2600	0.10414294898509979	-0.03589864	No	
row_14	EXOSC5	na	3070	0.0920330286026001	-0.057758734	No	
row_15	ITCH	na	3442	0.08348054438829422	-0.07452461	No	
row_16	MAVS	na	3658	0.07856828719377518	-0.08275234	No	
row_17	AP1S1	na	3795	0.07578449696302414	-0.08667086	No	
row_18	MICA	na	3925	0.0730762705206871	-0.09032891	No	
row_19	POLR3F	na	4030	0.07092498242855072	-0.09268591	No	
row_20	GSDME	na	4044	0.07078659534454346	-0.089927875	No	
row_21	FLNA	na	4079	0.07011773437261581	-0.08838478	No	
row_22	SERINC3	na	4164	0.06836460530757904	-0.08974232	No	
row_23	POLR3E	na	4223	0.06722801178693771	-0.08969251	No	
row_24	ZNF175	na	4322	0.06535111367702484	-0.09198659	No	
row_25	MAPK14	na	4353	0.06470093876123428	-0.09048541	No	
row_26	BNIP3	na	4372	0.06436685472726822	-0.088325284	No	
row_27	HERC5	na	4472	0.06223594769835472	-0.09082922	No	
row_28	IKBKB	na	4594	0.060326073318719864	-0.09466557	No	
row_29	AGBL5	na	4805	0.05705824866890907	-0.1036723	No	
row_30	FMR1	na	4810	0.0569431371986866	-0.101090185	No	
row_31	DUOX2	na	4865	0.05598482862114906	-0.10136952	No	
row_32	TNFSF4	na	4903	0.055303700268268585	-0.1007256	No	
row_33	ACTA2	na	4931	0.05470934882760048	-0.09954814	No	
row_34	CCDC130	na	5104	0.051937833428382874	-0.10666851	No	
row_35	VWCE	na	5127	0.05167651176452637	-0.10535915	No	
row_36	ILRUN	na	5196	0.05065876990556717	-0.10668903	No	
row_37	NOP53	na	5256	0.04969525709748268	-0.10755985	No	
row_38	RPS15A	na	5286	0.0494190938770771	-0.10675576	No	
row_39	SRC	na	5483	0.04667367413640022	-0.11548648	No	
row_40	POLR3C	na	5499	0.04627963528037071	-0.11404919	No	
row_41	RNF216	na	5526	0.04587054252624512	-0.11325119	No	
row_42	TPT1	na	5672	0.043724995106458664	-0.11925678	No	
row_43	ZCCHC3	na	5697	0.04335835203528404	-0.11847006	No	
row_44	TRIM56	na	5725	0.0429002121090889	-0.117874786	No	
row_45	EXOSC4	na	5954	0.03909524902701378	-0.1287802	No	
row_46	POLR3K	na	6012	0.03812939301133156	-0.13010864	No	
row_47	GATA3	na	6039	0.03782901540398598	-0.12970708	No	
row_48	PSMA2	na	6064	0.03736388683319092	-0.1292159	No	
row_49	CCL22	na	6094	0.036978110671043396	-0.12902513	No	
row_50	FOXP3	na	6329	0.03382991626858711	-0.14052783	No	
row_51	DCLK1	na	6456	0.032281845808029175	-0.14602816	No	
row_52	IL23R	na	6475	0.032139964401721954	-0.14545679	No	
row_53	POLR3A	na	6578	0.03083808533847332	-0.14967749	No	
row_54	CDK6	na	6618	0.03034701757133007	-0.15037648	No	
row_55	IFIT1	na	6853	0.027292245998978615	-0.16220148	No	
row_56	SKP2	na	7037	0.025112690404057503	-0.17126343	No	
row_57	IFITM1	na	7062	0.024747973307967186	-0.1713942	No	
row_58	HMGA1	na	7130	0.023891929537057877	-0.17398737	No	
row_59	SEC14L1	na	7263	0.02222874015569687	-0.18032102	No	
row_60	CCT5	na	7301	0.021813994273543358	-0.18132812	No	
row_61	URI1	na	7355	0.02110583707690239	-0.18327068	No	
row_62	SERINC5	na	7398	0.020543711259961128	-0.18462183	No	
row_63	MAP3K14	na	7428	0.020214330404996872	-0.18525751	No	
row_64	TRIM15	na	7454	0.019889891147613525	-0.18568406	No	
row_65	TARBP2	na	7553	0.018467705696821213	-0.19028945	No	
row_66	RNASE6	na	7591	0.0180297140032053	-0.19148311	No	
row_67	TRIM11	na	7626	0.017653942108154297	-0.19252644	No	
row_68	IL33	na	7679	0.01692226156592369	-0.19461897	No	
row_69	ODC1	na	7711	0.016538476571440697	-0.19554844	No	
row_70	DHX36	na	7737	0.016202742233872414	-0.19615676	No	
row_71	MICB	na	7810	0.01534280739724636	-0.19945283	No	
row_72	TRIM6	na	7873	0.014526004903018475	-0.20222633	No	
row_73	TSPAN32	na	7874	0.01452458743005991	-0.20151027	No	
row_74	CREBZF	na	7891	0.014370682649314404	-0.20170236	No	
row_75	NPC2	na	7998	0.01324272807687521	-0.20701562	No	
row_76	EXOC1	na	8205	0.010951333679258823	-0.21807025	No	
row_77	NPLOC4	na	8258	0.010203502140939236	-0.220494	No	
row_78	CFL1	na	8327	0.009361888282001019	-0.22385979	No	
row_79	IRF3	na	8426	0.008307491429150105	-0.22896607	No	
row_80	TLR7	na	8685	0.00548192672431469	-0.24321713	No	
row_81	PUM2	na	8693	0.00536147179082036	-0.2433468	No	
row_82	DDX41	na	8960	0.0025536525063216686	-0.25819248	No	
row_83	HNRNPUL1	na	8972	0.00244575971737504	-0.25869104	No	
row_84	DDX21	na	8974	0.002439806004986167	-0.25862703	No	
row_85	DDX3X	na	9027	0.0020163520239293575	-0.2614544	No	
row_86	UNC93B1	na	9034	0.0019583532121032476	-0.26169556	No	
row_87	LSM14A	na	9044	0.0018991968827322125	-0.2621085	No	
row_88	ARF1	na	9080	0.0014669797383248806	-0.2640061	No	
row_89	CARD9	na	9095	0.0012830996420234442	-0.26473084	No	
row_90	PIM2	na	9103	0.0011353957233950496	-0.26506886	No	
row_91	CHRM2	na	9169	4.970863228663802E-4	-0.2687028	No	
row_92	ABCF3	na	9191	2.604640612844378E-4	-0.26987195	No	
row_93	ISG15	na	9206	8.339566556969658E-5	-0.2706558	No	
row_94	ILF3	na	9302	-8.968960028141737E-4	-0.27595857	No	
row_95	SAMHD1	na	9308	-9.157723980024457E-4	-0.27619484	No	
row_96	ABCC9	na	9395	-0.0018721743253991008	-0.280943	No	
row_97	HYAL2	na	9423	-0.0021210024133324623	-0.2823581	No	
row_98	PLSCR1	na	9549	-0.003552313195541501	-0.2892185	No	
row_99	EIF2AK2	na	9665	-0.004584665410220623	-0.29546514	No	
row_100	MX2	na	9682	-0.004779502283781767	-0.29613006	No	
row_101	ATG7	na	9735	-0.005324644036591053	-0.29879433	No	
row_102	DNAJC3	na	9786	-0.005907354410737753	-0.3013173	No	
row_103	GTF2F1	na	9789	-0.006008622236549854	-0.30113366	No	
row_104	DHX9	na	9885	-0.007073582615703344	-0.30613193	No	
row_105	RSAD2	na	9895	-0.007184284273535013	-0.3062843	No	
row_106	APOBEC3B	na	9919	-0.0074179889634251595	-0.30721313	No	
row_107	TRIM44	na	9924	-0.007436111103743315	-0.3070717	No	
row_108	AIMP1	na	10081	-0.009028268977999687	-0.31540692	No	
row_109	OASL	na	10305	-0.011157928965985775	-0.3274082	No	
row_110	PRKRA	na	10470	-0.012825466692447662	-0.33600652	No	
row_111	PCBP2	na	10538	-0.013578237034380436	-0.33910814	No	
row_112	IRF9	na	10652	-0.014902668073773384	-0.34473357	No	
row_113	BCL3	na	10669	-0.015017146244645119	-0.34489378	No	
row_114	OAS1	na	10674	-0.015031165443360806	-0.34437788	No	
row_115	EEF1G	na	10681	-0.01505996659398079	-0.34397316	No	
row_116	TRAF3	na	10746	-0.015774661675095558	-0.34679765	No	
row_117	GPAM	na	10794	-0.016207804903388023	-0.34864396	No	
row_118	ERCC6	na	10866	-0.016822826117277145	-0.35181078	No	
row_119	GBF1	na	10899	-0.01716565154492855	-0.35276562	No	
row_120	IL6	na	10911	-0.017267310991883278	-0.3525335	No	
row_121	DDX1	na	10967	-0.01783582754433155	-0.35474983	No	
row_122	DDX17	na	11013	-0.01831458881497383	-0.35637972	No	
row_123	NLRP3	na	11205	-0.020176975056529045	-0.36613527	No	
row_124	PUM1	na	11211	-0.02028103731572628	-0.36541685	No	
row_125	IFI27	na	11226	-0.020395537838339806	-0.36519936	No	
row_126	G3BP1	na	11227	-0.020399583503603935	-0.36419365	No	
row_127	CCL19	na	11286	-0.02101164311170578	-0.36642227	No	
row_128	PPM1B	na	11307	-0.02121867425739765	-0.3665019	No	
row_129	ADAR	na	11337	-0.02151447907090187	-0.36707348	No	
row_130	BANF1	na	11475	-0.022999389097094536	-0.37365055	No	
row_131	CGAS	na	11493	-0.02319117821753025	-0.37346408	No	
row_132	CHUK	na	11587	-0.02412407100200653	-0.3775092	No	
row_133	RELA	na	11641	-0.024756381288170815	-0.3792718	No	
row_134	POLR3H	na	11790	-0.02671532891690731	-0.3862848	No	
row_135	IFITM3	na	11861	-0.027641013264656067	-0.388862	No	
row_136	IFNAR2	na	11939	-0.028514176607131958	-0.39179015	No	
row_137	NT5C3A	na	11999	-0.02940603345632553	-0.39366123	No	
row_138	UNC13D	na	12008	-0.029528876766562462	-0.39265573	No	
row_139	IVNS1ABP	na	12013	-0.029555363580584526	-0.39142382	No	
row_140	ANKRD17	na	12095	-0.030421582981944084	-0.39448306	No	
row_141	IFI44L	na	12106	-0.03056320920586586	-0.39353916	No	
row_142	STMN1	na	12170	-0.03133777156472206	-0.39554015	No	
row_143	CD207	na	12288	-0.03282906860113144	-0.40050694	No	
row_144	TRAF3IP1	na	12302	-0.03299349918961525	-0.39961207	No	
row_145	APOBEC3C	na	12331	-0.033332206308841705	-0.39954478	No	
row_146	BECN1	na	12365	-0.03372710943222046	-0.3997394	No	
row_147	IL10RB	na	12529	-0.03549054265022278	-0.4071641	No	
row_148	ZMPSTE24	na	12553	-0.035869479179382324	-0.40669027	No	
row_149	SETD2	na	12696	-0.03739188611507416	-0.41283923	No	
row_150	CCL8	na	12731	-0.03779110312461853	-0.4128898	No	
row_151	F2RL1	na	12749	-0.038085754960775375	-0.41196904	No	
row_152	SLFN11	na	12848	-0.03923903778195381	-0.41555044	No	
row_153	LYST	na	12996	-0.04122580960392952	-0.4217918	No	
row_154	LGALS8	na	13045	-0.041831936687231064	-0.42243114	No	
row_155	PDE12	na	13075	-0.0422244630753994	-0.42198175	No	
row_156	LAMTOR5	na	13078	-0.04226600006222725	-0.42001066	No	
row_157	AEN	na	13120	-0.04294151812791824	-0.4202013	No	
row_158	RNASEL	na	13151	-0.04343760758638382	-0.4197484	No	
row_159	IFNGR2	na	13181	-0.043741606175899506	-0.4192242	No	
row_160	TRIM25	na	13201	-0.044029202312231064	-0.41812298	No	
row_161	IRF7	na	13223	-0.044314734637737274	-0.41712028	No	
row_162	RNASE2	na	13291	-0.04516559839248657	-0.4186647	No	
