NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPHK2	na	6558	0.03110271506011486	-0.3419585	No	
row_1	SPHK1	na	7319	0.02163429744541645	-0.36903885	No	
row_2	DEGS2	na	8597	0.00656122574582696	-0.43527505	No	
row_3	ASAH2	na	8671	0.005714743863791227	-0.43534502	No	
row_4	SPTLC1	na	11597	-0.024241941049695015	-0.5806482	No	
row_5	GBA	na	13698	-0.050801586359739304	-0.6617238	No	
row_6	ACER2	na	14873	-0.06899039447307587	-0.6787982	Yes	
row_7	ACER3	na	14877	-0.06901980191469193	-0.6309264	Yes	
row_8	SPTLC2	na	15216	-0.07561206817626953	-0.5970403	Yes	
row_9	ABCA2	na	16249	-0.10040567815303802	-0.58437634	Yes	
row_10	SGPP1	na	16540	-0.11058086156845093	-0.5234905	Yes	
row_11	ASAH1	na	16823	-0.12078909575939178	-0.45505607	Yes	
row_12	KDSR	na	17393	-0.15132731199264526	-0.38127953	Yes	
row_13	SGPP2	na	17474	-0.15809544920921326	-0.2756799	Yes	
row_14	ASAH2B	na	17882	-0.21280910074710846	-0.15012968	Yes	
row_15	SPTLC3	na	17931	-0.2290850579738617	0.006653305	Yes	
