"ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000101150","TPD52L2",0.519699365197284,6.10457339265409,6.56159884896841,5.14505861387772e-10,1.05545732405088e-05,12.4846090807484
"ENSG00000125835","SNRPB",0.712804990613696,7.00339159508009,6.30881871439544,2.00577514106508e-09,1.3715490414603e-05,11.187293246033
"ENSG00000263266","RPS7P1",0.86392120749441,1.87271603658262,6.36195742591084,1.51082425921097e-09,1.3715490414603e-05,11.2857134922523
"ENSG00000236552","RPL13AP5",0.83797919030035,2.82451723340587,6.2084028055373,3.41300659750692e-09,1.75036043353142e-05,10.6396171120636
"ENSG00000101132","PFDN4",0.603799504706757,3.41904229887189,5.90825852764068,1.61982415943722e-08,4.74701040095646e-05,9.20199208619205
"ENSG00000214078","CPNE1",0.683701657227823,6.03118089805384,5.93182797498347,1.43587914857245e-08,4.74701040095646e-05,9.32011705496808
"ENSG00000244313","",0.918988794387505,2.30357182751439,5.92881453052221,1.45820433225311e-08,4.74701040095646e-05,9.24725232565618
"ENSG00000171858","RPS21",0.874347157922187,7.82208515930062,5.8773886896291,1.89597554299333e-08,4.86175528612065e-05,9.05810110082654
"ENSG00000167747","C19orf48",0.827915886736942,5.42421483885138,5.85316990420554,2.14441352107653e-08,4.88783321904043e-05,8.93895863076263
"ENSG00000101193","GID8",0.431391806093938,5.90111302044513,5.77171241623347,3.23691642922639e-08,6.64021036291501e-05,8.54857182717679
"ENSG00000138792","ENPEP",-1.32737381399258,4.77965329531413,-5.69373585526575,4.78407413940335e-08,8.9218633541564e-05,8.18503360007667
"ENSG00000197696","NMB",1.05030525270408,1.49921947973134,5.62491370673028,6.73438650681922e-08,0.000114052714875378,7.76390328148727
"ENSG00000213326","RPS7P11",0.775567826931525,-0.484123345414964,5.61061693209335,7.22767521390225e-08,0.000114052714875378,7.43024073237952
"ENSG00000101146","RAE1",0.433863701088328,4.48211716037217,5.54282302938637,1.00897005010575e-07,0.000121753009458055,7.47594147602674
"ENSG00000101161","PRPF6",0.501285164422558,6.83803338581892,5.57360813847156,8.67425671472336e-08,0.000121753009458055,7.61950167914072
"ENSG00000101189","MRGBP",0.461178589287872,4.09457384424252,5.54382874554457,1.00400871099409e-07,0.000121753009458055,7.48460733268845
"ENSG00000101361","NOP56",0.639628343327527,5.86761524298397,5.55795618310908,9.36781630171824e-08,0.000121753009458055,7.54227276121045
"ENSG00000197580","BCO2",-1.9570696175325,1.24687883584776,-5.50236154171032,1.22968116762041e-07,0.00012418018127003,7.04256285135793
"ENSG00000198242","RPL23A",0.752810399308181,8.0913046705273,5.49554698428734,1.27122151051508e-07,0.00012418018127003,7.26594862525619
"ENSG00000204392","LSM2",0.614137798775952,4.60104859707099,5.49802617278219,1.25595283125261e-07,0.00012418018127003,7.26753105129386
"ENSG00000241343","RPL36A",0.85020812312866,5.29589810362461,5.52249829895955,1.11451783236046e-07,0.00012418018127003,7.377347686925
"ENSG00000244398","",0.898478963394289,2.22581602452202,5.46286553659565,1.49023137663783e-07,0.000138957302092493,7.0896928980052
"ENSG00000232888","RPS11P5",0.83334008222298,-0.771294481293895,5.4477201929236,1.60380661023364e-07,0.000143045603488404,6.69894428183231
"ENSG00000213885","RPL13AP7",0.811069425180152,-1.15318244762452,5.4196236727222,1.83726071569567e-07,0.000157039859674087,6.52961448942848
"ENSG00000132664","POLR3F",0.331859167809191,2.92585734894235,5.3964425354872,2.05452164564014e-07,0.000168585828154647,6.81179925856582
"ENSG00000226525","RPS7P10",0.786447143415177,-0.896787478761783,5.38050840832235,2.21817056146393e-07,0.000175013657299504,6.39726617854423
"ENSG00000106268","NUDT1",0.800781224191785,3.03682017951656,5.35905375322588,2.45870437472254e-07,0.000180135219796636,6.64861858846864
"ENSG00000130726","TRIM28",0.569544883669199,7.39312245423028,5.36467975632588,2.39327923953525e-07,0.000180135219796636,6.66618043793698
"ENSG00000276529","",0.921024222715996,0.0979493821636822,5.34090814922708,2.6818086394951e-07,0.000189705594588284,6.35476580775656
"ENSG00000101199","ARFGAP1",0.437621521815871,5.90526541361928,5.31567509573928,3.02509714198006e-07,0.000201119183863392,6.43366319917846
"ENSG00000198918","RPL39",0.715234038143715,6.23508967245786,5.31469644011331,3.03923890989819e-07,0.000201119183863392,6.43211628277418
