"ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000198910","L1CAM",4.42672244619158,1.79984420159209,11.3451054381643,3.28150439908211e-24,7.08903395333709e-20,44.2976224161676
"ENSG00000181690","PLAG1",2.88632434723674,0.231563875909811,10.8785652521878,1.04600275909366e-22,1.12983988023502e-18,40.7377136902796
"ENSG00000124440","HIF3A",3.4518642481568,0.745127444005379,10.8201196183213,1.6086345987916e-22,1.15837777458983e-18,40.4130830414177
"ENSG00000116544","DLGAP3",2.9252206479228,-0.0893318363359543,10.4805386076919,1.93065454798058e-21,1.04269825500061e-17,37.8630908450854
"ENSG00000240086","",3.4845509019844,-3.58630934608179,10.4273911483778,2.84129339691352e-21,1.22760922507045e-17,36.9030071588567
"ENSG00000214617","SLC6A10P",4.13078383136919,-3.57822083975746,10.3205218855333,6.16606385686571e-21,2.2200912916645e-17,36.2497630558888
"ENSG00000205002","AARD",3.06797051131723,-2.35900388115779,10.0473057927266,4.40856426790372e-20,1.36054591256463e-16,34.5030506197121
"ENSG00000169418","NPR1",2.34192100563432,3.46799008638501,9.9277040354154,1.0362009764715e-19,2.79813121183924e-16,34.1220845179822
"ENSG00000137962","ARHGAP29",1.84489233107732,4.13266802468604,9.88599483083066,1.39461967665441e-19,3.34755209719614e-16,33.8211474669508
"ENSG00000130775","THEMIS2",1.47907040500861,4.47945212564241,9.73724607055132,4.00626437955279e-19,8.6547329391479e-16,32.7794065031778
"ENSG00000255624","C10orf88B",2.72163764098038,-3.38833831433484,9.63229328291155,8.4012308002403e-19,1.61519754197594e-15,31.4719375022378
"ENSG00000269190","FBXO17",2.3173977241472,1.82683569502105,9.62295285927638,8.97207355631685e-19,1.61519754197594e-15,32.0122354414198
"ENSG00000124092","CTCFL",4.42304261800323,-2.52727174349812,9.59658363936196,1.08001299418964e-18,1.7947323625753e-15,31.5414576662879
"ENSG00000106066","CPVL",1.90740774044648,3.01812003369475,9.57933738350284,1.21913204182601e-18,1.88120782139766e-15,31.7124279362808
"ENSG00000261586","",2.5205739251557,-0.875934802999239,9.38923507941535,4.606299570391e-18,6.63399264127712e-15,30.2293369988965
"ENSG00000184697","CLDN6",4.94777017405038,0.151839747077122,9.32014872336479,7.44528497487616e-18,1.00525307070156e-14,29.9438666396434
