NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYB	na	1025	0.18830551207065582	-0.040096577	No	
row_1	CD83	na	1166	0.17837463319301605	-0.032256138	No	
row_2	TWSG1	na	1282	0.17220529913902283	-0.02357526	No	
row_3	XCL1	na	1377	0.16710948944091797	-0.014180876	No	
row_4	LOXL3	na	1762	0.15040934085845947	-0.022235412	No	
row_5	RIPK2	na	2210	0.13071183860301971	-0.03548242	No	
row_6	ATP7A	na	2651	0.11508123576641083	-0.049706973	No	
row_7	SOCS5	na	2877	0.10879654437303543	-0.052623596	No	
row_8	HSPH1	na	4539	0.06989215314388275	-0.13812236	No	
row_9	IL6	na	4622	0.0683920830488205	-0.13667798	No	
row_10	SATB1	na	4653	0.0677960067987442	-0.13241805	No	
row_11	GATA3	na	5158	0.05860544368624687	-0.15509863	No	
row_12	NKAP	na	5327	0.0555267333984375	-0.15951905	No	
row_13	TMEM98	na	5347	0.0551433190703392	-0.1557563	No	
row_14	IL18R1	na	5718	0.04920506849884987	-0.17186749	No	
row_15	ADORA2A	na	5735	0.04882405698299408	-0.16849059	No	
row_16	IHH	na	5907	0.04612378031015396	-0.17389672	No	
row_17	CD80	na	5928	0.04586280882358551	-0.1709987	No	
row_18	RORA	na	5971	0.04534224048256874	-0.16935931	No	
row_19	MALT1	na	6208	0.041337959468364716	-0.17876737	No	
row_20	RC3H2	na	6366	0.038676004856824875	-0.18405119	No	
row_21	MTOR	na	6399	0.03802002966403961	-0.1824991	No	
row_22	MAPK8IP1	na	6877	0.030529780313372612	-0.20613998	No	
row_23	HMGB1	na	6993	0.028577178716659546	-0.20998868	No	
row_24	ELF4	na	7297	0.024198884144425392	-0.2245866	No	
row_25	ADA	na	7326	0.023794634267687798	-0.22405492	No	
row_26	STOML2	na	7508	0.021161677315831184	-0.2321901	No	
row_27	PTGER4	na	7829	0.016175465658307076	-0.24842542	No	
row_28	BCL3	na	8566	0.0056505948305130005	-0.28851923	No	
row_29	RSAD2	na	8587	0.005314656067639589	-0.2891585	No	
row_30	CD55	na	8866	0.0016017260495573282	-0.3043491	No	
row_31	ABL1	na	9103	-0.0013475012965500355	-0.31724575	No	
row_32	RC3H1	na	9484	-0.0061039733700454235	-0.3376684	No	
row_33	IL23A	na	9615	-0.008010445162653923	-0.34413844	No	
row_34	TNFSF8	na	9616	-0.008048132061958313	-0.34343636	No	
row_35	AP3D1	na	9807	-0.010330318473279476	-0.35301274	No	
row_36	CD86	na	9837	-0.010782776400446892	-0.35367128	No	
row_37	CBFB	na	10198	-0.014875930733978748	-0.37222576	No	
row_38	IL12A	na	10259	-0.01566608063876629	-0.37416783	No	
row_39	EOMES	na	10549	-0.01957416720688343	-0.38839716	No	
row_40	RORC	na	10668	-0.02112085558474064	-0.39306176	No	
row_41	RHOA	na	10746	-0.02222166210412979	-0.3953694	No	
row_42	RPL22	na	10778	-0.02268184907734394	-0.3951002	No	
row_43	CD274	na	10938	-0.024929067119956017	-0.40169355	No	
row_44	RELB	na	10968	-0.025294169783592224	-0.40108618	No	
row_45	ZBTB7B	na	11277	-0.02935769036412239	-0.41550982	No	
row_46	TNFSF4	na	11399	-0.030877307057380676	-0.41948873	No	
row_47	TCF7	na	11557	-0.03294336050748825	-0.42527264	No	
row_48	GPR183	na	11666	-0.03446125611662865	-0.42822203	No	
row_49	NFKBID	na	12163	-0.04154844954609871	-0.45194945	No	
row_50	PRKCZ	na	12293	-0.043262187391519547	-0.45528913	No	
row_51	AP3B1	na	12383	-0.04448370635509491	-0.4563164	No	
row_52	CD160	na	12491	-0.04618203267455101	-0.4581882	No	
row_53	NFKBIZ	na	12558	-0.047414034605026245	-0.45769155	No	
row_54	ANXA1	na	12670	-0.04910336434841156	-0.45952904	No	
row_55	CD28	na	13019	-0.05455135554075241	-0.47396067	No	
row_56	NLRP3	na	13272	-0.05830438807606697	-0.48277095	Yes	
row_57	RARA	na	13328	-0.05915701016783714	-0.48064327	Yes	
row_58	FOXP3	na	13368	-0.05978018417954445	-0.47757894	Yes	
row_59	CCL19	na	13473	-0.061601296067237854	-0.47794014	Yes	
row_60	CD300A	na	13498	-0.06210922822356224	-0.47384545	Yes	
row_61	PLA2G2D	na	13676	-0.06512406468391418	-0.47792494	Yes	
row_62	IFNG	na	13689	-0.06539539992809296	-0.47288182	Yes	
row_63	PTPRC	na	13692	-0.06543266773223877	-0.467284	Yes	
row_64	CCR2	na	13712	-0.06577396392822266	-0.46259388	Yes	
row_65	STAT3	na	13748	-0.06622100621461868	-0.4587471	Yes	
row_66	GLI3	na	13920	-0.06932362914085388	-0.46212935	Yes	
row_67	NCKAP1L	na	14088	-0.07257334142923355	-0.46500754	Yes	
row_68	BCL6	na	14132	-0.07322616875171661	-0.4609908	Yes	
row_69	TBX21	na	14138	-0.07335580140352249	-0.4548672	Yes	
row_70	IRF4	na	14225	-0.0751061663031578	-0.4530577	Yes	
row_71	SOCS1	na	14254	-0.07558715343475342	-0.44800782	Yes	
row_72	ARG2	na	14308	-0.07660651206970215	-0.44424763	Yes	
row_73	DOCK2	na	14330	-0.0768551155924797	-0.43870112	Yes	
row_74	CLEC4A	na	14399	-0.0781799778342247	-0.43563086	Yes	
row_75	EBI3	na	14513	-0.08027949184179306	-0.43485895	Yes	
row_76	PNP	na	14708	-0.08432193845510483	-0.43820116	Yes	
row_77	BCL2	na	14999	-0.09080293029546738	-0.4462719	Yes	
row_78	SH3RF1	na	15161	-0.09420955926179886	-0.44693175	Yes	
row_79	STAT6	na	15461	-0.10129868239164352	-0.4545832	Yes	
row_80	ITPKB	na	15482	-0.10181558132171631	-0.44680408	Yes	
row_81	FOXP1	na	15521	-0.10261417180299759	-0.4399479	Yes	
row_82	ZC3H12A	na	15539	-0.10332319140434265	-0.43187186	Yes	
row_83	SLAMF6	na	15831	-0.11060412228107452	-0.43827036	Yes	
row_84	SYK	na	15895	-0.11231941729784012	-0.43194616	Yes	
row_85	HLA-E	na	15900	-0.11246375739574432	-0.42235583	Yes	
row_86	RUNX3	na	15973	-0.11434604972600937	-0.41635114	Yes	
row_87	IL27	na	15992	-0.11499644070863724	-0.4073119	Yes	
row_88	CD81	na	16007	-0.11546128988265991	-0.39801148	Yes	
row_89	ITK	na	16065	-0.11699984967708588	-0.39094812	Yes	
row_90	SASH3	na	16136	-0.11907884478569031	-0.38442028	Yes	
row_91	BCL11B	na	16173	-0.12024622410535812	-0.37591565	Yes	
row_92	FUT7	na	16174	-0.1202879250049591	-0.3654222	Yes	
row_93	LILRB1	na	16175	-0.12030539661645889	-0.35492718	Yes	
