NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIME1	na	2207	0.13078084588050842	-0.10304409	No	
row_1	SLC39A10	na	2539	0.11926160752773285	-0.10436152	No	
row_2	IGLC7	na	5251	0.05699337273836136	-0.24564233	No	
row_3	PLCL2	na	5398	0.05445488914847374	-0.24596097	No	
row_4	NFATC2	na	5475	0.05302252620458603	-0.24262607	No	
row_5	FCGR2B	na	5910	0.046106159687042236	-0.2599969	No	
row_6	CD19	na	6174	0.04184040427207947	-0.2685514	No	
row_7	BAX	na	6347	0.039055198431015015	-0.27248728	No	
row_8	IGHV1-69	na	6394	0.03808116167783737	-0.2696192	No	
row_9	IGHV7-81	na	6930	0.029728209599852562	-0.29487827	No	
row_10	IGHV1-3	na	7657	0.01879173144698143	-0.33221233	No	
row_11	IGHV3-66	na	7838	0.016061052680015564	-0.3398511	No	
row_12	MAPK1	na	8725	0.0036489837802946568	-0.38814887	No	
row_13	TEC	na	8792	0.002590612508356571	-0.3914177	No	
row_14	IGHM	na	8964	4.6616524923592806E-4	-0.40077305	No	
row_15	IGHV2-26	na	8974	3.139727923553437E-4	-0.40122437	No	
row_16	IGHV2-70D	na	9022	-1.9084312953054905E-4	-0.40378684	No	
row_17	IGHG1	na	9037	-3.5134865902364254E-4	-0.40450835	No	
row_18	ABL1	na	9103	-0.0013475012965500355	-0.40789843	No	
row_19	IGHV3-15	na	9231	-0.0028471732512116432	-0.41449177	No	
row_20	KLHL6	na	9257	-0.0031387247145175934	-0.41542387	No	
row_21	IGHV4-31	na	9343	-0.004515442531555891	-0.41946647	No	
row_22	IGHV3-33	na	9379	-0.0049510532990098	-0.42069244	No	
row_23	IGHV2-70	na	9485	-0.006106401793658733	-0.42561126	No	
row_24	IGHV3-13	na	9635	-0.008257211185991764	-0.4326492	No	
row_25	IGHV4-59	na	9651	-0.008388913236558437	-0.43228552	No	
row_26	IGHV1-58	na	9782	-0.009986943565309048	-0.43803123	No	
row_27	CBFB	na	10198	-0.014875930733978748	-0.4587858	No	
row_28	IGHG3	na	10206	-0.0150134963914752	-0.45704153	No	
row_29	IGHV3-30	na	10387	-0.017449824139475822	-0.46448332	No	
row_30	IGHV3-11	na	10524	-0.019162975251674652	-0.4692578	No	
row_31	IGLL5	na	10538	-0.019440723583102226	-0.467216	No	
row_32	IGHV3-23	na	10571	-0.019863950088620186	-0.46616104	No	
row_33	IGHV4-39	na	10678	-0.021286627277731895	-0.46898136	No	
row_34	GPS2	na	10751	-0.02230922318994999	-0.4697833	No	
row_35	IGHV4-34	na	10899	-0.024443278089165688	-0.47441474	No	
row_36	IGHV1-69D	na	10969	-0.025304004549980164	-0.47462657	No	
row_37	IGHV3-43	na	11043	-0.026207977905869484	-0.4749305	Yes	
