NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHEK1	na	373	0.25816279649734497	0.017388081	No	
row_1	IL1B	na	2927	0.10759991407394409	-0.10721344	No	
row_2	F11R	na	3029	0.10500361770391464	-0.097352296	No	
row_3	SCX	na	3466	0.0931238979101181	-0.10765799	No	
row_4	CASP8AP2	na	3735	0.08693920075893402	-0.10963277	No	
row_5	MAPK8	na	3820	0.08476240932941437	-0.10180833	No	
row_6	EGFR	na	4326	0.07358208298683167	-0.11877749	No	
row_7	CASP2	na	4521	0.07021269202232361	-0.11913835	No	
row_8	HABP4	na	4563	0.06940142810344696	-0.111204326	No	
row_9	FADD	na	5635	0.05046874284744263	-0.162693	No	
row_10	PTPN11	na	6147	0.04209570586681366	-0.1846146	No	
row_11	DAG1	na	6247	0.04061313718557358	-0.18409657	No	
row_12	GJA1	na	6359	0.03880089521408081	-0.18450452	No	
row_13	TNFRSF8	na	6951	0.029401803389191628	-0.21268916	No	
row_14	PTGER4	na	7829	0.016175465658307076	-0.25854367	No	
row_15	MTPN	na	7995	0.014037205837666988	-0.2655568	No	
row_16	WNT11	na	8414	0.007999349385499954	-0.28736967	No	
row_17	TLR7	na	8740	0.00336895021609962	-0.30474794	No	
row_18	MAPK3	na	8754	0.003217593766748905	-0.30499047	No	
row_19	MYD88	na	8951	6.28800829872489E-4	-0.31567687	No	
row_20	MAP3K14	na	9188	-0.0023706634528934956	-0.32830727	No	
row_21	SOX9	na	9338	-0.004415901843458414	-0.33585298	No	
row_22	TLR8	na	9456	-0.005824952386319637	-0.34143206	No	
row_23	BAD	na	9557	-0.0072825453244149685	-0.34586227	No	
row_24	LTBR	na	9960	-0.012226641178131104	-0.36617464	No	
row_25	RAC1	na	9996	-0.01261577196419239	-0.3662473	No	
row_26	PTGS2	na	10317	-0.016409635543823242	-0.3814361	No	
row_27	COL1A1	na	10745	-0.022195957601070404	-0.40165973	No	
row_28	MAP3K2	na	10963	-0.02524293214082718	-0.4098874	No	
row_29	NPPA	na	11040	-0.02618044801056385	-0.41022336	No	
row_30	BNIP3	na	11259	-0.02906394749879837	-0.4179451	No	
row_31	MAP2K4	na	11447	-0.03153335303068161	-0.42359945	No	
row_32	SLC38A2	na	11818	-0.03651215508580208	-0.4385867	No	
row_33	TMEM150C	na	11952	-0.038322001695632935	-0.4402748	No	
row_34	AGT	na	12208	-0.042123474180698395	-0.44811404	No	
row_35	ATP1A1	na	12231	-0.0424187108874321	-0.44309643	No	
row_36	ANKRD1	na	12730	-0.04998277500271797	-0.46314523	No	
row_37	HDAC4	na	12997	-0.054186951369047165	-0.46981835	No	
row_38	AKT1	na	13170	-0.05682256072759628	-0.47093514	No	
row_39	SLC9A1	na	13281	-0.05844046548008919	-0.46840483	No	
row_40	GOT1	na	14013	-0.07136182487010956	-0.49812844	No	
row_41	CRADD	na	14255	-0.0756487175822258	-0.50027597	Yes	
row_42	BMP6	na	14466	-0.07934561371803284	-0.5001759	Yes	
row_43	MMP7	na	14479	-0.07954719662666321	-0.4891576	Yes	
row_44	PIEZO2	na	14515	-0.08032152056694031	-0.47929046	Yes	
row_45	MAP3K1	na	14600	-0.08210672438144684	-0.47185588	Yes	
row_46	GADD45A	na	14606	-0.08224472403526306	-0.46005657	Yes	
row_47	ATP1A2	na	14687	-0.08393793553113937	-0.4521332	Yes	
row_48	TNFSF14	na	14815	-0.08656252920627594	-0.44640923	Yes	
row_49	PDE2A	na	14821	-0.08661455661058426	-0.4339684	Yes	
row_50	PIEZO1	na	14857	-0.08745060116052628	-0.42305464	Yes	
row_51	TNFRSF1A	na	14871	-0.08788856863975525	-0.4108667	Yes	
row_52	GCLC	na	15296	-0.0970287173986435	-0.41993922	Yes	
row_53	BCL10	na	15425	-0.10037428885698318	-0.41224253	Yes	
row_54	SLC2A1	na	15459	-0.10128099471330643	-0.39918834	Yes	
row_55	CASP5	na	15795	-0.10970748960971832	-0.40150508	Yes	
row_56	CASP8	na	16063	-0.11694259196519852	-0.3990201	Yes	
row_57	IRF1	na	16619	-0.13435329496860504	-0.4098172	Yes	
row_58	TNFRSF10A	na	16644	-0.13544374704360962	-0.39125267	Yes	
row_59	NFKB1	na	16690	-0.13721346855163574	-0.3735832	Yes	
row_60	ENG	na	16747	-0.1395702064037323	-0.35617265	Yes	
row_61	AQP1	na	16754	-0.14019528031349182	-0.3359207	Yes	
row_62	BAG3	na	17004	-0.15074998140335083	-0.3274826	Yes	
row_63	ITGA2	na	17173	-0.15833812952041626	-0.31347603	Yes	
row_64	TLR5	na	17370	-0.16970865428447723	-0.29933998	Yes	
row_65	RIPOR2	na	17409	-0.17311057448387146	-0.27601555	Yes	
row_66	KCNJ2	na	17486	-0.17864447832107544	-0.25396842	Yes	
row_67	CNN2	na	17681	-0.19361376762390137	-0.23621291	Yes	
row_68	CYBA	na	17761	-0.2005099505186081	-0.21112072	Yes	
row_69	FAS	na	17773	-0.2023497223854065	-0.18201889	Yes	
row_70	TNFRSF10B	na	17898	-0.2152334600687027	-0.15723987	Yes	
row_71	TLR4	na	17903	-0.21551397442817688	-0.12582046	Yes	
row_72	CD40	na	17934	-0.2213120311498642	-0.09497966	Yes	
row_73	TLR3	na	18028	-0.23523865640163422	-0.065558895	Yes	
row_74	BAK1	na	18077	-0.24338608980178833	-0.032467313	Yes	
row_75	CASP1	na	18202	-0.2889541685581207	0.0031345745	Yes	
