NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	23	0.4012804925441742	0.0387671	Yes	
row_1	ATAD5	na	33	0.38935592770576477	0.077113986	Yes	
row_2	CDC45	na	77	0.35252320766448975	0.109918065	Yes	
row_3	BRCA2	na	113	0.3268110156059265	0.14059678	Yes	
row_4	RFC4	na	133	0.3205629587173462	0.17153145	Yes	
row_5	DBF4B	na	152	0.31341543793678284	0.20180805	Yes	
row_6	PRIM1	na	161	0.3074474632740021	0.23203884	Yes	
row_7	CDC7	na	234	0.28821998834609985	0.25683448	Yes	
row_8	RAD51	na	236	0.2874767780303955	0.2854577	Yes	
row_9	MCM2	na	273	0.2796883285045624	0.3113806	Yes	
row_10	DNA2	na	313	0.27117016911506653	0.33628884	Yes	
row_11	DBF4	na	329	0.2675701975822449	0.36215687	Yes	
row_12	RFC3	na	374	0.25815173983573914	0.38549164	Yes	
row_13	RPA3	na	412	0.2522203028202057	0.4086194	Yes	
row_14	POLA1	na	455	0.24470549821853638	0.43072274	Yes	
row_15	DONSON	na	545	0.23249031603336334	0.44902465	Yes	
row_16	FBXO5	na	596	0.22693884372711182	0.46891597	Yes	
row_17	CHEK2	na	622	0.22433622181415558	0.4899215	Yes	
row_18	RFC5	na	626	0.22410060465335846	0.51211256	Yes	
row_19	CDT1	na	648	0.22113098204135895	0.5330181	Yes	
row_20	FEN1	na	662	0.2203740030527115	0.55428785	Yes	
row_21	RTEL1	na	1180	0.17778463661670685	0.54361206	Yes	
row_22	MCM4	na	1239	0.17421740293502808	0.55780435	Yes	
row_23	GMNN	na	1275	0.1724749207496643	0.5730868	Yes	
row_24	E2F8	na	1312	0.17047707736492157	0.5881149	Yes	
row_25	E2F7	na	1544	0.1593383401632309	0.5913158	Yes	
row_26	POLD1	na	1609	0.15678629279136658	0.6034395	Yes	
row_27	MCM6	na	1647	0.1553354114294052	0.6169022	Yes	
row_28	POLE	na	1740	0.1511073112487793	0.62692064	Yes	
row_29	PRIM2	na	1799	0.14868003129959106	0.63856536	Yes	
row_30	PCNA	na	1859	0.14529895782470703	0.6498178	Yes	
row_31	RFC2	na	1943	0.14191345870494843	0.6594137	Yes	
row_32	POLE2	na	2036	0.1380784511566162	0.66813236	Yes	
row_33	MCM7	na	2112	0.1344033181667328	0.67741865	Yes	
row_34	TIPIN	na	2318	0.12682616710662842	0.678805	Yes	
row_35	LIG1	na	2380	0.12450732290744781	0.6878734	Yes	
row_36	SENP2	na	2528	0.11955607682466507	0.6917219	Yes	
row_37	POLA2	na	2665	0.11470939964056015	0.69569135	Yes	
row_38	MCM3	na	3201	0.10073526203632355	0.67634004	No	
row_39	MCM5	na	3674	0.08802775293588638	0.6591832	No	
row_40	RPA1	na	3716	0.08718176931142807	0.6656272	No	
row_41	TERF1	na	3806	0.0851171687245369	0.6692274	No	
row_42	POLE3	na	3997	0.08106306195259094	0.66687286	No	
row_43	RFC1	na	4022	0.08040215075016022	0.67357475	No	
row_44	POLD3	na	4208	0.07600551098585129	0.6709904	No	
row_45	ZMPSTE24	na	4307	0.07400844991207123	0.6729879	No	
row_46	ZNF830	na	4427	0.07185985893011093	0.67361695	No	
row_47	RTF2	na	4870	0.0636441707611084	0.65567625	No	
row_48	POLD2	na	5663	0.050018906593322754	0.6171424	No	
row_49	POLE4	na	5887	0.04639781266450882	0.6095162	No	
row_50	RPA2	na	6400	0.0379972867667675	0.5851702	No	
row_51	FGFR1	na	7098	0.02713654562830925	0.5495743	No	
row_52	ATRX	na	7412	0.0225210003554821	0.5346203	No	
row_53	ZPR1	na	7710	0.01791762001812458	0.52008635	No	
row_54	TERF2	na	8709	0.0038101449608802795	0.46562225	No	
row_55	WIZ	na	8880	0.001418343628756702	0.45642155	No	
row_56	DACH1	na	9013	-9.539157326798886E-5	0.44917712	No	
row_57	ORC3	na	9842	-0.010844387114048004	0.40475693	No	
row_58	UPF1	na	10044	-0.013238742016255856	0.39503184	No	
row_59	BCL6	na	14132	-0.07322616875171661	0.17773928	No	
row_60	INO80	na	14321	-0.07681635767221451	0.17507097	No	
row_61	NUGGC	na	16948	-0.14878752827644348	0.045604255	No	
row_62	POLD4	na	18145	-0.26449593901634216	0.006264788	No	
