NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	na	25	0.3957374691963196	0.05511438	Yes	
row_1	CENPI	na	39	0.3791094422340393	0.108513966	Yes	
row_2	CENPL	na	44	0.37585774064064026	0.1619434	Yes	
row_3	CENPO	na	118	0.32642969489097595	0.20453036	Yes	
row_4	MIS18A	na	163	0.3072768449783325	0.24597523	Yes	
row_5	HJURP	na	169	0.30605441331863403	0.2893862	Yes	
row_6	OIP5	na	244	0.2854926586151123	0.32607502	Yes	
row_7	CENPU	na	437	0.24796783924102783	0.3509309	Yes	
row_8	CENPP	na	464	0.24400019645690918	0.3843318	Yes	
row_9	H4C8	na	503	0.23812833428382874	0.4162359	Yes	
row_10	H4C4	na	504	0.23812079429626465	0.45022464	Yes	
row_11	CENPN	na	600	0.22689543664455414	0.4773968	Yes	
row_12	H4C14	na	607	0.2265474796295166	0.5094043	Yes	
row_13	CENPM	na	674	0.21888934075832367	0.5370254	Yes	
row_14	KNL1	na	739	0.21392250061035156	0.56404734	Yes	
row_15	H4C12	na	830	0.20459076762199402	0.58831024	Yes	
row_16	H4C9	na	848	0.2032838612794876	0.6163934	Yes	
row_17	CENPH	na	908	0.19866546988487244	0.641512	Yes	
row_18	CENPK	na	954	0.19339574873447418	0.6666469	Yes	
row_19	H4C5	na	1130	0.1805599480867386	0.6828142	Yes	
row_20	CENPQ	na	1394	0.1661854088306427	0.69209963	Yes	
row_21	ITGB3BP	na	1600	0.15696433186531067	0.7032523	Yes	
row_22	CENPX	na	1677	0.15408921241760254	0.7210752	Yes	
row_23	CENPV	na	1687	0.15377937257289886	0.74253124	Yes	
row_24	HELLS	na	1876	0.14453992247581482	0.7528436	Yes	
row_25	RUVBL1	na	2085	0.13556717336177826	0.7607775	Yes	
row_26	MIS18BP1	na	2225	0.130059152841568	0.77171236	Yes	
row_27	CENPW	na	2735	0.11264147609472275	0.7598527	No	
row_28	RBBP7	na	3193	0.10103650391101837	0.7491907	No	
row_29	NASP	na	3224	0.10016929358243942	0.76184195	No	
row_30	CENPS	na	3747	0.0865565687417984	0.74554545	No	
row_31	POLE3	na	3997	0.08106306195259094	0.7434491	No	
row_32	H4-16	na	4463	0.0712069422006607	0.7280902	No	
row_33	RBBP4	na	5989	0.04505856707692146	0.65081793	No	
row_34	RSF1	na	7432	0.022246845066547394	0.57484525	No	
row_35	H3-3B	na	8299	0.009752222336828709	0.52870446	No	
row_36	CENPT	na	8553	0.005889356601983309	0.5156585	No	
row_37	SMARCA5	na	9562	-0.007352699059993029	0.46138114	No	
row_38	H3-3A	na	9755	-0.009636753238737583	0.4522182	No	
row_39	NPM1	na	11465	-0.031783174723386765	0.3629517	No	
row_40	CENPC	na	13922	-0.06936390697956085	0.2380482	No	
