NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLQ	na	10	0.4337271451950073	0.01294896	Yes	
row_1	RAD54L	na	14	0.4208837151527405	0.025887104	Yes	
row_2	GINS1	na	23	0.4012804925441742	0.037936952	Yes	
row_3	CENPA	na	25	0.3957374691963196	0.050203294	Yes	
row_4	DSCC1	na	31	0.39006465673446655	0.062070668	Yes	
row_5	CENPI	na	39	0.3791094422340393	0.07348577	Yes	
row_6	CENPL	na	44	0.37585774064064026	0.08496638	Yes	
row_7	MCM8	na	71	0.3570810556411743	0.0946395	Yes	
row_8	CDC45	na	77	0.35252320766448975	0.10533796	Yes	
row_9	NCAPH	na	79	0.3498130738735199	0.11617438	Yes	
row_10	BLM	na	86	0.3454636335372925	0.12659743	Yes	
row_11	BRIP1	na	110	0.32955360412597656	0.13558021	Yes	
row_12	ERCC6L	na	112	0.32787755131721497	0.14573362	Yes	
row_13	CENPO	na	118	0.32642969489097595	0.15561962	Yes	
row_14	RFC4	na	133	0.3205629587173462	0.1648227	Yes	
row_15	TOP2A	na	138	0.31734612584114075	0.17448145	Yes	
row_16	CDCA5	na	148	0.3153299391269684	0.1837995	Yes	
row_17	MIS18A	na	163	0.3072768449783325	0.1925889	Yes	
row_18	HJURP	na	169	0.30605441331863403	0.20184048	Yes	
row_19	GINS4	na	191	0.29905393719673157	0.20998475	Yes	
row_20	RAD51	na	236	0.2874767780303955	0.21649013	Yes	
row_21	CHAF1B	na	240	0.2864115834236145	0.22524127	Yes	
row_22	OIP5	na	244	0.2854926586151123	0.2339638	Yes	
row_23	H3C8	na	263	0.281548410654068	0.24172977	Yes	
row_24	MCM2	na	273	0.2796883285045624	0.24993806	Yes	
row_25	NCAPG	na	306	0.2723560929298401	0.25663963	Yes	
row_26	DNA2	na	313	0.27117016911506653	0.26474947	Yes	
row_27	H3C10	na	333	0.26709479093551636	0.2720098	Yes	
row_28	RECQL4	na	354	0.26203882694244385	0.27905715	Yes	
row_29	RFC3	na	374	0.25815173983573914	0.28603902	Yes	
row_30	ASF1B	na	416	0.25093522667884827	0.29157338	Yes	
row_31	CENPU	na	437	0.24796783924102783	0.2981826	Yes	
row_32	PIF1	na	443	0.24700266122817993	0.30559552	Yes	
row_33	GINS2	na	447	0.24642877280712128	0.3131017	Yes	
row_34	CDK1	na	448	0.2464074194431305	0.320774	Yes	
row_35	NCAPG2	na	454	0.2452731877565384	0.32813305	Yes	
row_36	H2BC13	na	463	0.2440875619649887	0.33528847	Yes	
row_37	CENPP	na	464	0.24400019645690918	0.3428858	Yes	
row_38	H2BW1	na	473	0.24298614263534546	0.35000688	Yes	
row_39	H2BC15	na	474	0.24269798398017883	0.35756367	Yes	
row_40	H2BC19P	na	479	0.2421148121356964	0.36488	Yes	
row_41	H2BC11	na	485	0.24080941081047058	0.37210006	Yes	
row_42	SMC2	na	495	0.23919431865215302	0.3790475	Yes	
row_43	H4C8	na	503	0.23812833428382874	0.38607293	Yes	
row_44	H4C4	na	504	0.23812079429626465	0.39348722	Yes	
row_45	H2BU1	na	514	0.23672239482402802	0.4003577	Yes	
row_46	H2BC7	na	533	0.23426170647144318	0.40665132	Yes	
row_47	H2BC17	na	564	0.23006151616573334	0.41214713	Yes	
row_48	NUSAP1	na	576	0.22878915071487427	0.41865945	Yes	
row_49	CENPN	na	600	0.22689543664455414	0.42444578	Yes	
row_50	H4C14	na	607	0.2265474796295166	0.4311662	Yes	
row_51	RFC5	na	626	0.22410060465335846	0.43714345	Yes	
row_52	H2BC21	na	633	0.22350002825260162	0.44376898	Yes	
row_53	CENPM	na	674	0.21888934075832367	0.44836113	Yes	
row_54	SMC4	na	703	0.21663060784339905	0.45354992	Yes	
row_55	KNL1	na	739	0.21392250061035156	0.45826533	Yes	
row_56	RAD54B	na	760	0.21134556829929352	0.46373424	Yes	
row_57	DDX12P	na	807	0.2068149298429489	0.46761692	Yes	
row_58	H4C12	na	830	0.20459076762199402	0.47276437	Yes	
row_59	H4C9	na	848	0.2032838612794876	0.47814903	Yes	
row_60	CENPH	na	908	0.19866546988487244	0.48105538	Yes	
row_61	HFM1	na	914	0.19755251705646515	0.48692855	Yes	
row_62	NAP1L2	na	924	0.19607999920845032	0.4925336	Yes	
row_63	CCNB1	na	942	0.19436752796173096	0.4976406	Yes	
row_64	H1-2	na	949	0.19368579983711243	0.50333786	Yes	
row_65	CENPK	na	954	0.19339574873447418	0.5091372	Yes	
row_66	HMGB2	na	1000	0.19008585810661316	0.5125546	Yes	
row_67	H2BC12	na	1061	0.18572835624217987	0.5150025	Yes	
row_68	H1-3	na	1086	0.1836034208536148	0.5193853	Yes	
row_69	H4C5	na	1130	0.1805599480867386	0.5226172	Yes	
row_70	RTEL1	na	1180	0.17778463661670685	0.52542925	Yes	
row_71	H2BC18	na	1187	0.17744296789169312	0.53062075	Yes	
row_72	CHTF18	na	1200	0.1763341724872589	0.5354442	Yes	
row_73	MCM4	na	1239	0.17421740293502808	0.53875655	Yes	
row_74	CHD7	na	1272	0.17266160249710083	0.542354	Yes	
row_75	ZRANB3	na	1350	0.16869264841079712	0.5433266	Yes	
row_76	H1-5	na	1368	0.16756018996238708	0.54759896	Yes	
row_77	CENPQ	na	1394	0.1661854088306427	0.5513838	Yes	
row_78	NCAPD3	na	1487	0.16171927750110626	0.55130553	Yes	
row_79	ITGB3BP	na	1600	0.15696433186531067	0.5499675	Yes	
row_80	H1-4	na	1604	0.15688727796077728	0.5546857	Yes	
row_81	MCM6	na	1647	0.1553354114294052	0.55718786	Yes	
row_82	CENPX	na	1677	0.15408921241760254	0.5603737	Yes	
row_83	CHAF1A	na	1684	0.15382060408592224	0.5648297	Yes	
row_84	CENPV	na	1687	0.15377937257289886	0.5695067	Yes	
row_85	H2BC4	na	1826	0.14681144058704376	0.5664074	Yes	
row_86	NCAPD2	na	1851	0.14568667113780975	0.5696096	Yes	
row_87	H3C4	na	1866	0.1450657993555069	0.5733483	Yes	
row_88	HELLS	na	1876	0.14453992247581482	0.57734853	Yes	
row_89	H2BC5	na	1885	0.1441037654876709	0.58139074	Yes	
row_90	CDKN2A	na	1914	0.14280427992343903	0.58428085	Yes	
row_91	RFC2	na	1943	0.14191345870494843	0.58714324	Yes	
row_92	RUVBL1	na	2085	0.13556717336177826	0.5835271	Yes	
row_93	H1-0	na	2104	0.1347070336341858	0.5867209	Yes	
row_94	MCM7	na	2112	0.1344033181667328	0.5905167	Yes	
row_95	MIS18BP1	na	2225	0.130059152841568	0.58834094	Yes	
row_96	TOP3A	na	2307	0.12723657488822937	0.5878004	Yes	
row_97	H1-10	na	2339	0.12617194652557373	0.5900059	Yes	
row_98	HMGB3	na	2464	0.12163863331079483	0.58690095	Yes	
