NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MID1	na	2213	0.13060782849788666	-0.10401023	No	
row_1	CAMK2B	na	2404	0.12355564534664154	-0.09767792	No	
row_2	MED1	na	2759	0.1119365468621254	-0.10194701	No	
row_3	PPARG	na	3537	0.09165366739034653	-0.13224408	No	
row_4	ICAM1	na	5912	0.04605993628501892	-0.25659838	No	
row_5	CAMK2G	na	6224	0.041013412177562714	-0.26813698	No	
row_6	HLA-DQA2	na	6638	0.03418910503387451	-0.2862145	No	
row_7	SUMO1	na	6935	0.029639964923262596	-0.29847297	No	
row_8	IRF5	na	7456	0.02198985405266285	-0.32409468	No	
row_9	IRF3	na	8116	0.012303092516958714	-0.35867986	No	
row_10	HSP90AB1	na	8227	0.010746845044195652	-0.36327177	No	
row_11	FCGR1A	na	8289	0.009922540746629238	-0.36527982	No	
row_12	TXK	na	8623	0.004869152791798115	-0.3829392	No	
row_13	MT2A	na	8885	0.0013729644706472754	-0.39711225	No	
row_14	CAMK2A	na	9012	-9.334206697531044E-5	-0.4040318	No	
row_15	NCAM1	na	9094	-0.001177965197712183	-0.4083282	No	
row_16	FCGR1B	na	9176	-0.0022611464373767376	-0.41247743	No	
row_17	PARP9	na	9180	-0.002298998646438122	-0.41233015	No	
row_18	TRIM25	na	9275	-0.003383927745744586	-0.41704208	No	
row_19	PTPN2	na	10212	-0.01509049441665411	-0.46648845	No	
row_20	VCAM1	na	11047	-0.026223601773381233	-0.5088105	No	
row_21	IRF8	na	11051	-0.02624659240245819	-0.50540984	No	
row_22	TP53	na	11052	-0.026256414130330086	-0.5018428	No	
row_23	CDC37	na	11588	-0.03336227685213089	-0.5267448	No	
row_24	STAT1	na	11647	-0.034096501767635345	-0.5253036	No	
row_25	PARP14	na	11788	-0.03610960394144058	-0.5281004	No	
row_26	PIAS1	na	12424	-0.04501901939511299	-0.5569205	Yes	
row_27	HLA-DQB2	na	12486	-0.04606612026691437	-0.55401826	Yes	
row_28	HLA-G	na	12500	-0.046357426792383194	-0.5484356	Yes	
row_29	ARG1	na	12704	-0.04962446540594101	-0.55286247	Yes	
row_30	NR1H2	na	12718	-0.04983492195606232	-0.54680735	Yes	
row_31	HCK	na	12785	-0.05063851177692413	-0.543559	Yes	
row_32	HLA-DPA1	na	12821	-0.051214322447776794	-0.5385269	Yes	
row_33	IFNGR2	na	12861	-0.05192819982767105	-0.5336179	Yes	
row_34	HLA-DRA	na	12897	-0.052528105676174164	-0.5284073	Yes	
row_35	IRF6	na	12991	-0.054107461124658585	-0.5261732	Yes	
row_36	TRIM62	na	13221	-0.05775139108300209	-0.5309264	Yes	
row_37	HLA-DQA1	na	13222	-0.05775366351008415	-0.5230802	Yes	
row_38	HLA-DRB5	na	13416	-0.060768865048885345	-0.5254429	Yes	
row_39	TRIM26	na	13600	-0.06365121901035309	-0.52686375	Yes	
row_40	IFNG	na	13689	-0.06539539992809296	-0.522821	Yes	
row_41	GBP1	na	13727	-0.0658862367272377	-0.51590574	Yes	
row_42	NMI	na	13746	-0.06617458164691925	-0.5079059	Yes	
row_43	OAS3	na	14125	-0.07309277355670929	-0.5187725	Yes	
row_44	JAK1	na	14175	-0.07422255724668503	-0.51138484	Yes	
row_45	IRF4	na	14225	-0.0751061663031578	-0.50387716	Yes	
row_46	SOCS1	na	14254	-0.07558715343475342	-0.49514878	Yes	
row_47	TRIM34	na	14397	-0.07814420014619827	-0.49234498	Yes	
row_48	HLA-DRB1	na	14447	-0.07903143018484116	-0.48430404	Yes	
row_49	HPX	na	14485	-0.0797499567270279	-0.47550526	Yes	
row_50	B2M	na	14603	-0.0821894183754921	-0.47077647	Yes	
row_51	GBP2	na	14716	-0.08445904403924942	-0.46546426	Yes	
row_52	HLA-DPB1	na	14743	-0.08502010256052017	-0.4553443	Yes	
row_53	SOCS3	na	14837	-0.08696416765451431	-0.44864643	Yes	
row_54	HLA-DQB1	na	14995	-0.09072408080101013	-0.44495887	Yes	
row_55	IFI30	na	15163	-0.09425147622823715	-0.44134226	Yes	
row_56	HLA-H	na	15387	-0.09955931454896927	-0.44008556	Yes	
row_57	CAMK2D	na	15651	-0.10577555000782013	-0.44018504	Yes	
row_58	CIITA	na	15802	-0.10983731597661972	-0.43351573	Yes	
row_59	HLA-E	na	15900	-0.11246375739574432	-0.42357367	Yes	
row_60	TRIM8	na	16018	-0.11569161713123322	-0.41429344	Yes	
row_61	PRKCD	na	16031	-0.11603254824876785	-0.39919004	Yes	
row_62	OASL	na	16217	-0.12150818109512329	-0.3928608	Yes	
row_63	NLRC5	na	16282	-0.12348426133394241	-0.37960598	Yes	
row_64	TRIM38	na	16358	-0.12566280364990234	-0.3666604	Yes	
row_65	IRF9	na	16403	-0.12741154432296753	-0.35177165	Yes	
row_66	IFNGR1	na	16455	-0.12900680303573608	-0.33705133	Yes	
row_67	TRIM31	na	16509	-0.1304396688938141	-0.32224637	Yes	
row_68	NR1H3	na	16546	-0.13174332678318024	-0.306329	Yes	
row_69	IRF1	na	16619	-0.13435329496860504	-0.29203773	Yes	
row_70	IRF2	na	16647	-0.1355033814907074	-0.27511436	Yes	
row_71	OAS1	na	16995	-0.15046505630016327	-0.27376404	Yes	
row_72	SP100	na	17132	-0.1565687358379364	-0.2599758	Yes	
row_73	TRIM68	na	17341	-0.16787852346897125	-0.24861231	Yes	
row_74	JAK2	na	17462	-0.17691700160503387	-0.23117936	Yes	
row_75	CD44	na	17528	-0.1816793978214264	-0.21007344	Yes	
row_76	TRIM5	na	17610	-0.18799127638339996	-0.18899031	Yes	
row_77	HLA-F	na	17667	-0.192435160279274	-0.165928	Yes	
row_78	PML	na	17727	-0.19734220206737518	-0.14236411	Yes	
row_79	OAS2	na	17849	-0.21041135489940643	-0.120435804	Yes	
row_80	PTAFR	na	18023	-0.23429343104362488	-0.09812391	Yes	
row_81	TRIM22	na	18150	-0.26703503727912903	-0.06877807	Yes	
row_82	TRIM21	na	18160	-0.2707778215408325	-0.0324867	Yes	
row_83	IRF7	na	18177	-0.2788151204586029	0.0045114537	Yes	
